FlightID,AircraftType,RouteAdherence,LandingQuality,PerformanceRating,ErrorsDetected,WeatherConditions,AirTrafficControlIssues,PilotExperience,FlightDuration,TailStrike,AccidentRisk
19,Type B,91,Good,77,5,Clear,3,2480,5.568133719161278,No,Highly Likely to Crash
20,Type A,86,Good,50,0,Cloudy,2,6406,8.549191197357931,Yes,Inconclusive
21,Type A,71,Average,54,4,Stormy,2,1039,9.283090585348873,No,Highly Likely to Crash
22,Type B,91,Poor,91,0,Clear,1,12576,8.91400212742253,No,Highly Likely to Crash
23,Type B,61,Good,71,3,Stormy,1,7761,9.995756161216867,No,Highly Likely to Crash
24,Type A,91,Poor,85,2,Stormy,1,9720,14.164033402665142,No,Highly Likely to Crash
25,Type A,62,Average,95,0,Cloudy,3,551,6.442885281176356,Yes,Highly Likely to Crash
26,Type A,60,Poor,62,5,Cloudy,2,2186,5.216119788406066,No,Highly Likely to Crash
27,Type C,65,Good,50,1,Clear,1,19705,1.538088754422376,Yes,Highly Likely to Crash
28,Type C,57,Poor,65,2,Stormy,1,8596,3.059022795994736,No,Highly Likely to Crash
29,Type C,89,Poor,90,3,Cloudy,2,10532,2.4874974223359976,No,Highly Likely to Crash
30,Type B,89,Good,71,5,Clear,3,9116,5.6962186162144715,Yes,Highly Likely to Crash
31,Type C,94,Good,81,2,Clear,1,10819,9.539870203410777,No,Inconclusive
32,Type B,51,Poor,65,5,Cloudy,0,9045,1.6486744758841678,Yes,Highly Likely to Crash
33,Type B,79,Poor,100,0,Stormy,3,4190,11.187310062365588,No,Highly Likely to Crash
34,Type C,79,Average,64,5,Clear,1,18573,6.564061299688349,No,Highly Likely to Crash
35,Type B,61,Good,95,3,Cloudy,0,8984,14.489063221038364,Yes,Highly Likely to Crash
36,Type C,59,Poor,91,1,Clear,1,1216,8.95738965268714,No,Highly Likely to Crash
37,Type C,93,Good,61,0,Cloudy,3,5075,11.799072373438843,No,Less Likely to Crash
38,Type A,60,Average,50,0,Clear,2,11170,13.056537252158462,Yes,Highly Likely to Crash
39,Type C,64,Poor,66,3,Stormy,2,16137,13.443848218557383,No,Highly Likely to Crash
40,Type A,65,Poor,90,3,Clear,3,16846,8.2584644955173,No,Highly Likely to Crash
41,Type C,66,Poor,100,2,Cloudy,1,1137,6.554395818035135,No,Highly Likely to Crash
42,Type C,75,Good,99,1,Cloudy,3,8479,8.847209855638152,No,Inconclusive
43,Type A,51,Average,77,5,Cloudy,0,9991,6.628985622643991,No,Highly Likely to Crash
44,Type A,99,Good,56,2,Stormy,1,13131,4.370009569965381,Yes,Inconclusive
45,Type C,61,Poor,58,5,Cloudy,3,9403,5.534877580333344,Yes,Highly Likely to Crash
46,Type B,100,Average,71,5,Cloudy,2,12225,4.258777987340385,No,Highly Likely to Crash
47,Type A,75,Poor,75,5,Stormy,3,12570,4.772126828328064,No,Highly Likely to Crash
48,Type B,72,Poor,61,2,Cloudy,1,3841,2.3105083213000848,No,Highly Likely to Crash
49,Type B,67,Good,56,0,Cloudy,3,16568,6.970478090134666,Yes,Highly Likely to Crash
50,Type B,81,Poor,95,3,Stormy,2,6050,4.293974692445133,No,Highly Likely to Crash
51,Type A,98,Average,96,0,Clear,0,18667,7.2771317335226655,No,Inconclusive
52,Type B,87,Poor,64,1,Cloudy,3,15188,12.090775278468104,No,Highly Likely to Crash
53,Type A,96,Poor,87,2,Clear,3,18372,7.27637294540448,No,Highly Likely to Crash
54,Type B,52,Good,70,1,Stormy,0,17351,14.364566189936015,Yes,Highly Likely to Crash
55,Type C,87,Average,63,3,Cloudy,3,6083,3.069716523392292,No,Inconclusive
56,Type C,52,Good,51,3,Cloudy,2,12613,12.903709871730245,No,Highly Likely to Crash
57,Type A,79,Poor,57,4,Stormy,0,18301,4.475613597021825,No,Highly Likely to Crash
58,Type C,50,Good,94,1,Cloudy,2,18660,14.075068311969638,No,Highly Likely to Crash
59,Type C,79,Good,55,0,Clear,2,1581,4.180070970281164,No,Inconclusive
60,Type B,94,Good,86,1,Clear,2,13937,11.457465003507277,No,Inconclusive
61,Type A,81,Good,86,2,Stormy,1,19809,1.8696506120395822,No,Inconclusive
62,Type B,77,Poor,82,3,Cloudy,0,4584,9.817388120242487,Yes,Highly Likely to Crash
63,Type B,70,Poor,90,3,Cloudy,1,12753,4.061439050823171,No,Highly Likely to Crash
64,Type B,95,Average,55,1,Stormy,1,8128,10.382415583075304,Yes,Inconclusive
65,Type B,62,Good,75,1,Clear,3,6695,9.901610726747858,Yes,Highly Likely to Crash
66,Type B,76,Good,88,5,Clear,0,1511,13.931742315242271,No,Highly Likely to Crash
67,Type B,85,Average,90,1,Stormy,3,1313,9.773470028686274,No,Inconclusive
68,Type B,56,Good,86,5,Cloudy,1,12638,6.715483363098709,No,Highly Likely to Crash
69,Type A,71,Average,63,2,Clear,3,772,3.7099492678888435,Yes,Inconclusive
70,Type C,59,Poor,86,2,Cloudy,2,16182,10.204314119617955,Yes,Highly Likely to Crash
71,Type B,88,Average,57,0,Clear,1,16692,2.629132454919655,Yes,Inconclusive
72,Type B,64,Good,88,1,Cloudy,2,18600,12.599235576904748,No,Highly Likely to Crash
73,Type B,64,Average,62,0,Clear,0,6776,4.462683657144092,No,Highly Likely to Crash
74,Type B,53,Poor,62,4,Cloudy,3,7328,8.338224575482217,Yes,Highly Likely to Crash
75,Type B,81,Good,89,2,Stormy,1,856,9.343262260611537,Yes,Inconclusive
76,Type B,72,Poor,92,3,Clear,0,14154,6.074859865564816,No,Highly Likely to Crash
77,Type C,55,Poor,77,5,Stormy,2,703,10.29423288601145,Yes,Highly Likely to Crash
78,Type C,73,Average,67,4,Clear,3,18480,4.50303742448982,Yes,Highly Likely to Crash
79,Type B,69,Poor,68,3,Clear,3,7114,1.4847440328723363,Yes,Highly Likely to Crash
80,Type C,86,Good,87,4,Clear,1,15299,14.429748305889108,Yes,Highly Likely to Crash
81,Type A,69,Poor,81,0,Cloudy,3,996,5.4806416388041,Yes,Highly Likely to Crash
82,Type B,61,Poor,71,0,Clear,3,13489,10.988471285246533,Yes,Highly Likely to Crash
83,Type A,82,Average,51,5,Stormy,2,16946,8.105470496885331,Yes,Highly Likely to Crash
84,Type A,77,Poor,62,2,Cloudy,2,2079,10.365981479582059,No,Highly Likely to Crash
85,Type B,57,Average,72,5,Cloudy,2,5376,2.5531113152194886,Yes,Highly Likely to Crash
86,Type C,50,Average,74,3,Clear,0,8350,8.263870251625388,No,Highly Likely to Crash
87,Type A,86,Good,77,4,Cloudy,0,4625,6.491073749171085,No,Highly Likely to Crash
88,Type B,71,Good,60,5,Clear,3,19597,7.325893935671906,Yes,Highly Likely to Crash
89,Type A,55,Good,82,1,Stormy,0,5828,14.526916661219309,No,Highly Likely to Crash
90,Type A,70,Good,73,1,Cloudy,1,16700,2.9080446677164917,Yes,Inconclusive
91,Type A,81,Average,51,2,Cloudy,2,9772,11.565802469759577,No,Inconclusive
92,Type A,84,Poor,79,5,Stormy,0,12196,5.62479911842594,No,Highly Likely to Crash
93,Type C,64,Good,66,3,Stormy,3,3879,5.065011826732672,Yes,Highly Likely to Crash
94,Type A,54,Good,89,1,Clear,2,18482,4.7908835425897145,No,Highly Likely to Crash
95,Type A,95,Good,83,2,Cloudy,0,16619,5.8829417451204735,Yes,Inconclusive
96,Type A,99,Poor,87,5,Stormy,2,16512,5.999638834310485,No,Highly Likely to Crash
97,Type C,97,Good,71,2,Cloudy,0,3872,4.790458072547599,Yes,Inconclusive
98,Type A,55,Poor,54,3,Stormy,3,17953,10.344904068828663,Yes,Highly Likely to Crash
99,Type A,74,Average,97,1,Cloudy,0,14912,1.6681077718034913,No,Inconclusive
100,Type C,95,Average,89,1,Stormy,0,19660,5.652113281282379,Yes,Inconclusive
101,Type C,89,Average,100,1,Cloudy,0,1692,4.92287849570497,Yes,Inconclusive
102,Type C,78,Poor,65,0,Clear,2,17697,11.51985228769818,No,Highly Likely to Crash
103,Type A,56,Good,62,1,Cloudy,0,1652,3.0509796162737417,Yes,Highly Likely to Crash
104,Type C,89,Good,75,4,Clear,0,2383,14.169619989361259,No,Highly Likely to Crash
105,Type C,62,Good,80,0,Clear,0,17151,3.3872605686321693,No,Highly Likely to Crash
106,Type A,87,Good,88,5,Clear,2,3312,6.180383096889717,No,Highly Likely to Crash
107,Type C,67,Good,97,0,Cloudy,3,13372,3.7958027081477166,Yes,Highly Likely to Crash
108,Type A,51,Poor,72,0,Cloudy,3,7062,5.013771208609268,No,Highly Likely to Crash
109,Type B,57,Average,97,0,Clear,3,7513,11.654345809353748,Yes,Highly Likely to Crash
110,Type C,60,Good,61,2,Stormy,0,5677,7.66966606233704,No,Highly Likely to Crash
111,Type B,82,Average,63,4,Cloudy,2,17267,3.2760600423435,No,Highly Likely to Crash
112,Type A,87,Poor,67,3,Cloudy,3,19734,1.652888301024032,No,Highly Likely to Crash
113,Type C,97,Poor,76,1,Cloudy,3,17933,4.21882708238385,Yes,Highly Likely to Crash
114,Type A,76,Good,77,0,Cloudy,3,18717,14.238438899364294,No,Inconclusive
115,Type B,69,Poor,67,3,Clear,1,9489,12.834434474632467,Yes,Highly Likely to Crash
116,Type A,61,Average,65,2,Stormy,2,4967,7.162432022936121,Yes,Highly Likely to Crash
117,Type C,92,Good,65,3,Stormy,1,19859,7.747933107243762,Yes,Inconclusive
118,Type C,80,Good,62,0,Stormy,0,5655,13.591125951305928,Yes,Inconclusive
119,Type B,76,Average,78,5,Stormy,3,14636,9.278835353260295,Yes,Highly Likely to Crash
120,Type A,81,Good,58,4,Clear,0,18174,13.330738912082687,No,Highly Likely to Crash
121,Type C,59,Good,75,3,Cloudy,2,8461,7.885747460932768,Yes,Highly Likely to Crash
122,Type B,52,Average,77,0,Cloudy,0,7686,3.8013666676635633,No,Highly Likely to Crash
123,Type C,94,Good,90,0,Clear,0,8006,11.16297771919129,No,Less Likely to Crash
124,Type C,76,Good,62,1,Cloudy,3,19071,8.369506474106176,Yes,Inconclusive
125,Type A,84,Average,85,5,Clear,2,8758,10.358154119558561,No,Highly Likely to Crash
126,Type C,80,Poor,58,1,Stormy,0,13802,3.2012328337929246,No,Highly Likely to Crash
127,Type A,64,Average,96,5,Clear,1,16683,10.06642522686524,Yes,Highly Likely to Crash
128,Type C,65,Good,63,4,Cloudy,3,8291,6.351600063671687,Yes,Highly Likely to Crash
129,Type B,62,Average,100,1,Cloudy,1,7270,5.647968539356743,No,Highly Likely to Crash
130,Type C,98,Good,61,4,Cloudy,3,10393,10.40065757501643,Yes,Highly Likely to Crash
131,Type A,84,Good,81,2,Stormy,0,18489,9.291347585653392,Yes,Inconclusive
132,Type A,60,Average,87,2,Clear,3,8487,10.087504005113862,No,Highly Likely to Crash
133,Type B,70,Good,52,5,Clear,0,7665,14.514662899240877,Yes,Highly Likely to Crash
134,Type C,100,Poor,65,5,Cloudy,1,14014,10.81675057397185,Yes,Highly Likely to Crash
135,Type C,60,Good,69,1,Clear,0,5005,9.972585471820468,Yes,Highly Likely to Crash
136,Type B,79,Average,81,2,Cloudy,3,6307,9.58974258577966,Yes,Inconclusive
137,Type C,97,Poor,72,3,Clear,3,6756,6.581999490952349,Yes,Highly Likely to Crash
138,Type C,84,Poor,66,3,Stormy,3,15656,12.748683675990543,Yes,Highly Likely to Crash
139,Type A,71,Good,65,3,Stormy,1,12408,6.333140435079949,No,Inconclusive
140,Type C,87,Average,87,2,Clear,2,4784,10.803410880557866,Yes,Inconclusive
141,Type C,80,Good,57,3,Stormy,1,14938,5.10401102600534,No,Inconclusive
142,Type B,63,Good,68,4,Stormy,0,2654,3.0685901847280195,No,Highly Likely to Crash
143,Type B,73,Average,79,0,Stormy,0,8242,2.816686302171946,No,Inconclusive
144,Type A,99,Average,83,5,Cloudy,1,14727,9.883823993671179,No,Highly Likely to Crash
145,Type C,98,Good,63,1,Clear,1,14765,5.591369026714263,Yes,Inconclusive
146,Type C,81,Poor,71,4,Clear,0,19688,4.850690040293509,No,Highly Likely to Crash
147,Type C,85,Good,93,3,Cloudy,0,19104,9.288830610990544,Yes,Inconclusive
148,Type A,81,Poor,66,0,Cloudy,0,9690,1.3593765625170267,No,Highly Likely to Crash
149,Type A,64,Good,64,1,Stormy,2,17605,4.447159127785443,No,Highly Likely to Crash
150,Type B,92,Average,99,4,Clear,2,4525,5.767661994439226,Yes,Highly Likely to Crash
151,Type A,84,Poor,97,1,Cloudy,1,16407,10.917230268500774,Yes,Highly Likely to Crash
152,Type C,52,Average,81,5,Stormy,1,14969,8.630017460292507,No,Highly Likely to Crash
153,Type C,65,Average,62,2,Clear,2,5656,12.983840639770293,Yes,Highly Likely to Crash
154,Type A,54,Average,70,3,Stormy,3,14928,5.683089081979096,No,Highly Likely to Crash
155,Type C,70,Average,98,4,Clear,2,14910,5.150173891855819,Yes,Highly Likely to Crash
156,Type C,59,Average,89,4,Stormy,1,11495,1.4647637199101473,Yes,Highly Likely to Crash
157,Type A,68,Good,82,0,Clear,2,5312,14.324042208936945,No,Highly Likely to Crash
158,Type A,74,Poor,76,0,Clear,3,9150,8.020890049530957,Yes,Highly Likely to Crash
159,Type C,53,Good,84,0,Clear,1,16558,8.03533480571341,No,Highly Likely to Crash
160,Type C,78,Good,65,1,Clear,0,2956,13.928106034838375,Yes,Inconclusive
161,Type C,68,Good,77,3,Stormy,1,17090,5.058855303000117,No,Highly Likely to Crash
162,Type B,92,Average,83,1,Cloudy,2,18240,5.649485820640442,No,Inconclusive
163,Type B,51,Good,96,3,Clear,2,13460,10.188867721532002,No,Highly Likely to Crash
164,Type B,59,Poor,50,4,Clear,3,12288,11.99246336859152,Yes,Highly Likely to Crash
165,Type A,92,Good,90,1,Clear,2,7656,10.790350156054876,No,Inconclusive
166,Type B,74,Average,97,1,Clear,3,14765,12.042055955311895,No,Inconclusive
167,Type A,69,Poor,80,1,Stormy,1,8651,9.05151255006836,Yes,Highly Likely to Crash
168,Type A,97,Poor,85,2,Cloudy,2,11487,13.07952875796245,No,Highly Likely to Crash
169,Type B,68,Poor,93,5,Cloudy,1,13060,8.701494220968295,No,Highly Likely to Crash
170,Type B,72,Poor,82,3,Cloudy,0,3173,4.2107687815169275,No,Highly Likely to Crash
171,Type B,73,Good,82,3,Stormy,0,15499,8.583815490980655,Yes,Inconclusive
172,Type C,60,Average,88,1,Cloudy,3,17933,10.981225592197365,Yes,Highly Likely to Crash
173,Type B,95,Poor,67,2,Stormy,2,7323,10.15005475180876,No,Highly Likely to Crash
174,Type C,83,Poor,72,1,Stormy,1,19475,4.4022346815903015,Yes,Highly Likely to Crash
175,Type A,77,Average,72,3,Clear,1,7376,1.5750951920576595,No,Inconclusive
176,Type C,54,Good,64,5,Stormy,2,6473,4.534730645468395,Yes,Highly Likely to Crash
177,Type B,54,Poor,75,5,Cloudy,1,8782,14.776588997552073,No,Highly Likely to Crash
178,Type A,100,Good,79,4,Cloudy,2,9167,3.582527365466289,No,Highly Likely to Crash
179,Type A,70,Good,74,2,Cloudy,2,8556,7.501204618872509,No,Inconclusive
180,Type A,61,Good,94,5,Clear,0,2546,9.93684119100584,Yes,Highly Likely to Crash
181,Type C,99,Good,65,2,Clear,2,8236,13.312624590693591,No,Inconclusive
182,Type B,53,Poor,88,1,Clear,1,4190,11.643620925422907,No,Highly Likely to Crash
183,Type A,98,Poor,97,4,Stormy,2,3245,13.725343477848442,Yes,Highly Likely to Crash
184,Type A,91,Good,94,3,Cloudy,0,3139,9.461371710098792,Yes,Inconclusive
185,Type A,69,Good,63,5,Stormy,0,576,13.114463313789336,No,Highly Likely to Crash
186,Type C,87,Average,66,5,Stormy,3,6973,4.6938019599489325,Yes,Highly Likely to Crash
187,Type C,74,Average,61,0,Cloudy,1,11122,7.027907790378105,No,Inconclusive
188,Type B,63,Average,78,3,Clear,2,19308,12.812814640889842,Yes,Highly Likely to Crash
189,Type C,60,Poor,81,5,Cloudy,1,5796,5.557891348889963,Yes,Highly Likely to Crash
190,Type A,81,Average,73,5,Stormy,1,19105,13.19711001933753,No,Highly Likely to Crash
191,Type B,60,Poor,62,3,Stormy,2,905,6.083610950436734,No,Highly Likely to Crash
192,Type A,67,Poor,69,4,Clear,0,19013,6.087525852126793,No,Highly Likely to Crash
193,Type A,76,Poor,64,2,Stormy,1,12808,5.326460807076023,Yes,Highly Likely to Crash
194,Type C,67,Poor,53,3,Stormy,3,15845,8.65720317092596,No,Highly Likely to Crash
195,Type B,72,Average,83,2,Cloudy,1,897,2.8069623445820793,Yes,Inconclusive
196,Type C,60,Good,77,4,Clear,0,15165,1.5124371258722695,No,Highly Likely to Crash
197,Type C,70,Good,99,4,Cloudy,3,15060,13.56378171959387,No,Highly Likely to Crash
198,Type B,93,Good,51,1,Cloudy,3,10500,14.005135564033086,No,Inconclusive
199,Type A,54,Average,96,0,Cloudy,3,5489,2.0663892664869485,Yes,Highly Likely to Crash
200,Type A,72,Good,79,4,Stormy,3,18828,8.695765769460897,No,Highly Likely to Crash
201,Type B,90,Average,75,4,Stormy,2,9129,8.555550236572536,Yes,Highly Likely to Crash
202,Type A,74,Average,100,2,Clear,2,5891,6.214029525846644,No,Inconclusive
203,Type B,90,Average,96,4,Stormy,2,722,8.964667487064542,No,Highly Likely to Crash
204,Type B,59,Good,75,3,Clear,3,18494,7.413670840192909,Yes,Highly Likely to Crash
205,Type C,71,Good,69,1,Cloudy,0,8330,7.854890198863764,Yes,Inconclusive
206,Type B,68,Good,91,1,Cloudy,1,16730,11.574715523221272,Yes,Highly Likely to Crash
207,Type C,50,Poor,77,3,Stormy,3,4500,8.36344374267764,No,Highly Likely to Crash
208,Type A,56,Average,69,5,Stormy,0,19548,5.531213299274561,No,Highly Likely to Crash
209,Type A,53,Poor,60,4,Clear,1,17949,9.14038556924538,Yes,Highly Likely to Crash
210,Type A,50,Average,59,0,Stormy,3,13987,9.970555959065758,No,Highly Likely to Crash
211,Type A,64,Good,72,4,Stormy,1,5893,10.272358815991108,Yes,Highly Likely to Crash
212,Type C,89,Average,86,1,Stormy,2,1103,9.656293113677615,Yes,Inconclusive
213,Type A,61,Average,90,0,Cloudy,2,6795,10.304438706399198,No,Highly Likely to Crash
214,Type B,71,Poor,68,5,Stormy,2,8880,5.341298971341617,Yes,Highly Likely to Crash
215,Type B,71,Average,94,2,Stormy,0,7603,7.245874783110162,No,Inconclusive
216,Type B,99,Good,67,2,Cloudy,2,17521,10.361886369560867,Yes,Inconclusive
217,Type C,96,Average,98,4,Cloudy,0,15046,11.561159582465038,No,Highly Likely to Crash
218,Type A,66,Average,76,4,Cloudy,2,15956,7.078045801215201,Yes,Highly Likely to Crash
219,Type A,78,Average,55,0,Cloudy,2,18728,6.114659809237231,No,Inconclusive
220,Type A,95,Poor,59,0,Stormy,2,15174,11.022357172420017,Yes,Highly Likely to Crash
221,Type C,63,Average,51,5,Stormy,0,546,4.110424517694756,No,Highly Likely to Crash
222,Type B,99,Average,73,4,Stormy,1,1319,1.1328907375039798,No,Highly Likely to Crash
223,Type B,69,Poor,87,1,Clear,0,4307,7.5963240343062,No,Highly Likely to Crash
224,Type A,99,Poor,77,2,Cloudy,3,19906,3.427224167568772,Yes,Highly Likely to Crash
225,Type B,97,Poor,77,5,Stormy,3,1580,6.2959586265087895,No,Highly Likely to Crash
226,Type B,82,Poor,94,0,Stormy,0,3646,5.077278103686425,Yes,Highly Likely to Crash
227,Type C,92,Good,99,1,Stormy,0,18161,11.881666439197714,Yes,Inconclusive
228,Type C,64,Good,88,4,Cloudy,1,12426,5.639718991597624,Yes,Highly Likely to Crash
229,Type C,61,Average,51,3,Cloudy,0,16430,9.96946107945052,No,Highly Likely to Crash
230,Type C,89,Good,95,0,Cloudy,2,15672,10.434776352390497,Yes,Inconclusive
231,Type A,69,Average,54,5,Stormy,1,15787,7.390359997732975,Yes,Highly Likely to Crash
232,Type C,79,Good,99,3,Cloudy,0,7241,2.1350910974047626,No,Inconclusive
233,Type B,87,Poor,60,1,Stormy,0,2717,10.805111205055681,No,Highly Likely to Crash
234,Type A,52,Poor,59,2,Clear,3,3386,2.052350805455147,No,Highly Likely to Crash
235,Type B,77,Good,92,1,Cloudy,1,13844,2.3889814358098276,No,Inconclusive
236,Type B,75,Good,51,2,Cloudy,3,9487,3.7439631628484435,Yes,Inconclusive
237,Type B,79,Average,64,1,Stormy,0,7793,4.9252611690342105,Yes,Inconclusive
238,Type C,62,Average,88,0,Cloudy,1,3506,12.850323804494678,Yes,Highly Likely to Crash
239,Type C,62,Average,90,0,Cloudy,2,7458,10.44890487946296,Yes,Highly Likely to Crash
240,Type A,51,Poor,86,5,Stormy,0,11081,6.420979037834643,Yes,Highly Likely to Crash
241,Type A,86,Poor,56,3,Stormy,0,4643,14.700784316250546,No,Highly Likely to Crash
242,Type C,98,Poor,69,1,Stormy,3,15199,4.410435591964042,Yes,Highly Likely to Crash
243,Type B,87,Poor,83,1,Clear,2,18102,9.537401423379562,No,Highly Likely to Crash
244,Type A,51,Average,84,3,Stormy,0,8518,12.860997525343157,No,Highly Likely to Crash
245,Type C,85,Poor,83,4,Cloudy,3,10452,12.22831609139499,Yes,Highly Likely to Crash
246,Type C,75,Poor,71,5,Clear,3,9416,2.2643084799187743,Yes,Highly Likely to Crash
247,Type C,60,Poor,80,1,Stormy,0,18228,10.761839131443601,Yes,Highly Likely to Crash
248,Type B,57,Poor,72,5,Clear,1,637,4.610092577737687,No,Highly Likely to Crash
249,Type C,93,Good,68,1,Clear,0,14656,5.9802686929165345,No,Inconclusive
250,Type C,89,Average,53,1,Cloudy,2,13881,7.845887752356317,No,Inconclusive
251,Type C,92,Average,73,4,Clear,0,14393,12.070502324915509,Yes,Highly Likely to Crash
252,Type C,71,Poor,69,0,Stormy,1,16860,3.3268201973666613,No,Highly Likely to Crash
253,Type A,69,Good,88,5,Clear,3,19643,2.5197732905546344,No,Highly Likely to Crash
254,Type A,57,Average,77,3,Clear,2,558,3.148177430611025,No,Highly Likely to Crash
255,Type C,78,Average,88,5,Cloudy,2,17654,4.055129498287764,No,Highly Likely to Crash
256,Type B,89,Poor,66,4,Cloudy,2,888,1.8330259533544078,Yes,Highly Likely to Crash
257,Type A,75,Poor,68,2,Stormy,2,12616,13.968990573981085,No,Highly Likely to Crash
258,Type C,79,Average,97,2,Cloudy,1,7512,5.467167699242477,Yes,Inconclusive
259,Type A,66,Average,84,4,Stormy,1,13126,3.477658818129888,Yes,Highly Likely to Crash
260,Type A,69,Good,81,4,Stormy,1,5352,9.929678851548983,Yes,Highly Likely to Crash
261,Type B,65,Average,96,0,Cloudy,1,17479,12.017945662732807,Yes,Highly Likely to Crash
262,Type C,95,Average,95,5,Clear,3,9127,11.545278318419834,No,Highly Likely to Crash
263,Type C,92,Poor,96,5,Cloudy,0,2482,11.061900699019292,Yes,Highly Likely to Crash
264,Type B,56,Average,95,2,Clear,1,15316,1.7074196561315396,Yes,Highly Likely to Crash
265,Type B,65,Poor,88,3,Clear,0,11560,11.950233269086247,No,Highly Likely to Crash
266,Type C,94,Average,84,5,Stormy,2,12901,8.026300977526013,No,Highly Likely to Crash
267,Type C,96,Average,79,1,Stormy,3,10911,10.087204280441236,No,Inconclusive
268,Type B,97,Average,66,1,Cloudy,3,8709,14.38994474354917,No,Inconclusive
269,Type A,76,Good,91,0,Clear,0,5929,12.349415538636784,Yes,Inconclusive
270,Type A,72,Poor,96,0,Cloudy,0,12658,12.555208129164068,No,Highly Likely to Crash
271,Type B,73,Good,78,2,Stormy,0,18576,3.540541064294403,No,Inconclusive
272,Type A,58,Average,55,3,Clear,3,19654,7.669839768522904,Yes,Highly Likely to Crash
273,Type B,84,Good,66,3,Cloudy,1,4876,14.290556790144983,Yes,Inconclusive
274,Type A,100,Poor,66,4,Cloudy,3,18579,9.157593528989876,No,Highly Likely to Crash
275,Type A,69,Average,63,0,Stormy,1,14478,2.436209176699336,Yes,Highly Likely to Crash
276,Type C,86,Good,73,5,Stormy,2,18470,11.245477548393378,No,Highly Likely to Crash
277,Type C,91,Good,99,1,Stormy,1,13205,1.6009758594706986,No,Inconclusive
278,Type A,66,Poor,86,5,Stormy,0,11361,11.39216173805234,Yes,Highly Likely to Crash
279,Type A,96,Good,89,1,Cloudy,1,8465,13.316816779717065,Yes,Inconclusive
280,Type C,80,Poor,88,2,Stormy,1,19152,6.953501968586688,Yes,Highly Likely to Crash
281,Type C,57,Average,81,1,Stormy,3,10748,6.790580081791221,Yes,Highly Likely to Crash
282,Type C,64,Average,85,5,Cloudy,0,14720,5.258959281566172,No,Highly Likely to Crash
283,Type B,80,Good,99,5,Cloudy,2,7961,13.277135991452258,No,Highly Likely to Crash
284,Type A,79,Average,86,3,Clear,1,13321,8.668984456677418,Yes,Inconclusive
285,Type C,95,Average,97,3,Cloudy,2,13910,9.109639168884664,No,Inconclusive
286,Type A,69,Good,63,0,Clear,0,19633,10.263903471899363,Yes,Highly Likely to Crash
287,Type B,88,Average,76,5,Stormy,1,1905,5.203233265880279,No,Highly Likely to Crash
288,Type B,61,Good,68,2,Clear,3,11679,7.059008358905765,No,Highly Likely to Crash
289,Type C,98,Poor,80,1,Clear,2,4075,11.382480670888183,No,Highly Likely to Crash
290,Type B,66,Poor,95,0,Stormy,3,3227,14.796817559545794,No,Highly Likely to Crash
291,Type A,91,Poor,58,4,Stormy,2,6987,1.4802775609034233,No,Highly Likely to Crash
292,Type C,79,Good,87,4,Stormy,0,15260,1.5970789712519442,No,Highly Likely to Crash
293,Type A,78,Good,66,1,Clear,1,6791,6.993154747760995,Yes,Inconclusive
294,Type A,68,Average,68,1,Cloudy,2,3001,10.234705687334587,Yes,Highly Likely to Crash
295,Type B,95,Average,93,1,Cloudy,3,17821,6.409104747694436,Yes,Inconclusive
296,Type B,60,Average,53,3,Cloudy,2,10772,14.99494115551251,No,Highly Likely to Crash
