FlightID,AircraftType,EngineThrust,PressurizationCycles,ErrorsDetected,MaintenanceHistory,FlightHoursSinceLastCheck,MaintenanceRequired
320,A320,3.44,9.56,No,8.84,1.71,Yes
321,A380,5.41,8.06,Yes,4.29,0.9,No
322,A350,7.59,2.18,Yes,8.14,7.35,No
323,B737,6.43,5.23,No,8.04,1.95,Yes
324,B737,0.23,7.06,No,4.71,6.77,Yes
325,A320,3.04,6.76,No,5.8,2.75,No
326,A350,7.14,2.27,No,2.08,3.33,No
327,A320,7.37,0.56,No,8.1,1.83,No
328,A320,5.79,7.97,Yes,5.31,2.01,No
329,A380,4.44,5.71,No,6.67,7.55,No
330,A380,8.03,0.41,No,0.79,0.64,No
331,B787,8.41,1.51,Yes,3.3,2.51,No
332,A350,5.66,1.85,Yes,7.86,8.0,No
333,A380,4.15,6.55,No,7.58,7.93,Yes
334,B787,9.95,2.15,Yes,2.51,8.76,Yes
335,A380,6.73,0.08,Yes,0.41,9.82,No
336,A380,1.32,7.91,No,5.04,0.48,Yes
337,A350,4.77,7.23,Yes,7.31,2.92,No
338,A380,9.78,7.79,No,0.55,4.92,No
339,A320,0.91,8.5,No,8.88,6.26,Yes
340,A380,3.32,1.05,No,5.56,5.93,No
341,B787,3.2,3.99,Yes,6.11,2.78,Yes
342,A380,9.47,7.9,No,3.12,0.13,No
343,A350,8.09,7.76,No,4.96,1.01,No
344,A380,5.96,2.29,Yes,4.8,3.0,Yes
345,B787,3.6,2.64,No,3.7,4.64,No
346,A350,9.39,2.91,No,2.44,1.85,Yes
347,B737,4.22,1.93,Yes,4.06,2.67,No
348,A350,3.96,2.19,No,9.29,8.18,No
349,B737,2.31,1.71,No,3.37,2.68,Yes
350,A380,2.76,6.89,Yes,1.81,6.52,No
351,A320,6.39,8.31,Yes,0.95,9.37,No
352,B787,5.72,2.66,Yes,3.86,1.44,Yes
353,B787,8.34,3.86,No,0.92,3.32,No
354,A350,2.89,5.23,No,4.56,8.12,No
355,A320,6.03,9.16,No,1.21,6.41,Yes
356,B787,9.01,1.92,Yes,2.07,1.24,No
357,B737,6.8,2.36,No,8.81,5.33,Yes
358,A380,4.17,3.87,Yes,4.1,6.88,No
359,A380,3.21,7.52,Yes,1.51,4.14,No
360,B787,7.33,5.26,No,2.67,0.21,Yes
361,B737,2.91,8.72,No,2.52,9.41,Yes
362,B737,6.42,0.36,No,5.41,3.68,Yes
363,B787,6.51,1.64,Yes,3.16,9.94,No
364,B737,8.39,8.81,No,2.59,9.33,No
365,A380,4.35,9.3,No,4.79,0.42,No
366,A380,9.91,8.54,Yes,8.11,2.66,Yes
367,B787,5.39,2.1,Yes,1.62,5.5,No
368,A380,2.95,5.57,No,2.31,1.02,No
369,B787,9.62,1.04,Yes,0.64,9.05,Yes
370,B787,2.17,0.19,No,9.73,3.01,No
371,A380,2.21,3.94,Yes,9.71,4.67,No
372,B787,7.32,3.12,Yes,7.22,5.16,Yes
373,A350,5.86,8.18,No,0.09,2.02,No
374,A350,6.66,8.3,Yes,2.39,5.61,No
375,A320,5.67,3.48,Yes,7.47,4.7,No
376,A320,9.13,7.64,Yes,9.09,4.93,No
377,A320,3.79,9.88,Yes,2.3,2.65,No
378,A350,0.14,0.32,Yes,5.36,7.32,No
379,A380,5.48,9.72,No,3.08,0.76,Yes
380,A380,6.8,8.01,No,4.29,9.46,Yes
381,A320,6.45,8.46,Yes,0.76,6.64,Yes
382,A320,0.74,2.44,Yes,9.62,9.41,No
383,A320,7.5,9.59,No,6.56,4.21,No
384,A380,2.79,1.03,No,4.58,5.95,Yes
385,A320,3.97,7.9,Yes,2.7,8.86,Yes
386,B787,4.52,4.25,Yes,6.79,1.72,Yes
387,B737,2.05,3.17,No,1.17,4.87,Yes
388,A350,4.24,5.33,Yes,3.55,5.51,No
389,B737,5.93,0.79,Yes,4.67,8.79,No
390,A320,9.29,9.21,No,4.21,8.78,No
391,B787,9.21,8.19,No,9.1,1.29,Yes
392,A320,3.07,9.12,No,9.97,6.58,Yes
393,A320,6.2,3.95,No,4.3,0.34,No
394,B737,4.76,9.53,Yes,9.24,7.5,Yes
395,A380,6.27,7.67,No,7.17,1.4,No
396,B787,0.73,0.66,No,0.22,0.23,Yes
397,B737,2.29,4.26,Yes,9.44,7.52,No
398,B737,5.94,2.21,No,1.36,4.41,Yes
399,A380,0.43,3.64,No,5.84,5.56,Yes
400,B737,9.64,5.13,Yes,9.98,8.74,No
401,A350,0.93,0.92,Yes,0.25,8.02,No
402,A320,9.68,5.5,Yes,4.82,5.52,Yes
403,B787,2.96,3.83,No,9.44,6.56,No
404,B787,3.43,0.33,Yes,0.83,0.68,No
405,A350,2.16,3.53,No,6.84,3.35,Yes
406,A320,3.33,9.79,Yes,6.14,0.51,No
407,A380,4.81,6.65,No,4.7,8.93,No
408,A320,3.29,7.49,No,2.99,0.84,No
409,A350,5.53,9.18,Yes,1.07,9.31,No
410,B787,9.92,3.42,Yes,3.05,2.81,Yes
411,B787,9.02,1.05,Yes,9.56,1.84,No
412,A320,0.1,2.02,No,2.59,9.14,Yes
413,B787,5.24,0.31,No,6.37,1.65,Yes
414,A320,7.74,4.66,No,9.8,4.83,Yes
415,A320,8.3,1.31,Yes,5.22,3.07,Yes
416,A320,7.88,1.23,No,8.63,8.89,Yes
417,B737,4.87,2.75,Yes,4.12,2.38,No
418,B787,7.95,7.53,No,0.91,1.24,No
419,A380,4.13,6.44,No,2.61,1.67,Yes
420,A320,4.45,5.06,No,7.86,5.22,No
421,A320,7.5,6.79,Yes,9.69,5.19,Yes
422,A350,2.16,0.89,Yes,8.16,0.61,No
423,B737,0.41,4.4,Yes,5.22,2.56,No
424,A350,2.17,3.45,Yes,6.28,2.7,No
425,B737,4.04,4.93,Yes,0.51,4.89,Yes
426,B787,6.77,5.96,No,2.19,3.48,Yes
427,B737,2.22,3.02,Yes,8.22,3.79,Yes
428,B737,8.96,2.94,Yes,3.78,9.29,Yes
429,A320,3.67,3.94,No,2.57,8.98,Yes
430,A380,7.77,0.81,Yes,7.48,1.35,Yes
431,A320,6.05,6.86,Yes,7.41,7.23,Yes
432,A350,7.19,8.35,Yes,7.77,2.65,Yes
433,A350,8.01,2.69,No,4.95,7.01,No
434,B737,5.29,6.57,Yes,3.48,3.89,Yes
435,A320,5.5,6.69,Yes,5.44,4.01,Yes
436,A380,1.39,0.49,No,1.54,8.75,Yes
437,B787,2.59,8.36,No,7.15,3.02,Yes
438,A380,9.7,7.8,No,1.45,6.96,No
439,A350,4.2,1.96,Yes,8.45,5.42,Yes
440,B787,8.98,2.02,No,7.58,4.32,No
441,A380,5.91,5.42,No,0.77,0.82,Yes
442,B737,7.14,9.77,Yes,4.88,3.2,No
443,A380,4.35,3.88,Yes,8.6,1.99,Yes
444,A320,9.01,9.27,Yes,3.67,4.36,No
445,B787,1.72,5.03,Yes,6.36,1.89,Yes
446,A350,2.3,2.51,Yes,6.82,7.66,No
447,B787,7.63,4.02,No,3.91,4.57,No
448,A350,0.42,9.94,No,2.37,8.19,No
449,B787,1.28,5.56,No,1.37,2.0,Yes
450,A350,4.42,5.45,No,1.15,3.45,No
451,A350,0.73,9.65,Yes,4.47,2.03,Yes
452,A380,1.98,9.85,Yes,0.47,3.4,Yes
453,B737,9.23,2.77,Yes,6.55,7.49,Yes
454,A380,0.61,4.2,Yes,7.63,6.86,Yes
455,A380,0.76,3.07,Yes,2.24,4.86,No
456,B787,9.02,6.25,No,1.88,7.99,No
457,B787,8.23,2.68,Yes,8.27,7.76,Yes
458,A320,8.57,3.08,No,6.6,0.15,No
459,B787,1.73,3.76,Yes,2.65,5.88,No
460,A320,5.16,2.67,Yes,5.36,6.87,No
461,A320,5.87,1.2,No,1.34,0.25,Yes
462,B737,9.24,3.46,Yes,2.95,4.23,Yes
463,A350,6.79,6.01,Yes,8.13,5.69,No
464,A320,5.24,6.7,No,7.44,7.75,Yes
465,A380,0.46,9.74,Yes,6.04,5.76,Yes
466,A320,3.12,2.47,Yes,0.01,5.03,No
467,B787,8.11,0.64,No,1.28,7.53,No
468,A350,0.95,7.63,Yes,8.43,2.38,No
469,A350,6.2,5.19,Yes,2.79,9.93,No
470,B787,4.8,3.71,Yes,1.67,6.2,Yes
471,B787,4.64,2.11,Yes,6.33,0.84,No
472,B787,7.53,4.4,No,3.35,2.57,No
473,A380,9.48,2.55,No,7.18,7.81,No
474,B787,1.93,2.62,Yes,1.56,4.25,Yes
475,A380,4.44,8.44,Yes,4.24,2.7,Yes
476,A320,8.19,0.3,Yes,3.34,7.06,Yes
477,B787,2.89,6.1,Yes,9.35,4.04,No
478,A380,4.77,3.64,Yes,2.32,4.08,Yes
479,A380,2.72,0.58,No,4.26,1.18,No
480,A380,4.82,9.84,Yes,5.6,1.96,Yes
481,A380,5.34,8.18,No,6.48,9.52,No
482,B737,1.87,3.94,No,0.39,2.8,No
483,B787,4.12,6.47,No,1.49,0.28,Yes
484,B787,9.07,8.73,No,3.19,2.27,No
485,A350,2.88,5.13,No,9.1,3.72,No
486,A380,1.31,6.49,No,5.35,3.46,Yes
487,A320,3.53,2.82,No,5.15,8.21,Yes
488,A320,0.51,7.61,No,3.09,3.53,No
489,A350,1.58,1.93,No,4.92,9.65,No
490,B787,9.93,0.78,Yes,2.78,7.21,No
491,B787,6.59,4.45,Yes,8.05,0.71,No
492,A350,6.0,4.77,No,2.46,0.3,Yes
493,A380,6.73,6.93,Yes,8.27,7.92,No
494,B737,9.47,5.62,No,6.9,8.9,No
495,A350,5.37,9.61,No,0.73,0.22,No
496,A350,1.93,6.32,No,1.82,8.37,No
497,B787,6.12,8.35,No,0.49,2.5,No
498,B737,7.88,5.83,Yes,7.82,8.85,Yes
499,A320,4.18,8.6,No,8.54,7.04,Yes
500,A350,2.0,2.64,Yes,2.42,7.48,Yes
501,A350,4.59,2.86,Yes,9.21,3.68,No
502,A350,6.39,7.88,Yes,1.82,3.36,Yes
503,A350,5.9,3.77,Yes,8.75,6.8,Yes
504,B787,0.12,5.24,No,2.52,5.57,No
505,A320,9.85,8.54,No,1.35,6.31,Yes
506,A320,2.49,7.55,No,8.64,3.8,Yes
507,A350,2.84,2.59,Yes,2.79,5.65,Yes
508,A380,1.56,5.74,Yes,7.53,6.48,No
509,A350,8.1,2.8,Yes,5.97,7.45,Yes
510,B787,2.2,8.14,Yes,4.06,1.69,Yes
511,B737,9.94,9.92,Yes,2.92,0.96,No
512,A320,1.78,5.23,Yes,9.54,3.38,No
