FlightID,AircraftType,FuelPlanned,FuelActual,RouteAdherence,PerformanceRating,GoAround,WeatherConditions,PilotEfficiency,OptimizedOperation
147,B787,0.94,1.58,4.1,3.6,No,Fog,1.18,Yes
148,B787,2.5,3.88,3.56,0.37,No,Thunderstorm,9.53,No
149,A350,8.39,7.53,5.03,1.84,Yes,Rain,6.23,Yes
150,A380,1.01,3.35,3.44,9.28,Yes,Snow,0.52,No
151,B737,4.25,4.71,9.26,5.61,No,Clear,6.78,No
152,B787,9.88,8.79,6.11,7.94,Yes,Fog,3.63,Yes
153,B737,5.74,5.63,5.47,8.61,No,Rain,4.13,No
154,A380,1.42,2.54,9.57,1.84,Yes,Fog,8.68,No
155,A350,2.31,0.31,2.93,2.78,No,Thunderstorm,4.42,Yes
156,A350,8.83,7.07,4.35,7.63,No,Rain,9.12,Yes
157,A380,1.2,3.27,1.79,6.33,Yes,Thunderstorm,9.12,Yes
158,A320,7.75,4.1,1.0,4.62,Yes,Rain,9.51,No
159,A320,2.38,2.59,0.22,5.41,No,Fog,0.03,Yes
160,A320,4.01,1.54,5.92,8.33,Yes,Clear,8.24,Yes
161,A320,3.85,4.98,2.93,5.41,Yes,Rain,1.52,No
162,B787,6.79,0.93,1.59,2.58,Yes,Snow,7.72,Yes
163,B737,0.69,9.83,4.85,8.62,Yes,Fog,5.46,Yes
164,B787,7.14,5.99,8.17,9.97,Yes,Rain,6.73,Yes
165,B787,6.84,7.05,8.34,4.54,Yes,Snow,1.04,No
166,A380,0.91,0.77,8.37,9.84,No,Fog,9.2,No
167,A380,7.81,1.45,7.58,7.1,Yes,Rain,3.86,No
168,A350,4.21,6.43,5.91,0.27,Yes,Snow,9.58,No
169,B787,2.61,7.18,0.81,7.87,No,Snow,5.1,Yes
170,A320,6.66,4.42,3.8,5.61,Yes,Snow,9.88,No
171,B787,3.1,1.96,9.06,1.46,No,Fog,6.26,No
172,A380,9.09,5.62,6.76,4.12,No,Fog,1.61,Yes
173,A320,8.18,8.07,0.87,0.32,Yes,Rain,6.04,No
174,A320,6.66,4.02,2.17,4.81,No,Rain,3.06,No
175,B737,7.13,9.79,6.33,0.67,No,Rain,1.53,Yes
176,B787,1.72,0.28,7.28,4.11,Yes,Thunderstorm,6.44,No
177,B787,2.18,8.3,6.23,7.64,No,Thunderstorm,5.52,Yes
178,B787,1.08,6.71,2.31,6.99,Yes,Snow,2.97,Yes
179,B737,1.35,3.51,6.6,6.08,Yes,Fog,4.74,No
180,A380,2.08,7.12,8.43,0.18,No,Snow,3.15,No
181,B737,6.79,9.49,0.59,9.04,No,Fog,6.02,No
182,A380,0.7,4.61,6.63,1.49,No,Fog,3.09,No
183,A380,6.44,6.85,5.65,5.75,No,Rain,4.88,No
184,A350,7.3,1.48,4.37,0.25,No,Fog,9.79,Yes
185,A350,1.39,7.06,2.54,9.24,Yes,Thunderstorm,8.5,No
186,B737,7.98,6.57,2.08,2.1,Yes,Thunderstorm,5.24,No
187,A320,0.31,0.82,3.03,3.11,No,Snow,9.58,No
188,A350,9.08,8.79,4.51,3.19,No,Thunderstorm,3.65,Yes
189,B787,5.21,4.79,5.59,3.1,Yes,Fog,4.65,Yes
190,A350,2.2,5.36,1.81,3.9,No,Clear,6.13,No
191,A350,3.01,6.39,5.35,9.0,No,Rain,1.31,Yes
192,B787,7.06,7.89,7.79,4.23,Yes,Rain,7.39,Yes
193,A350,3.44,6.95,6.49,1.02,Yes,Snow,7.45,No
194,B787,8.95,7.81,8.78,7.62,Yes,Snow,5.7,Yes
195,B737,2.48,3.34,0.36,5.08,No,Snow,0.04,Yes
196,B787,1.16,2.92,6.06,1.27,Yes,Fog,5.71,No
197,B737,9.7,5.97,8.98,4.37,No,Thunderstorm,2.34,No
198,B787,3.3,1.77,8.55,9.03,No,Snow,1.82,No
199,A380,5.26,8.64,6.22,6.24,No,Snow,1.34,Yes
200,A380,2.69,8.72,0.81,0.02,Yes,Rain,5.29,No
201,A350,4.3,7.5,9.47,9.75,No,Snow,8.89,No
202,A380,0.63,6.91,1.14,5.74,No,Fog,7.58,Yes
203,B787,8.8,3.22,6.16,1.27,Yes,Rain,1.07,Yes
204,B737,1.88,9.83,1.58,1.22,No,Rain,5.38,No
205,A320,6.7,7.11,5.42,5.75,No,Thunderstorm,5.45,No
206,A350,9.09,8.67,2.35,7.58,Yes,Fog,5.87,No
207,A350,5.99,4.72,5.86,6.1,Yes,Fog,5.24,Yes
208,B737,0.36,1.72,3.11,2.6,No,Thunderstorm,2.47,No
209,A320,4.05,5.7,0.2,5.37,No,Snow,0.94,Yes
210,A350,9.77,8.57,9.49,3.78,Yes,Fog,5.32,No
211,A350,9.83,4.04,4.3,0.54,Yes,Clear,2.06,No
212,A380,1.07,1.4,5.42,9.74,No,Fog,5.13,Yes
213,B787,6.86,7.48,2.33,0.98,Yes,Fog,8.33,No
214,A320,9.73,6.32,9.55,5.91,Yes,Thunderstorm,2.64,No
215,B787,5.97,8.31,8.48,4.98,No,Snow,1.71,No
216,B737,3.18,2.85,4.18,1.57,Yes,Clear,7.0,No
217,A380,4.94,8.69,4.14,6.96,Yes,Clear,7.83,No
218,A380,1.87,6.09,2.03,0.87,Yes,Thunderstorm,8.06,Yes
219,A380,0.04,5.32,9.56,1.25,No,Snow,3.79,Yes
220,B787,4.62,3.93,0.82,9.07,No,Thunderstorm,8.25,No
221,A350,4.97,1.78,7.54,7.16,Yes,Fog,5.13,Yes
222,A320,2.91,0.72,1.55,5.46,Yes,Snow,0.04,Yes
223,A320,2.31,8.02,4.06,3.45,No,Fog,0.45,No
224,B737,7.83,9.9,5.9,9.42,No,Fog,2.01,Yes
225,B737,7.91,5.43,7.61,0.99,No,Clear,3.97,No
226,A380,0.43,8.78,6.68,5.34,No,Fog,0.73,Yes
227,A350,0.73,8.04,1.55,3.62,Yes,Clear,7.29,No
228,B737,6.24,7.89,3.11,4.25,No,Clear,8.34,No
229,B737,5.67,4.42,6.48,0.83,No,Snow,9.03,No
230,A380,6.88,7.76,2.16,6.24,Yes,Snow,2.98,Yes
231,A350,4.82,1.48,9.4,2.4,No,Fog,0.75,Yes
232,A380,7.06,7.43,0.85,5.1,Yes,Rain,3.05,No
233,B737,2.71,4.73,1.23,8.3,Yes,Fog,3.65,No
234,A350,8.21,2.2,3.29,7.95,Yes,Rain,7.88,Yes
235,A320,0.86,6.96,3.28,9.72,Yes,Clear,1.52,No
236,A320,6.87,7.54,4.55,8.63,No,Rain,9.75,No
237,A380,8.04,9.36,9.0,1.8,No,Fog,3.37,Yes
238,A350,2.66,9.58,0.74,3.41,No,Fog,3.85,No
239,A350,7.83,2.64,0.79,5.36,No,Fog,6.9,Yes
240,A380,4.59,2.0,6.87,0.54,Yes,Fog,7.23,No
241,A320,6.49,7.71,1.88,9.65,Yes,Snow,1.3,Yes
242,A320,0.87,7.14,8.46,4.9,No,Fog,6.28,Yes
243,B787,4.64,9.29,0.24,0.19,No,Rain,2.53,Yes
244,A320,4.93,5.69,8.13,5.15,Yes,Thunderstorm,1.8,Yes
245,B737,2.98,7.78,4.0,5.02,Yes,Clear,6.37,Yes
246,B737,8.38,9.07,4.91,9.06,Yes,Rain,8.99,No
247,A320,5.92,7.09,9.05,8.93,Yes,Clear,9.18,Yes
248,A380,4.06,8.84,4.16,7.49,Yes,Clear,3.27,Yes
249,B737,9.66,6.53,0.32,7.48,No,Clear,8.97,No
250,A380,4.26,0.37,9.54,3.67,Yes,Clear,5.75,Yes
251,A350,3.91,6.95,6.93,1.31,No,Clear,7.08,No
252,B787,5.26,1.66,3.31,8.63,No,Fog,7.36,Yes
253,A350,3.7,9.34,0.07,4.68,Yes,Thunderstorm,8.81,Yes
254,A320,1.42,3.62,0.08,9.1,No,Rain,8.85,Yes
255,A380,4.43,8.2,4.01,1.62,No,Fog,2.85,No
256,A380,2.4,6.48,4.82,5.32,No,Rain,5.38,Yes
257,B787,1.62,5.86,3.42,9.11,No,Fog,9.94,No
258,B787,1.78,6.26,5.65,8.41,No,Rain,3.66,No
259,A380,7.57,3.55,2.15,5.05,No,Fog,7.4,Yes
260,B737,2.56,2.8,4.51,3.16,Yes,Fog,4.11,No
261,A350,1.9,9.3,7.85,7.56,No,Rain,7.4,Yes
262,B787,5.01,2.1,8.15,1.27,No,Snow,9.37,Yes
263,A380,8.12,8.79,0.64,5.57,No,Fog,6.11,No
264,A320,0.11,4.14,9.53,7.13,No,Thunderstorm,5.74,No
265,A350,9.95,8.7,2.05,4.24,Yes,Clear,2.04,Yes
266,B787,2.68,0.17,3.57,8.68,Yes,Fog,5.66,Yes
267,A380,2.33,0.05,6.08,1.64,Yes,Clear,5.26,No
268,A350,5.34,4.5,2.01,5.79,Yes,Clear,1.23,Yes
269,A350,0.32,9.77,4.96,6.37,No,Rain,3.0,No
270,B737,4.44,9.65,9.0,2.79,Yes,Snow,1.87,No
271,B737,3.04,7.99,5.96,7.6,Yes,Clear,2.87,No
272,B737,3.44,3.98,1.57,7.93,No,Thunderstorm,1.47,No
273,A350,6.12,2.96,4.91,1.24,Yes,Rain,2.2,Yes
274,A320,4.64,7.56,4.07,1.96,Yes,Thunderstorm,4.66,No
275,A320,1.54,7.78,3.71,2.67,No,Clear,0.25,No
276,B787,1.72,8.4,0.86,0.99,Yes,Snow,3.06,No
277,A320,2.51,6.82,0.83,7.18,Yes,Rain,7.39,No
278,B787,3.19,3.54,4.63,0.63,Yes,Clear,8.4,Yes
279,A350,4.1,8.34,7.83,1.07,Yes,Snow,7.88,No
280,A380,3.43,3.3,3.72,0.1,No,Thunderstorm,8.84,Yes
281,B787,8.21,4.56,0.23,2.31,Yes,Thunderstorm,9.16,Yes
282,A380,4.17,3.25,8.72,6.56,Yes,Clear,5.55,No
283,B737,7.18,1.56,3.53,1.51,Yes,Rain,5.12,No
284,A320,0.13,8.49,2.63,6.29,No,Rain,8.29,No
285,A320,7.49,4.81,4.49,2.23,Yes,Snow,4.53,Yes
286,A350,5.16,0.7,3.25,1.22,Yes,Clear,7.14,Yes
287,B787,4.72,7.94,5.45,8.82,Yes,Fog,7.94,Yes
288,A380,7.58,6.41,1.99,1.34,Yes,Thunderstorm,5.18,No
289,A380,5.43,5.19,2.02,1.29,Yes,Rain,0.68,Yes
290,B787,4.78,7.97,3.97,9.36,No,Thunderstorm,7.05,Yes
291,A380,6.99,5.36,6.65,6.68,Yes,Thunderstorm,8.41,Yes
292,A350,7.47,7.53,3.91,6.62,No,Rain,4.91,Yes
293,B737,8.73,3.49,1.58,9.83,No,Fog,2.79,Yes
294,A380,9.25,2.96,7.01,9.13,No,Clear,8.66,Yes
295,B737,5.54,4.23,1.49,0.36,No,Fog,1.32,Yes
296,B737,0.7,9.47,7.21,2.92,No,Snow,1.46,Yes
297,A380,0.59,7.19,3.34,0.27,Yes,Clear,3.08,Yes
298,B737,0.87,6.99,1.03,8.84,Yes,Rain,7.48,Yes
299,A320,2.42,7.71,2.28,6.9,Yes,Rain,2.64,Yes
300,A320,0.12,1.67,4.0,3.49,No,Snow,9.07,Yes
301,B737,0.28,7.06,2.53,9.46,Yes,Thunderstorm,4.44,Yes
302,A320,4.01,7.91,1.98,1.22,Yes,Thunderstorm,2.39,Yes
303,B787,6.92,9.4,6.8,7.31,Yes,Clear,7.47,No
304,A380,1.85,6.35,9.56,8.48,Yes,Snow,4.23,Yes
305,A380,8.97,3.02,9.71,0.81,Yes,Fog,1.65,Yes
306,B737,7.78,6.68,1.98,3.25,Yes,Thunderstorm,8.22,Yes
307,B787,1.23,6.64,5.92,2.36,Yes,Rain,2.73,No
308,A380,4.02,8.23,2.37,8.65,Yes,Snow,5.14,No
309,B787,3.98,8.28,3.3,5.03,No,Snow,8.43,Yes
310,A380,1.67,0.76,5.3,5.34,Yes,Clear,0.29,Yes
311,A350,6.2,6.02,5.59,3.4,No,Snow,0.15,No
312,A350,3.5,2.72,6.59,0.54,Yes,Clear,7.39,No
313,A350,4.81,4.1,7.1,8.51,No,Snow,6.05,Yes
314,B737,4.23,4.97,8.58,6.38,Yes,Thunderstorm,7.01,Yes
315,A350,8.34,0.48,8.49,9.1,No,Rain,2.74,Yes
316,A320,9.07,5.38,8.48,6.97,Yes,Rain,2.43,No
317,A380,0.14,6.72,3.23,8.59,Yes,Rain,0.45,No
318,A320,0.39,6.79,6.44,8.01,No,Thunderstorm,4.51,Yes
319,A350,6.24,4.31,8.08,8.93,Yes,Fog,5.69,Yes
320,B787,8.32,6.52,1.6,1.67,No,Thunderstorm,7.56,Yes
321,B787,8.61,7.7,4.45,4.73,Yes,Fog,9.28,No
322,B737,4.87,5.27,5.69,8.38,Yes,Rain,0.85,No
323,B787,2.97,4.37,8.59,7.36,No,Rain,2.98,Yes
324,B787,7.64,0.11,8.29,1.94,Yes,Clear,0.67,No
325,B787,0.69,1.81,2.86,7.51,No,Thunderstorm,4.0,No
326,A350,1.21,2.34,8.04,4.88,Yes,Clear,7.75,No
327,B787,4.31,6.75,0.88,0.16,No,Thunderstorm,2.68,No
328,B787,0.97,8.63,1.64,4.77,Yes,Rain,7.52,Yes
329,B737,5.88,5.52,3.4,8.38,Yes,Clear,2.59,Yes
330,B737,2.08,2.59,4.31,1.3,Yes,Rain,8.06,Yes
331,B737,5.83,6.76,0.54,2.66,No,Thunderstorm,7.84,No
332,B737,8.43,8.26,5.09,0.46,No,Fog,8.41,No
333,B737,8.23,3.31,8.96,3.17,No,Snow,7.21,No
334,A350,7.8,9.82,6.31,9.89,Yes,Fog,1.22,No
335,B737,7.5,5.83,3.63,6.95,No,Fog,0.37,Yes
336,B737,1.59,8.07,9.61,7.41,No,Rain,8.89,No
337,B787,4.36,3.78,2.41,8.8,No,Clear,3.47,No
338,B787,3.86,3.84,9.1,0.56,Yes,Fog,4.82,No
339,B737,6.86,6.27,9.26,1.33,No,Thunderstorm,1.36,Yes
340,A320,0.45,1.43,3.83,7.45,Yes,Fog,8.61,Yes
341,B787,4.71,3.61,9.39,5.91,No,Snow,3.0,Yes
342,B787,0.09,3.02,8.95,0.91,No,Clear,8.93,Yes
343,A350,9.32,8.66,0.97,1.23,Yes,Fog,0.48,Yes
344,A380,7.39,2.16,3.19,1.27,Yes,Thunderstorm,5.93,No
345,A380,2.14,5.47,8.1,0.14,Yes,Rain,0.8,Yes
346,B737,9.56,7.13,2.12,3.3,No,Fog,1.3,No
347,B737,4.08,3.02,6.7,8.43,No,Fog,5.6,Yes
348,A380,2.31,2.72,5.13,6.11,Yes,Fog,9.86,Yes
349,A380,1.47,5.92,9.71,6.91,No,Fog,0.02,No
350,B787,8.76,3.4,5.82,9.69,Yes,Clear,8.13,Yes
351,B787,4.08,8.32,9.5,1.13,Yes,Snow,9.87,Yes
352,B787,8.33,6.4,8.64,2.58,Yes,Thunderstorm,7.27,No
353,A380,0.73,7.23,3.77,7.59,Yes,Thunderstorm,3.36,Yes
354,A320,5.13,6.92,9.32,7.27,No,Clear,0.45,No
355,A320,3.33,4.83,1.09,2.12,Yes,Snow,2.55,No
356,A320,2.76,8.75,7.9,2.66,Yes,Clear,8.94,No
357,B787,0.66,0.21,4.75,4.0,Yes,Thunderstorm,9.7,Yes
358,A350,1.14,5.11,8.51,5.12,Yes,Thunderstorm,9.25,Yes
359,B737,5.71,2.11,2.03,8.14,No,Thunderstorm,3.94,No
360,A350,3.28,1.01,6.92,5.73,No,Snow,4.0,Yes
361,A350,5.28,3.57,6.51,2.55,No,Clear,1.22,No
362,B787,3.2,1.45,1.69,5.24,No,Rain,0.97,No
363,A320,4.21,2.1,8.44,8.85,Yes,Clear,3.43,Yes
364,A320,7.46,5.41,4.7,3.66,No,Fog,5.18,Yes
365,A350,8.4,8.1,0.96,8.27,Yes,Rain,4.59,Yes
366,A380,9.77,0.41,7.88,0.2,Yes,Thunderstorm,8.33,No
367,A320,4.22,6.59,7.33,5.87,No,Snow,7.18,Yes
368,B787,3.25,9.18,5.64,9.14,No,Thunderstorm,9.14,Yes
369,A320,5.2,5.37,9.21,1.36,No,Fog,8.22,No
370,B737,1.06,5.34,3.5,4.06,Yes,Clear,1.51,No
371,B737,8.03,5.27,8.34,0.96,No,Fog,0.31,Yes
372,A350,1.82,9.33,6.2,1.91,No,Fog,4.71,No
373,A350,8.88,1.69,9.17,6.25,No,Rain,1.41,No
374,B787,9.81,4.8,1.14,3.08,Yes,Rain,4.31,Yes
375,A320,1.7,3.76,5.32,5.68,Yes,Snow,3.79,Yes
376,A350,7.14,5.45,6.72,8.9,No,Fog,0.66,Yes
377,A320,2.04,6.84,8.07,2.92,No,Rain,4.86,Yes
378,B787,0.22,8.86,2.1,6.28,No,Snow,8.66,Yes
379,B737,7.02,6.93,2.87,3.41,Yes,Thunderstorm,5.82,Yes
380,B737,5.65,9.47,1.58,7.46,No,Thunderstorm,2.21,Yes
381,A320,8.42,3.13,2.29,3.35,Yes,Rain,3.96,Yes
382,B787,4.86,7.29,3.76,2.6,Yes,Fog,1.59,No
383,A320,7.12,5.15,8.69,0.85,Yes,Snow,9.3,No
384,A350,6.85,6.5,5.04,8.94,Yes,Rain,1.4,Yes
385,A350,3.29,1.81,0.07,6.47,Yes,Thunderstorm,2.3,No
386,A320,9.85,7.48,3.13,3.3,No,Fog,7.86,No
