FlightID,AircraftType,RouteAdherence,LandingQuality,PerformanceRating,ErrorsDetected,WeatherConditions,AirTrafficControlIssues,PilotExperience,FlightDuration,AccidentOccurred
50,A380,7.7,5.15,2.98,No,Clear,Yes,4.72,4.99,Yes
51,A380,9.35,2.0,8.07,No,Fog,No,6.1,5.55,Yes
52,B737,5.83,4.49,0.87,No,Thunderstorm,Yes,2.53,5.39,Yes
53,B737,4.67,0.42,2.08,Yes,Thunderstorm,Yes,2.8,7.44,No
54,B787,1.74,1.66,1.25,Yes,Thunderstorm,Yes,9.09,3.72,No
55,A380,7.15,2.33,3.98,No,Fog,No,7.54,3.88,Yes
56,A350,1.95,2.14,5.78,Yes,Thunderstorm,No,8.91,8.82,No
57,B787,9.77,2.14,5.91,No,Rain,No,4.09,7.23,Yes
58,A320,7.75,1.34,2.43,No,Clear,Yes,2.54,9.14,Yes
59,A350,6.99,2.65,0.84,No,Snow,No,9.24,7.04,Yes
60,B737,0.19,1.66,1.93,Yes,Clear,No,4.24,7.36,Yes
61,A380,0.82,3.94,5.57,No,Fog,No,3.16,4.62,Yes
62,B737,5.95,9.22,9.84,Yes,Fog,No,5.88,1.04,Yes
63,B787,6.89,7.95,6.48,Yes,Fog,Yes,4.96,0.75,No
64,B787,8.62,1.38,8.06,No,Snow,Yes,7.17,4.68,Yes
65,A380,0.52,3.24,5.84,No,Clear,No,8.28,5.35,Yes
66,B787,8.65,6.8,8.15,Yes,Snow,Yes,9.22,5.63,No
67,A380,1.95,8.07,2.61,Yes,Snow,No,1.57,8.66,Yes
68,A320,6.24,7.65,5.46,No,Thunderstorm,Yes,8.88,0.17,Yes
69,B737,4.57,2.11,6.58,No,Rain,Yes,2.9,5.03,Yes
70,B787,6.48,2.03,4.5,Yes,Clear,No,7.71,9.47,No
71,A320,3.81,4.25,9.11,Yes,Clear,No,7.9,8.77,Yes
72,A380,8.39,9.05,4.86,No,Snow,Yes,4.49,8.01,Yes
73,A320,4.67,2.3,8.9,No,Snow,No,6.39,5.86,Yes
74,B737,1.86,4.13,4.37,No,Rain,Yes,0.48,8.23,Yes
75,A380,2.41,6.13,3.63,Yes,Clear,No,7.48,9.31,Yes
76,A320,0.77,5.09,0.17,No,Thunderstorm,Yes,3.16,4.39,Yes
77,A350,2.91,8.33,1.09,No,Thunderstorm,No,7.22,3.63,Yes
78,B737,1.57,6.27,4.03,No,Clear,No,9.62,0.15,Yes
79,A380,9.0,6.8,9.61,No,Fog,No,7.19,6.38,No
80,A350,9.91,9.59,6.45,No,Rain,Yes,1.97,7.39,No
81,A350,9.31,1.82,4.23,Yes,Snow,Yes,7.09,0.99,No
82,B787,9.82,0.47,6.11,No,Snow,No,8.22,9.36,Yes
83,B787,4.83,7.04,0.16,Yes,Fog,No,5.02,9.22,No
84,B787,0.74,3.8,9.45,No,Clear,Yes,8.48,9.35,No
85,A350,6.9,3.19,4.65,Yes,Fog,Yes,5.45,5.35,Yes
86,A380,3.2,9.07,7.84,No,Snow,Yes,0.04,4.03,No
87,B737,9.68,8.23,6.35,No,Thunderstorm,No,2.6,8.81,No
88,A380,3.81,4.26,7.88,No,Rain,No,3.52,9.06,Yes
89,A380,3.63,1.8,2.41,Yes,Snow,Yes,2.31,3.86,Yes
90,A380,0.42,0.33,3.91,No,Thunderstorm,No,8.85,5.19,No
91,B737,0.34,6.35,8.79,Yes,Rain,Yes,9.27,9.33,No
92,B787,8.06,8.92,4.03,No,Thunderstorm,Yes,1.79,5.05,No
93,A380,4.98,6.7,2.2,Yes,Fog,Yes,5.26,9.36,No
94,A320,8.73,8.11,9.96,Yes,Snow,No,6.94,3.42,Yes
95,B787,0.82,6.19,5.64,No,Clear,Yes,4.41,6.78,No
96,A350,3.27,6.82,8.17,Yes,Fog,Yes,3.48,0.5,No
97,A380,7.49,5.3,0.23,No,Thunderstorm,No,3.3,1.87,Yes
98,A350,9.76,7.29,0.36,Yes,Snow,Yes,1.68,4.99,No
99,A380,7.33,7.34,1.59,No,Rain,No,5.38,5.87,No
100,A380,2.35,0.3,0.89,Yes,Snow,Yes,8.76,4.85,Yes
101,A320,4.16,9.52,1.57,No,Snow,Yes,0.06,2.04,Yes
102,A350,5.04,6.34,9.5,Yes,Clear,Yes,9.86,3.12,No
103,A320,7.05,0.33,5.7,Yes,Fog,Yes,5.14,4.12,Yes
104,B737,3.37,0.14,0.82,No,Fog,Yes,5.48,5.15,No
105,B787,9.3,3.92,1.54,No,Rain,Yes,9.52,1.22,No
106,A320,3.28,8.01,9.17,Yes,Thunderstorm,Yes,6.13,9.77,No
107,B787,5.04,4.89,5.16,No,Thunderstorm,No,1.67,2.72,No
108,B787,2.04,1.46,9.92,Yes,Thunderstorm,Yes,6.4,6.12,No
109,A380,0.0,5.97,2.73,No,Clear,No,6.97,6.09,No
110,B737,6.63,3.16,9.32,Yes,Fog,No,8.51,1.57,No
111,A350,7.67,6.28,9.69,No,Fog,No,0.91,9.15,Yes
112,A380,8.52,7.22,9.86,No,Rain,No,3.95,5.36,Yes
113,B787,2.32,1.84,2.85,Yes,Clear,Yes,7.01,2.68,Yes
114,B737,8.53,6.99,3.2,Yes,Rain,No,6.35,6.48,Yes
115,A320,5.48,3.99,6.22,No,Rain,Yes,6.73,7.2,No
116,A320,7.34,0.1,5.78,Yes,Thunderstorm,No,4.94,6.24,Yes
117,A380,8.18,4.67,4.18,No,Rain,No,3.84,3.01,Yes
118,B737,6.74,3.46,1.55,No,Fog,No,3.59,4.12,No
119,A320,4.71,5.51,5.41,No,Rain,No,8.34,6.82,Yes
120,A380,6.79,5.98,2.97,Yes,Thunderstorm,No,2.65,0.64,No
121,B787,1.53,5.99,6.55,Yes,Snow,Yes,2.13,5.64,No
122,A380,9.32,6.14,8.85,Yes,Snow,Yes,3.48,9.4,No
123,A350,9.29,5.32,8.09,No,Clear,Yes,7.66,4.4,No
124,A350,9.85,2.08,3.77,No,Thunderstorm,Yes,2.55,2.23,No
125,A350,2.56,3.2,6.93,No,Thunderstorm,Yes,2.49,7.48,No
126,A320,7.22,0.9,1.37,Yes,Fog,Yes,8.93,2.97,Yes
127,B737,0.03,5.57,0.04,No,Thunderstorm,No,2.34,2.61,No
128,A380,3.44,2.2,5.36,No,Rain,No,6.08,3.07,No
129,A380,6.82,1.68,1.27,No,Rain,Yes,8.7,3.02,Yes
130,B737,5.86,7.52,5.75,Yes,Thunderstorm,No,6.96,2.92,Yes
131,B787,8.42,2.68,5.59,No,Snow,No,0.61,1.95,Yes
132,A320,2.05,1.78,8.16,Yes,Clear,No,5.37,4.38,Yes
133,A350,6.04,7.47,1.5,No,Snow,No,5.67,1.78,Yes
134,A320,0.73,6.66,9.14,Yes,Fog,Yes,2.96,5.57,No
135,B737,4.25,1.23,4.63,No,Fog,No,0.15,4.68,Yes
136,A350,8.46,3.75,6.11,No,Fog,Yes,9.76,5.2,Yes
137,B787,2.79,6.38,6.79,Yes,Rain,No,9.02,8.73,No
138,B787,7.56,6.33,8.13,No,Clear,Yes,8.52,2.08,No
139,A320,3.27,8.82,0.22,No,Clear,Yes,7.51,7.46,No
140,A350,8.25,9.85,2.59,Yes,Snow,Yes,9.97,8.83,No
141,B787,9.19,2.14,5.69,Yes,Rain,Yes,8.09,6.1,No
142,A380,2.75,3.2,0.02,Yes,Rain,No,4.04,5.54,No
143,A350,7.91,4.84,2.61,Yes,Snow,No,9.37,4.24,Yes
144,B787,7.28,9.29,8.5,Yes,Rain,No,8.71,6.28,Yes
145,A320,2.87,0.96,8.8,No,Snow,No,6.44,7.35,Yes
146,B787,8.4,7.54,3.75,No,Clear,Yes,4.05,7.47,No
147,A350,5.44,3.55,6.55,No,Rain,No,4.19,1.22,Yes
148,A350,4.87,1.47,9.58,No,Clear,Yes,0.69,2.5,No
149,A350,3.5,6.61,8.43,No,Rain,Yes,2.35,5.4,Yes
150,A320,5.39,8.9,2.07,Yes,Clear,No,5.58,7.69,Yes
151,B737,4.48,2.79,9.96,Yes,Snow,Yes,3.7,1.26,No
152,A320,5.55,5.67,9.33,Yes,Snow,No,7.74,4.34,Yes
153,A320,0.57,3.59,0.68,No,Snow,Yes,8.85,9.89,No
154,A380,8.95,4.31,3.72,Yes,Fog,No,8.0,3.45,Yes
155,B737,5.32,5.55,2.14,Yes,Snow,Yes,7.23,4.28,Yes
156,A380,3.58,4.7,8.76,Yes,Fog,Yes,3.62,3.3,No
157,A350,3.84,1.41,3.38,Yes,Rain,No,5.69,4.92,Yes
158,B787,1.72,2.97,4.07,Yes,Thunderstorm,Yes,6.78,3.37,No
159,B787,8.67,4.92,4.66,No,Clear,Yes,7.54,5.38,Yes
160,A320,9.36,7.39,1.22,No,Fog,No,2.16,3.16,No
161,A350,5.98,8.16,8.62,Yes,Rain,Yes,5.29,7.34,No
162,B787,5.32,3.92,7.52,Yes,Clear,Yes,0.97,9.25,Yes
163,B737,8.19,5.93,4.08,Yes,Fog,Yes,1.11,0.93,Yes
164,B737,3.81,0.9,7.79,Yes,Thunderstorm,Yes,4.26,1.29,Yes
165,A380,4.77,9.37,4.14,No,Thunderstorm,No,5.12,8.34,No
166,A320,6.52,1.22,5.04,Yes,Clear,No,7.63,2.81,No
167,B737,2.38,7.69,5.57,Yes,Thunderstorm,No,0.47,9.03,No
168,A320,0.11,6.77,1.86,No,Fog,No,2.17,7.88,Yes
169,B737,5.79,8.89,6.48,No,Thunderstorm,Yes,3.35,4.66,Yes
170,A350,7.05,5.34,1.64,No,Fog,Yes,2.19,8.66,No
171,A350,7.31,9.94,0.51,Yes,Snow,No,0.73,8.35,No
172,A380,5.33,5.83,7.57,Yes,Clear,Yes,0.26,0.11,No
173,A320,4.08,0.36,6.68,No,Snow,Yes,8.15,1.88,No
174,A350,6.25,5.82,3.16,Yes,Thunderstorm,No,9.75,2.32,No
175,A380,2.11,1.14,1.32,Yes,Rain,Yes,3.87,9.95,Yes
176,A350,8.31,4.78,4.61,Yes,Clear,Yes,2.14,8.62,No
177,A350,1.21,0.26,3.01,No,Clear,Yes,5.85,4.81,Yes
178,A380,4.05,7.4,0.25,No,Clear,Yes,1.49,6.53,Yes
179,B737,1.61,7.75,2.73,No,Rain,No,2.38,8.28,No
180,A380,1.78,0.77,9.31,No,Thunderstorm,Yes,1.77,0.6,No
181,B787,6.29,8.96,9.62,Yes,Snow,No,5.3,5.42,No
182,A380,7.68,7.37,6.61,Yes,Snow,No,3.77,6.3,Yes
183,A380,1.87,9.54,9.16,No,Thunderstorm,Yes,6.29,7.02,No
184,A320,6.31,3.84,3.91,No,Fog,No,3.06,6.3,Yes
185,A350,0.6,6.5,3.63,Yes,Thunderstorm,No,0.19,0.74,Yes
186,B787,9.9,6.62,5.83,Yes,Fog,No,5.94,5.32,Yes
187,A350,6.67,0.95,4.57,No,Thunderstorm,Yes,4.68,0.03,No
188,B737,6.62,6.05,7.9,Yes,Thunderstorm,No,8.01,6.34,No
189,A320,2.89,2.08,8.96,No,Clear,Yes,9.37,1.03,Yes
190,B737,8.62,6.56,0.98,No,Rain,Yes,3.38,6.37,Yes
191,B787,4.65,5.61,3.15,Yes,Rain,No,4.53,5.6,No
192,A350,6.43,9.51,1.98,Yes,Rain,No,4.71,3.53,Yes
193,A380,4.97,2.47,0.93,Yes,Thunderstorm,No,4.9,1.66,Yes
194,A320,4.9,2.47,8.46,No,Thunderstorm,No,4.19,4.29,No
195,A320,0.96,9.6,2.37,Yes,Thunderstorm,No,9.13,6.66,Yes
196,A320,7.24,6.62,7.77,Yes,Thunderstorm,Yes,8.61,3.25,No
197,A380,9.71,7.03,8.87,No,Snow,Yes,4.03,0.1,Yes
198,A350,9.07,3.06,8.72,No,Thunderstorm,Yes,2.96,7.0,Yes
199,B737,5.37,7.41,5.57,Yes,Clear,No,4.22,3.06,Yes
200,A380,0.68,8.77,1.42,No,Fog,No,6.85,7.17,No
201,A320,6.48,1.37,8.42,Yes,Thunderstorm,No,7.67,0.7,No
202,A380,6.69,9.08,1.23,Yes,Clear,No,9.35,0.14,No
203,B737,0.1,3.35,2.65,Yes,Rain,No,1.35,0.91,No
204,A350,3.67,1.07,3.86,No,Fog,Yes,9.02,2.84,No
205,B737,1.65,3.04,7.42,Yes,Snow,Yes,8.24,6.64,No
206,B787,5.95,6.82,9.4,No,Thunderstorm,Yes,1.63,4.76,No
207,A380,9.62,0.98,2.62,No,Rain,Yes,5.67,6.98,No
208,A380,9.16,0.23,1.48,No,Snow,No,2.73,5.06,Yes
209,A320,2.48,5.17,6.23,Yes,Rain,Yes,1.02,7.88,Yes
210,A380,0.54,6.83,7.14,No,Rain,Yes,2.89,2.72,No
211,A350,4.56,8.08,1.15,Yes,Fog,No,8.65,8.07,No
212,A320,2.95,2.68,3.0,No,Thunderstorm,No,9.92,2.96,Yes
213,B787,5.73,1.97,6.76,Yes,Rain,No,8.77,7.2,No
214,B737,8.28,0.99,8.97,No,Snow,Yes,5.38,3.75,Yes
215,A320,5.89,8.29,6.2,No,Thunderstorm,Yes,0.45,6.99,No
216,A320,3.64,9.58,7.18,No,Thunderstorm,No,1.92,1.77,Yes
217,B737,9.08,8.52,9.33,No,Rain,Yes,4.21,8.78,No
218,B787,9.21,6.33,6.19,Yes,Clear,No,2.64,7.26,Yes
219,A320,3.64,2.49,4.94,Yes,Thunderstorm,No,1.02,8.91,Yes
220,B787,6.42,5.63,7.59,Yes,Rain,No,6.97,6.7,Yes
221,B787,2.37,2.02,5.89,No,Thunderstorm,Yes,0.32,3.79,No
222,B787,6.06,9.42,1.18,No,Rain,Yes,5.43,0.09,Yes
223,B787,3.34,3.37,2.55,Yes,Clear,Yes,8.14,2.6,No
224,A350,7.87,1.24,7.07,No,Clear,No,1.36,2.36,No
225,A350,3.91,9.42,7.78,Yes,Fog,Yes,2.43,7.94,Yes
226,B737,9.54,2.92,0.18,Yes,Fog,No,9.81,9.85,No
227,A320,7.16,8.62,4.07,No,Clear,No,8.51,6.46,No
228,B787,8.18,8.99,7.89,Yes,Snow,Yes,5.17,4.69,Yes
229,B737,7.79,5.24,2.45,No,Snow,Yes,5.31,6.37,Yes
230,A350,5.01,4.95,3.1,Yes,Fog,Yes,1.79,5.53,Yes
231,B787,5.8,9.25,9.18,Yes,Clear,Yes,9.11,6.2,No
232,A380,4.66,7.0,5.63,Yes,Clear,No,8.53,3.89,Yes
233,A320,3.31,5.43,9.12,Yes,Clear,No,5.16,7.44,No
234,A350,4.47,3.53,1.42,Yes,Thunderstorm,No,6.72,8.0,Yes
235,A350,4.58,1.43,6.42,No,Thunderstorm,No,1.14,0.29,No
236,B737,1.67,2.88,2.56,No,Rain,No,1.78,5.02,No
237,A380,7.17,0.69,2.06,No,Thunderstorm,Yes,2.47,0.5,No
238,B787,8.32,1.67,4.81,Yes,Fog,No,1.66,3.17,Yes
239,A320,7.11,0.97,9.84,No,Clear,No,5.81,5.76,Yes
240,B737,3.31,9.01,7.15,No,Clear,Yes,8.52,7.28,No
241,A320,7.41,4.52,0.66,No,Snow,Yes,3.59,6.89,No
242,B787,2.24,8.48,4.03,No,Fog,No,3.13,0.81,No
243,B737,7.34,6.97,1.77,Yes,Snow,Yes,4.33,6.39,Yes
244,B737,7.43,5.04,3.06,Yes,Snow,No,2.9,8.92,No
245,B787,9.47,0.51,8.31,No,Fog,No,5.7,7.59,Yes
246,A380,1.14,7.31,6.17,No,Clear,No,7.9,2.55,No
247,B737,8.87,2.63,0.49,Yes,Thunderstorm,No,7.46,0.85,Yes
248,A350,5.78,8.42,5.0,No,Snow,Yes,4.28,4.43,Yes
249,B787,5.05,3.02,7.35,Yes,Fog,Yes,8.05,9.68,Yes
250,A320,7.28,9.29,7.16,No,Thunderstorm,No,6.23,1.33,No
251,A350,8.18,6.72,5.44,No,Fog,No,5.85,9.52,No
252,A380,2.67,7.35,2.35,No,Fog,No,1.71,2.93,Yes
253,B787,2.91,6.81,4.52,No,Clear,Yes,1.53,9.57,No
254,B737,8.18,2.53,8.43,Yes,Rain,Yes,4.82,8.06,Yes
255,A350,4.67,1.7,0.63,Yes,Fog,No,0.07,7.81,No
256,A350,8.4,2.5,5.52,No,Thunderstorm,Yes,6.16,5.96,Yes
257,B787,2.52,6.1,9.53,Yes,Thunderstorm,Yes,7.38,6.81,No
258,A320,0.66,2.71,1.26,Yes,Thunderstorm,Yes,1.06,9.4,No
259,B737,1.02,4.46,4.02,Yes,Thunderstorm,No,7.78,3.91,Yes
260,A320,1.88,5.53,5.4,Yes,Rain,No,1.5,1.12,No
261,B737,5.23,4.42,0.26,No,Thunderstorm,Yes,9.92,2.79,No
262,B787,3.25,8.88,6.9,No,Fog,No,1.88,9.64,No
263,A380,7.16,6.44,5.69,No,Clear,No,5.16,7.54,No
264,B787,3.23,7.72,7.59,Yes,Rain,No,4.67,0.59,Yes
265,A320,3.58,9.88,4.3,Yes,Fog,No,7.7,6.72,No
266,A380,9.54,2.2,0.08,Yes,Rain,No,4.92,4.7,Yes
267,B787,3.67,5.16,8.59,Yes,Fog,No,8.19,9.78,No
268,A320,9.6,2.27,9.79,No,Thunderstorm,No,8.53,1.84,No
269,A320,0.78,4.19,5.98,Yes,Snow,No,8.04,6.98,No
270,A350,2.63,0.2,4.85,No,Clear,No,8.69,2.55,No
271,B787,9.8,0.83,6.89,No,Clear,Yes,8.52,9.59,No
272,B787,7.73,9.09,6.38,Yes,Rain,No,5.18,9.73,Yes
273,A320,0.87,6.46,3.55,Yes,Snow,Yes,4.4,4.7,Yes
274,A350,1.33,3.86,8.66,No,Clear,Yes,3.0,7.04,No
275,A320,3.73,4.06,5.25,Yes,Thunderstorm,Yes,9.57,6.48,Yes
276,B787,1.21,1.24,9.16,No,Fog,Yes,2.68,1.92,Yes
277,B737,8.41,2.22,2.32,Yes,Fog,Yes,6.69,4.06,Yes
278,A320,9.46,5.19,4.13,Yes,Thunderstorm,Yes,8.33,1.53,No
279,B737,1.02,5.89,0.31,Yes,Fog,Yes,0.58,4.79,Yes
280,B737,7.48,4.45,4.92,No,Rain,No,2.35,7.28,No
281,A380,5.35,5.04,6.86,No,Clear,Yes,8.44,2.0,No
282,A320,2.58,0.75,4.01,Yes,Rain,Yes,1.2,9.56,Yes
283,B787,3.25,8.39,0.61,No,Thunderstorm,Yes,2.68,5.19,Yes
284,A320,9.92,1.44,7.64,Yes,Thunderstorm,Yes,5.95,1.48,No
285,B737,5.71,7.43,1.88,No,Thunderstorm,No,5.05,9.82,Yes
286,B787,5.58,7.85,7.01,No,Fog,Yes,3.39,2.82,Yes
287,A320,4.79,0.93,0.99,Yes,Thunderstorm,No,5.69,4.38,No
288,B737,6.37,6.54,4.52,Yes,Fog,Yes,8.19,9.88,No
289,A320,0.57,6.83,4.11,Yes,Rain,No,9.62,7.16,Yes
290,A320,1.49,2.49,0.88,No,Snow,No,3.32,8.96,Yes
291,A380,7.42,0.08,4.52,Yes,Clear,Yes,0.11,3.07,No
292,B787,3.41,6.45,9.65,No,Snow,No,6.98,5.06,No
293,A380,7.02,1.83,6.12,No,Snow,Yes,4.75,7.07,Yes
294,A350,6.05,5.58,3.49,No,Fog,No,8.95,0.8,Yes
295,A380,3.17,9.41,5.5,Yes,Fog,No,7.48,7.83,No
296,B787,7.23,1.65,4.0,No,Fog,No,7.78,2.37,No
297,B787,8.75,5.1,9.77,No,Snow,Yes,6.52,6.81,No
298,A380,0.75,3.55,6.64,Yes,Fog,No,7.84,6.74,Yes
299,A380,2.32,7.86,5.73,No,Clear,Yes,3.14,6.54,Yes
300,B787,4.84,1.98,0.65,No,Snow,Yes,4.13,2.39,Yes
301,B787,5.12,0.29,5.08,No,Fog,Yes,9.86,7.63,Yes
302,B787,1.5,8.3,0.86,No,Fog,Yes,9.07,1.73,No
303,B787,7.86,3.71,3.19,No,Thunderstorm,Yes,0.03,6.6,Yes
304,A320,8.33,5.93,5.63,No,Fog,No,3.3,1.79,Yes
305,A350,1.33,9.14,6.12,Yes,Snow,Yes,4.52,5.66,Yes
306,A320,3.23,9.3,6.67,Yes,Snow,No,8.02,9.3,No
307,B787,4.33,8.89,5.42,Yes,Thunderstorm,No,9.21,4.96,No
308,A350,2.55,2.59,2.96,Yes,Rain,Yes,6.66,9.41,Yes
309,A380,0.42,0.09,4.83,No,Rain,No,1.91,4.78,No
310,A320,1.33,6.88,6.94,No,Clear,Yes,2.65,8.26,Yes
311,B737,2.11,8.61,8.61,Yes,Rain,Yes,8.67,1.09,No
312,B787,4.69,9.41,6.65,Yes,Clear,Yes,9.36,2.34,Yes
313,B787,8.67,2.8,4.4,Yes,Clear,No,2.85,2.99,No
314,A350,6.72,8.08,4.83,No,Clear,No,1.03,0.84,No
315,B737,4.06,1.65,2.08,Yes,Snow,Yes,6.7,9.06,No
316,A320,1.85,7.65,6.86,Yes,Rain,No,2.44,3.71,No
317,A350,0.3,9.64,3.87,Yes,Thunderstorm,Yes,9.86,5.97,Yes
318,B787,4.51,0.85,2.5,Yes,Rain,Yes,6.67,5.85,Yes
319,B737,7.45,4.2,6.53,No,Clear,No,5.69,6.4,No
320,A380,3.47,3.45,4.16,Yes,Snow,No,0.88,2.2,No
321,A380,8.76,0.56,1.66,No,Thunderstorm,Yes,2.26,2.35,No
322,B737,1.4,4.29,0.59,Yes,Rain,Yes,9.59,2.02,No
323,B787,3.14,8.01,7.36,No,Clear,Yes,3.57,1.36,No
324,A320,7.23,9.93,0.17,No,Rain,Yes,7.19,6.21,Yes
325,A320,6.16,4.77,0.54,No,Snow,No,7.03,7.28,No
326,A350,6.73,0.87,9.33,Yes,Rain,Yes,6.1,5.46,No
327,A320,5.04,8.72,6.08,No,Fog,No,3.21,1.46,Yes
328,B737,1.58,3.0,1.75,Yes,Snow,No,9.79,0.7,Yes
329,B787,6.97,3.12,3.5,Yes,Thunderstorm,No,2.95,3.26,Yes
330,A350,4.35,1.88,3.94,Yes,Fog,Yes,0.54,6.05,Yes
331,B737,3.41,6.95,4.41,Yes,Clear,Yes,8.31,1.47,No
332,A320,6.83,1.91,4.07,No,Thunderstorm,Yes,0.67,9.66,No
333,B787,4.79,1.29,9.52,No,Fog,No,7.23,7.87,Yes
334,A320,9.3,6.32,6.01,Yes,Thunderstorm,No,2.3,7.18,No
335,A320,7.7,6.87,4.43,No,Clear,Yes,0.56,2.27,Yes
336,B787,6.45,9.27,5.81,Yes,Rain,No,1.93,5.56,Yes
337,A350,6.96,3.1,6.73,No,Fog,No,7.48,6.12,No
338,A350,9.81,9.85,9.9,No,Rain,No,7.43,5.92,Yes
339,B737,2.12,4.15,4.06,No,Clear,Yes,5.37,1.15,Yes
340,A350,2.68,0.99,7.0,No,Clear,No,4.27,7.46,No
341,B787,3.81,1.93,0.48,No,Clear,Yes,2.41,1.92,No
342,A350,8.84,6.2,9.37,Yes,Clear,No,5.03,5.28,No
343,A350,6.99,2.13,0.38,Yes,Clear,No,4.42,5.14,No
344,A320,2.58,6.63,6.28,Yes,Clear,Yes,1.91,6.5,No
345,B787,8.53,3.47,5.95,No,Clear,No,5.79,6.28,No
346,B737,4.76,2.14,4.24,Yes,Fog,Yes,7.11,6.89,No
347,B737,4.71,0.78,9.63,Yes,Fog,No,9.21,3.16,Yes
348,B737,5.41,7.22,4.23,Yes,Thunderstorm,Yes,2.18,4.11,No
349,A350,5.8,3.04,8.62,No,Snow,Yes,9.12,4.76,No
350,A350,8.17,1.07,8.11,No,Thunderstorm,Yes,8.34,3.33,No
351,A380,1.81,8.95,0.41,No,Fog,Yes,5.7,1.45,No
352,A380,6.28,9.03,1.92,Yes,Thunderstorm,Yes,7.4,0.1,No
353,A320,0.38,6.32,8.03,Yes,Fog,Yes,0.37,0.42,Yes
354,A320,4.62,4.44,8.18,No,Fog,No,5.4,5.47,No
355,B737,3.99,1.44,0.71,Yes,Snow,Yes,1.24,7.15,No
356,A350,2.97,7.12,2.91,No,Clear,No,6.36,5.2,Yes
357,A320,6.86,7.71,0.55,No,Rain,No,7.32,9.57,Yes
