Aircraft_ID,Aircraft_Age,Total_Flight_Hours,Total_Cycles,Days_Since_Last_Maintenance,Last_Maintenance_Type,Unresolved_Issues,Total_Logged_Issues,Pressurization_Cycles,Wear_Tear_Score,Environmental_Exposure,Maintenance_Priority,Engine_Type,Structural_Integrity_Score,Operational_Region,Maintenance_Cost_Per_Hour,Overall_Aircraft_Usage,Aircraft_Rating
AC-0025,12,33860.63560246153,13275,53,Inspection,1,41,6776,0.8931256135137008,4,Medium,Turbofan,0.6518604767955943,Africa,2033,3.66,1.73
AC-0026,30,23629.221789581472,3461,74,Routine Check,10,5,6239,0.41516787189876503,5,High,Turbofan,0.9914724608101106,Africa,2850,7.78,3.45
AC-0027,6,27001.344191734228,15291,46,Inspection,3,19,4773,0.17493189224556893,1,Low,Turboprop,0.6370680835959692,Oceania,1747,2.58,3.15
AC-0028,2,5000.0,15036,13,Routine Check,9,23,7023,0.7521021182429364,1,Medium,Turboprop,0.6013284609952155,Europe,1000,1.28,1.76
AC-0029,28,20132.855039572507,12435,165,Routine Check,1,26,5503,0.3803610691125875,1,Medium,Turboprop,0.7210770568932914,North America,2067,2.66,2.73
AC-0030,21,38344.45640864136,1685,102,Inspection,1,37,8538,0.8046312528318151,1,Low,Turboprop,0.5284202853561942,Asia,2398,23.6,1.41
AC-0031,1,34815.47376730081,19544,280,Inspection,7,7,7106,0.4983893634343898,2,Low,Turbofan,0.9892472323358954,Africa,1082,2.95,1.0
AC-0032,12,28307.005570639318,13258,258,Routine Check,0,0,2564,0.5367400681083594,2,Low,Turbofan,0.7942167782082123,South America,1697,2.97,1.02
AC-0033,26,24852.817413650635,16990,138,Component Replacement,6,48,5815,0.8001184660736831,3,Low,Turbofan,0.7784760458320876,South America,1814,2.63,1.0
AC-0034,22,32964.054296963266,17422,163,Component Replacement,4,48,817,0.4441269979554652,1,Low,Turbofan,0.82789813994986,North America,1649,2.97,2.22
AC-0035,29,22186.148934489134,11736,111,Inspection,10,23,2002,0.49881461079062306,3,Low,Turboprop,0.7485118238886033,Europe,2948,2.82,1.85
AC-0036,12,8353.068038049922,5875,102,Major Overhaul,7,46,6630,0.43857142189265996,4,Medium,Turbofan,0.5160317585472708,Europe,1403,2.38,1.33
AC-0037,25,24938.008603261274,18640,17,Component Replacement,0,6,7919,0.430606463749552,3,Medium,Turbofan,0.8061556444201984,Europe,2236,2.43,4.0
AC-0038,17,29031.193270855772,12182,268,Inspection,10,18,2542,0.5733519192113135,5,High,Turbofan,0.8580869384782153,Oceania,1765,3.42,1.0
AC-0039,27,36226.77684798021,3196,182,Component Replacement,6,21,5098,0.8279195000510357,2,Medium,Piston,0.7083745303120266,South America,2154,12.4,1.0
AC-0040,27,10588.042395040015,8165,24,Major Overhaul,4,34,618,0.4255914807303093,2,Low,Turbofan,0.8786477860355965,Europe,2045,2.25,4.07
AC-0041,10,23770.886934485447,16997,29,Inspection,3,29,1209,0.571829248483963,1,High,Turboprop,0.6135006496692104,South America,1875,2.39,2.81
AC-0042,28,24246.963452448766,15215,171,Major Overhaul,6,28,4057,0.7036545928983408,1,High,Turbofan,0.610638295533092,North America,2712,2.79,1.0
AC-0043,28,13987.480951528882,1301,228,Inspection,9,21,3750,0.3424955016732895,4,Low,Turbofan,0.580708493843787,Asia,2699,11.64,1.0
AC-0044,16,29876.73274923294,18030,188,Major Overhaul,1,10,8561,0.3497705244121533,4,Medium,Turbofan,0.6859973798945809,Oceania,1687,2.62,1.76
AC-0045,15,32473.680316118014,15571,230,Component Replacement,0,19,9109,0.9400718143211093,5,High,Turboprop,0.9235060176945418,Africa,2006,3.0,1.0
AC-0046,30,22093.076919689567,10951,119,Component Replacement,0,28,3103,0.7511811159979798,1,Medium,Turbofan,0.9139560310745322,North America,2960,3.12,2.76
AC-0047,30,45550.92608621472,11773,156,Major Overhaul,10,40,1601,0.619468008600978,1,High,Turboprop,0.6914121039817519,South America,2864,4.97,1.03
AC-0048,15,21806.39992466342,17140,272,Major Overhaul,0,41,4921,0.6829480489785508,4,Low,Turbofan,0.7945593679901183,North America,1704,2.19,1.0
AC-0049,30,20533.16529309333,14057,175,Major Overhaul,4,33,8357,0.12636949879307655,4,Low,Turbofan,0.8604081582374579,Africa,2712,2.29,2.84
AC-0050,19,20243.286520313977,13500,104,Inspection,9,0,8677,0.6562926690055272,4,Low,Piston,0.6206033873140115,Oceania,2154,2.3,1.0
AC-0051,12,16845.009267115114,16921,92,Component Replacement,6,30,6582,0.5585579859017817,2,Medium,Turbofan,0.5840705429473736,Asia,1947,1.97,1.59
AC-0052,23,19409.74506766143,12870,186,Inspection,1,29,7158,0.5911747118014922,3,High,Turbofan,0.9860479966061555,Africa,2307,2.47,1.84
AC-0053,20,10659.11130767476,5082,283,Component Replacement,9,47,2761,0.42348144414773536,3,High,Turboprop,0.8087786566048092,Oceania,1809,3.29,1.0
AC-0054,25,23084.671760867073,14718,181,Routine Check,7,17,8521,0.17332650794164772,1,Low,Turbofan,0.9907078609168319,South America,1876,2.56,2.44
AC-0055,3,25574.740030242967,11517,170,Inspection,3,16,1008,0.27400531025084696,2,Low,Turboprop,0.6688779935661145,Africa,1000,3.12,2.01
AC-0056,5,5000.0,4754,187,Component Replacement,2,37,2879,0.9556702418914046,4,High,Turbofan,0.8515158499870658,North America,1000,2.21,1.0
AC-0057,19,23980.504875201437,2724,175,Component Replacement,9,13,9379,0.4678296060438406,1,Medium,Turbofan,0.6113018182706189,Europe,1515,9.8,1.25
AC-0058,7,25421.340817419292,2376,222,Inspection,10,22,5252,0.5200148402477778,2,Low,Turbofan,0.6306000856369565,North America,1242,11.74,1.0
AC-0059,21,30145.889906905395,9706,233,Inspection,7,24,9984,0.1474388108680951,5,Low,Turboprop,0.755951060634812,South America,2513,3.94,1.65
AC-0060,9,37046.35072575825,9894,162,Component Replacement,1,14,5995,0.13380960658958255,2,Medium,Turbofan,0.6598090627540356,Asia,1314,4.7,2.45
AC-0061,7,33513.542646005095,19037,134,Inspection,10,45,3709,0.7454633023420819,1,Medium,Turboprop,0.5838107819202922,Africa,1128,2.94,1.0
AC-0062,18,18796.36277464448,19450,224,Major Overhaul,10,21,7898,0.5842851977090002,3,Low,Piston,0.631440350994663,Asia,2157,2.0,1.0
AC-0063,4,17635.878277423537,17406,153,Inspection,2,2,7243,0.55783538579464,4,Low,Turbofan,0.5178741972329324,South America,1062,1.95,1.19
AC-0064,25,30795.04401549854,19844,33,Inspection,2,18,6148,0.31881207738040185,5,High,Turbofan,0.8522118107387433,Africa,2498,2.6,4.41
AC-0065,28,19527.201636624788,6926,55,Inspection,9,43,5671,0.77027565846693,2,Medium,Turbofan,0.7460583285429307,Oceania,2070,3.98,1.59
AC-0066,14,12719.459808763759,7251,7,Component Replacement,10,33,8390,0.2514129211976427,1,Low,Turbofan,0.5471215332022628,Oceania,1250,2.66,2.95
AC-0067,18,48741.41743400597,10496,244,Major Overhaul,0,34,824,0.270941269294918,1,Low,Turbofan,0.5858469965642457,North America,1727,5.65,1.55
AC-0068,26,21892.757353828063,4300,126,Routine Check,5,49,4057,0.5146409542134479,4,Medium,Turboprop,0.5512672690563221,North America,2670,6.27,1.78
AC-0069,9,18734.758173114562,9553,12,Routine Check,1,0,4087,0.3576518759007469,1,Low,Piston,0.8062964041379382,South America,1614,2.83,4.56
AC-0070,26,5000.0,4727,16,Major Overhaul,0,20,651,0.3227166831098317,1,Low,Piston,0.5471051818062469,Oceania,2391,2.15,3.53
AC-0071,21,33514.02092378829,17898,208,Major Overhaul,1,28,1454,0.6807138800979985,4,Medium,Turboprop,0.8771411665176081,Africa,2480,2.92,1.22
AC-0072,2,15120.641542034586,17832,43,Major Overhaul,5,5,4854,0.68587457069669,5,Low,Turboprop,0.5102554596601956,Oceania,1000,1.92,1.5
AC-0073,20,25286.20559567826,7019,135,Component Replacement,3,36,7660,0.8420653628199363,3,Medium,Turbofan,0.6246878939979461,North America,1773,4.54,1.0
AC-0074,28,34686.23156304421,16463,228,Routine Check,5,0,9883,0.4759377102756783,3,Low,Turboprop,0.9453333379459536,South America,2054,3.03,1.76
AC-0075,15,15277.314522759285,11047,111,Major Overhaul,8,0,1187,0.16577658192353523,2,Medium,Turboprop,0.859265659061123,Oceania,2160,2.46,3.17
AC-0076,28,25794.824518175385,12754,160,Component Replacement,9,26,9001,0.34629974642931194,5,Low,Turbofan,0.5364841664628439,South America,2407,2.91,1.0
AC-0077,7,40237.87410193808,3520,264,Routine Check,9,20,3627,0.9820049168771352,2,Low,Piston,0.9105630522425898,Oceania,1698,12.4,1.0
AC-0078,12,5000.0,4081,225,Inspection,7,15,7263,0.6366327177094319,3,Low,Turbofan,0.7465175607701025,Asia,1462,2.1,1.0
AC-0079,29,16894.941530207812,2428,217,Component Replacement,0,43,3895,0.7387633763209183,4,High,Turboprop,0.9233915135844146,Oceania,2274,7.76,1.77
AC-0080,8,15954.581162129287,4967,45,Routine Check,7,39,9505,0.10662204666287309,1,High,Turboprop,0.8003698872251968,North America,1747,4.4,4.0
AC-0081,15,23130.94877439591,7445,214,Component Replacement,8,25,1345,0.5663851589642688,3,Low,Piston,0.8409165160164294,Africa,1904,4.08,1.07
AC-0082,3,24522.09122626462,15566,59,Routine Check,5,15,1664,0.1337757917786228,5,Medium,Turbofan,0.9967507801978541,North America,1000,2.76,4.34
AC-0083,14,14387.373670534096,15042,132,Routine Check,9,27,6404,0.6123071908823031,3,Medium,Turboprop,0.6161677729620091,North America,1693,1.81,1.0
AC-0084,17,18456.266538869844,12329,104,Inspection,4,0,5860,0.9286937646724678,5,High,Turbofan,0.8119727873806941,North America,1895,2.53,1.16
AC-0085,4,17267.75029547177,3159,195,Component Replacement,5,35,854,0.9715772174503671,5,Low,Turbofan,0.7301606950286992,South America,1003,6.35,1.0
AC-0086,18,21492.10754827131,6132,157,Major Overhaul,5,9,2372,0.5864974078500318,5,Medium,Turboprop,0.5197259764613458,Europe,1866,4.62,1.0
AC-0087,8,27182.227325310963,19931,98,Inspection,8,42,2524,0.5123843247269944,2,Low,Turbofan,0.5072353207514325,Europe,1803,2.48,1.2
AC-0088,4,34105.6412237108,15933,226,Inspection,3,16,3317,0.9505153848236446,4,Low,Turboprop,0.5596142889089293,Asia,1000,2.99,1.0
AC-0089,2,35553.30996546415,11473,205,Routine Check,1,22,4332,0.7062488487970255,3,High,Turbofan,0.8245458702692741,North America,1249,4.26,1.03
AC-0090,30,31536.342613353238,11805,79,Major Overhaul,10,6,8757,0.15840935158456854,4,Medium,Turbofan,0.7835815439566961,Europe,2765,3.55,3.55
AC-0091,6,16260.258805149033,4083,124,Component Replacement,10,43,3081,0.5191530199007478,1,Low,Turboprop,0.7767147805818637,Asia,1316,5.03,1.22
AC-0092,22,24967.040796726462,18421,218,Major Overhaul,8,6,9822,0.31622051661787354,3,Low,Turbofan,0.51592838126413,South America,2483,2.55,1.0
AC-0093,10,48743.29403492388,14944,4,Major Overhaul,1,43,2986,0.5228238893038134,4,Medium,Turbofan,0.7346514981800035,North America,1175,4.41,3.51
AC-0094,4,35145.32692687298,8604,90,Major Overhaul,9,14,9526,0.5099190148057255,4,Medium,Piston,0.9623114089212643,Africa,1584,5.27,2.92
AC-0095,22,20594.95441126475,16379,104,Major Overhaul,8,33,8918,0.6239303225332679,1,Low,Turbofan,0.6987959346553233,South America,2009,2.19,1.3
AC-0096,29,40820.3818296378,4983,119,Major Overhaul,1,45,2943,0.42109344131432613,5,High,Turboprop,0.8124612348942282,Asia,2675,9.03,3.13
AC-0097,18,21119.308102025858,2778,133,Routine Check,7,44,9419,0.24784340451033526,3,Low,Turbofan,0.8899093378115718,South America,1763,8.48,3.25
AC-0098,26,18315.980316967318,6110,96,Routine Check,8,3,1536,0.5533474911309607,3,Low,Turbofan,0.8919626395709438,Africa,1822,4.0,2.07
AC-0099,12,38957.31935928564,13087,143,Inspection,9,13,9184,0.8471825959111858,1,High,Turbofan,0.7596400411976356,South America,1417,4.09,1.0
AC-0100,2,11903.507099881017,18508,288,Routine Check,8,13,7935,0.6976110052608421,5,Low,Turbofan,0.9289759727011682,Asia,1124,1.5,1.0
AC-0101,10,5862.224197316438,18081,28,Inspection,9,15,2048,0.4045310793326943,3,Low,Turbofan,0.6956890466818735,Africa,1904,1.39,3.03
AC-0102,30,34412.84578060475,3179,278,Inspection,8,6,9835,0.9419707204829715,3,Medium,Turbofan,0.9443466073923992,Africa,2752,11.75,1.0
AC-0103,4,25276.909316162128,10596,233,Component Replacement,1,31,5565,0.920986814124264,3,High,Turbofan,0.6201135831977727,South America,1000,3.32,1.0
AC-0104,14,26273.65478537156,6251,17,Major Overhaul,3,18,6996,0.2884135594456889,5,Low,Turbofan,0.6401082034952855,Africa,1803,5.27,3.76
AC-0105,16,21385.771605730228,10235,59,Routine Check,6,1,6683,0.1354758266083267,1,High,Turbofan,0.5265603120995006,South America,1919,3.08,3.05
AC-0106,15,22615.066326159416,19313,90,Component Replacement,1,9,4457,0.767177837515686,3,Medium,Turbofan,0.8977909182711414,North America,2202,2.3,2.33
AC-0107,8,20418.900971686235,15871,199,Routine Check,0,49,3907,0.8448492352142379,4,Low,Turbofan,0.7085276181163528,Africa,1128,2.15,1.0
AC-0108,14,18740.070697455998,2013,26,Inspection,2,16,1139,0.9710781093562197,5,Medium,Piston,0.6145583069556995,South America,1863,10.43,1.17
AC-0109,23,21180.897776312384,17610,25,Routine Check,3,36,672,0.9008527546794797,2,Low,Turboprop,0.6158951388082898,North America,1757,2.03,1.53
AC-0110,28,20865.487611823002,2828,267,Major Overhaul,7,11,6166,0.6404812913857734,1,Low,Turboprop,0.9506999706146166,Africa,2700,8.26,1.0
AC-0111,25,16714.162289812644,8909,181,Inspection,5,5,4854,0.5770471052911428,4,Medium,Turbofan,0.9169583002305184,North America,2665,2.94,2.11
AC-0112,30,19548.30800668156,6588,68,Inspection,10,21,4459,0.12505694613632767,3,High,Piston,0.7767654426785917,Oceania,2955,4.11,3.04
AC-0113,8,5000.0,14109,49,Component Replacement,1,31,9208,0.32199080216030007,2,Low,Turboprop,0.8080554002078606,Africa,1075,1.26,4.24
AC-0114,21,31846.422015551685,3023,175,Major Overhaul,8,40,9214,0.5136532765596338,1,Low,Turboprop,0.7371627852751454,Oceania,1869,11.47,1.26
AC-0115,16,28902.532689831423,15537,52,Inspection,1,19,3386,0.665653510075211,5,Low,Turbofan,0.6958332714394044,Asia,1585,2.88,1.99
AC-0116,13,24150.911675041676,6891,102,Major Overhaul,4,0,2664,0.6015266499865696,2,Low,Piston,0.9577384406091658,Asia,2025,4.39,2.87
AC-0117,18,27373.243847597434,2080,216,Routine Check,3,46,4445,0.7683723907135215,2,Low,Turboprop,0.562806351760151,South America,1728,14.28,1.0
AC-0118,15,27735.77403138628,6036,188,Major Overhaul,6,5,5735,0.35179023779833674,4,Low,Turboprop,0.7092233948581139,Europe,2126,5.7,2.09
AC-0119,21,17759.98203395701,16379,57,Inspection,7,18,8246,0.6084573468872259,1,Medium,Turbofan,0.6722809539939376,Oceania,2302,1.94,2.29
AC-0120,24,19674.196977795953,11822,47,Component Replacement,4,17,3090,0.17932801905171292,4,Low,Turbofan,0.7490753601255742,Oceania,2356,2.65,3.64
AC-0121,26,30283.166096303765,3563,159,Inspection,9,5,8254,0.4722989712248863,4,Low,Turbofan,0.7288159372725875,Asia,2155,9.61,1.04
AC-0122,25,27075.03485159136,4292,174,Major Overhaul,4,44,5434,0.7751447496591409,3,High,Turbofan,0.7594447658255408,Oceania,1763,7.24,1.0
AC-0123,28,45433.20489682305,4586,242,Major Overhaul,1,32,4576,0.7240607680861396,5,High,Turboprop,0.5699594886134971,Europe,2174,10.96,1.0
AC-0124,28,41196.12155437311,17087,282,Inspection,7,22,5685,0.991578463454961,2,Low,Turbofan,0.7565707507566386,North America,1970,3.23,1.0
AC-0125,28,34330.1214038835,17100,241,Major Overhaul,1,22,1593,0.3501020133889804,1,Low,Turbofan,0.6212094069436054,North America,2726,3.05,1.12
AC-0126,13,17382.650842721807,7643,5,Routine Check,9,25,4380,0.5483703692565812,5,Medium,Turbofan,0.5921656744940956,Europe,1344,3.14,2.3
AC-0127,9,19354.429967304248,4959,84,Inspection,5,12,7059,0.39657737239659707,5,Low,Turbofan,0.5324171093930956,Oceania,1814,5.04,1.73
AC-0128,29,14979.532763712657,12005,248,Component Replacement,7,6,3285,0.49654280265325723,1,Low,Turbofan,0.8813262793780705,Oceania,2761,2.19,1.32
AC-0129,15,27797.57349786709,11775,54,Inspection,5,14,6565,0.8712551168824493,5,Medium,Turboprop,0.7137209604282799,Oceania,2177,3.27,1.8
AC-0130,13,5000.0,1161,161,Routine Check,3,43,7039,0.7157881676696379,3,Low,Turbofan,0.8133218416558792,South America,2028,5.44,1.36
AC-0131,1,20413.80723057001,17029,226,Routine Check,3,26,2074,0.8941970722128235,5,Low,Turbofan,0.8637966716523717,Africa,1072,2.02,1.0
AC-0132,25,21932.83600678183,17977,15,Routine Check,5,25,6176,0.2831599974986978,3,Low,Turbofan,0.8396583326567768,Europe,1855,2.18,3.77
AC-0133,7,9757.094668300078,15226,224,Routine Check,3,32,8560,0.8860250060572942,2,Low,Turbofan,0.7352503595448412,Europe,1619,1.59,1.0
AC-0134,9,32977.363145786345,12154,61,Routine Check,7,14,4490,0.153786046760546,2,Low,Turbofan,0.6939492644758649,Europe,1935,3.63,3.43
AC-0135,24,13608.582714101174,13080,122,Component Replacement,8,35,5710,0.8997393523934372,4,High,Turboprop,0.6879799548203318,Europe,2592,2.21,1.0
AC-0136,1,27677.426657032614,4390,277,Major Overhaul,0,44,5345,0.3961664015146551,3,Low,Turboprop,0.8200243984650282,Europe,1000,7.41,1.57
AC-0137,12,50000.0,6997,46,Routine Check,3,26,9785,0.38312887007265983,2,Low,Turboprop,0.7473971774709367,Oceania,1244,7.97,3.73
AC-0138,8,8889.943900447788,13693,294,Routine Check,3,4,1689,0.5608797190287975,5,Low,Turboprop,0.9245661239942553,South America,1876,1.74,1.32
AC-0139,24,23514.485949929505,18047,62,Inspection,1,1,3189,0.9466211689509085,1,High,Turbofan,0.937350992163356,Asia,2431,2.31,2.39
AC-0140,11,20925.398623647347,10324,86,Component Replacement,5,32,4595,0.14300322821326483,1,Medium,Piston,0.5852801890032593,Oceania,1399,3.19,3.23
AC-0141,19,18980.313211036155,1541,210,Component Replacement,2,15,2375,0.41700787756367075,3,Low,Turboprop,0.5681168257728628,Oceania,1873,13.24,1.0
AC-0142,17,32602.510946353603,6093,78,Major Overhaul,6,22,8268,0.8709147898150021,4,High,Piston,0.8152004630179998,Africa,1820,6.38,1.11
AC-0143,8,36063.29104828443,14428,202,Component Replacement,10,37,3906,0.45644902969192,5,Low,Turbofan,0.6506128740311397,Asia,1585,3.5,1.0
AC-0144,3,32716.381493013363,12166,223,Inspection,10,15,4432,0.2792412078373603,3,Low,Piston,0.5092853593825495,Europe,1000,3.68,1.0
AC-0145,3,17766.60917548766,18251,222,Inspection,4,13,8740,0.4823147631982706,1,Low,Turboprop,0.9443213346814776,Asia,1000,1.96,1.71
AC-0146,1,49338.48078402416,17063,3,Major Overhaul,3,28,5908,0.44699725134250234,3,Low,Turboprop,0.6134503836219041,South America,1000,3.77,2.98
AC-0147,27,7297.568116581078,11258,6,Inspection,4,25,4361,0.9238745813200331,5,Low,Turbofan,0.9646403258429046,North America,2783,1.75,2.77
AC-0148,5,14673.709309657053,17044,93,Routine Check,7,34,7906,0.7857409381687873,2,Medium,Turboprop,0.8587172254391269,Oceania,1324,1.84,1.27
AC-0149,10,26697.29284390374,6469,8,Routine Check,2,14,3333,0.5546040001696058,5,Low,Piston,0.8813267449557421,Asia,1540,5.31,3.83
AC-0150,7,25893.939191456495,7256,235,Inspection,6,2,5785,0.9895335100494139,2,Medium,Turboprop,0.6007307478965802,Africa,1636,4.47,1.0
AC-0151,26,29880.440793787493,11720,108,Major Overhaul,5,22,8145,0.518749778148331,2,Low,Turbofan,0.6170972128084065,South America,2658,3.62,1.28
AC-0152,9,40801.34095075201,2169,161,Component Replacement,0,28,9523,0.1524140477382477,2,Low,Piston,0.7606338769120329,North America,1234,19.99,3.05
AC-0153,28,23801.490806344013,1830,209,Major Overhaul,6,33,5277,0.3360468896334864,3,Low,Turbofan,0.586049926324931,South America,2383,14.07,1.0
AC-0154,7,26137.294602129805,2651,240,Component Replacement,6,32,3235,0.4924634321973813,1,High,Turbofan,0.6527158463415161,Europe,1780,11.01,1.0
AC-0155,9,19054.839472757507,18520,50,Inspection,0,40,8773,0.24121236173150812,3,Low,Turbofan,0.6607312389739022,North America,1321,2.16,3.31
AC-0156,8,30883.285184606422,10518,11,Inspection,8,40,8778,0.9528086136916387,1,Medium,Piston,0.5798149666263821,Africa,1000,3.88,1.0
AC-0157,12,21815.214893496606,14258,156,Routine Check,5,22,6868,0.7901640080359957,5,Low,Turbofan,0.6025914166975803,North America,1478,2.57,1.0
AC-0158,2,21809.42978933657,17184,70,Component Replacement,1,6,1321,0.3414584803849954,4,Low,Turbofan,0.8942759210041282,Africa,1000,2.13,3.84
AC-0159,1,30434.831529637777,2019,169,Major Overhaul,4,2,8025,0.6317240801661242,5,Low,Turboprop,0.5835979272736342,Europe,1292,16.09,1.0
AC-0160,16,35349.20927080599,11028,272,Inspection,10,31,662,0.7493042413986148,3,Low,Turboprop,0.5142286959219613,Africa,1601,4.1,1.0
AC-0161,23,5000.0,13448,68,Major Overhaul,3,30,8277,0.9471510360161182,3,Low,Turbofan,0.8146774713144692,South America,1904,1.47,2.11
AC-0162,23,28607.784246734285,13485,252,Routine Check,6,17,2432,0.8934718142578696,1,Low,Piston,0.987991559696225,Asia,2333,3.13,1.0
AC-0163,30,22297.96681322462,2283,48,Component Replacement,7,42,4035,0.5636730035243923,3,Medium,Piston,0.6656069073115607,South America,2943,10.73,1.99
AC-0164,24,34476.16937661409,18043,184,Component Replacement,10,6,6456,0.7971873578137159,2,Low,Turbofan,0.5593278515981261,Oceania,2391,2.82,1.0
AC-0165,5,22498.773989254885,19394,187,Inspection,10,40,3946,0.6059302784448265,3,Medium,Turbofan,0.7851936626837654,South America,1013,2.36,1.0
AC-0166,3,38010.524331623,2733,90,Component Replacement,0,0,3290,0.5974335010409861,1,Low,Turbofan,0.9531771055478231,North America,1344,14.74,3.01
AC-0167,12,18235.869795159615,19509,139,Inspection,4,13,3207,0.20326776250437273,1,Medium,Turbofan,0.8920308899142394,Europe,1933,1.75,3.43
AC-0168,8,5000.0,19555,89,Routine Check,2,31,8459,0.21352389221453688,2,Medium,Turbofan,0.811257934206358,Oceania,1616,1.14,4.09
AC-0169,22,35515.93040671667,17230,274,Component Replacement,0,5,4433,0.5765802535202117,1,Low,Piston,0.6575282483037996,Oceania,2023,3.25,1.0
AC-0170,27,16564.550377545293,15472,19,Inspection,2,38,3885,0.3419753904811059,4,Low,Turboprop,0.77094008663811,Oceania,2610,2.26,4.24
AC-0171,3,9197.48063256473,13889,154,Major Overhaul,5,9,7136,0.11893321221442177,5,Medium,Turbofan,0.5456224206521276,Asia,1000,1.72,1.86
AC-0172,1,25160.53418643931,4471,260,Inspection,6,6,1422,0.7505552835101911,3,High,Turbofan,0.8394727121403349,Africa,1220,6.78,1.0
AC-0173,3,22608.21333969831,10028,108,Component Replacement,7,25,8589,0.12923793702114847,4,Low,Turbofan,0.8625480094488254,North America,1593,3.14,2.96
AC-0174,5,33231.04975745007,9329,285,Routine Check,10,33,1064,0.6357491569936491,3,Low,Turbofan,0.9825158114549595,Europe,1000,4.75,1.0
AC-0175,15,33924.10819815211,3097,59,Component Replacement,3,29,3758,0.585274414714583,4,High,Turbofan,0.6301986793725358,Asia,2078,11.81,2.66
