Flight ID,Aircraft ID,Pilot IDs,Flight Date/Time,Route,Duration (min),Weather Temperature (°C),Weather Wind Speed (km/h),Weather Precipitation (mm),Aircraft Age (years),Aircraft Maintenance Score,Pilot Experience (years),Pilot Fatigue Level (1-10),Fuel Consumption Rate (kg/min),Landing Rate (ft/min),Flight Safety Rating
33,50,"49,27",2024-08-16 12:41:37.011375,Vijayawada to Hyderabad,154,26.65,42,4.89,22,5,7,2,0.65,275,Critical
34,38,"1,6",2024-04-16 12:41:37.011377,Vijayawada to Hyderabad,128,30.15,39,2.78,24,2,24,5,0.7,253,Safe
35,29,"31,1",2024-11-20 12:41:37.011380,Vijayawada to Hyderabad,174,29.83,40,2.68,25,3,6,7,0.78,195,Safe
36,30,"33,47",2024-09-16 12:41:37.011381,Vijayawada to Hyderabad,151,31.44,36,2.09,8,5,10,4,1.11,318,Safe
37,17,"13,9",2024-03-06 12:41:37.011382,Vijayawada to Hyderabad,171,39.8,48,3.13,11,5,9,4,0.85,272,Safe
38,48,"9,1",2024-01-07 12:41:37.011384,Vijayawada to Hyderabad,171,32.24,59,2.91,7,5,13,1,0.65,362,Safe
39,17,"47,4",2024-05-30 12:41:37.011385,Vijayawada to Hyderabad,138,26.22,45,3.22,23,10,10,7,0.88,219,Safe
40,37,"21,10",2024-10-11 12:41:37.011387,Vijayawada to Hyderabad,159,32.61,79,0.64,24,8,12,9,0.82,163,Safe
41,45,"21,8",2024-02-14 12:41:37.011388,Vijayawada to Hyderabad,170,36.86,32,4.41,7,5,7,7,0.99,153,Safe
42,6,"47,29",2024-06-26 12:41:37.011390,Vijayawada to Hyderabad,132,39.49,45,0.7,14,1,17,10,0.8,265,Critical
43,8,"38,5",2023-12-05 12:41:37.011392,Vijayawada to Hyderabad,155,33.11,36,2.72,26,4,18,9,0.95,327,Safe
44,9,"24,26",2024-05-20 12:41:37.011393,Vijayawada to Hyderabad,165,29.71,38,3.86,11,2,11,8,0.92,283,Safe
45,40,"9,17",2024-09-28 12:41:37.011395,Vijayawada to Hyderabad,153,29.01,52,0.32,27,8,8,5,0.68,225,Critical
46,6,"23,34",2024-09-17 12:41:37.011396,Vijayawada to Hyderabad,169,30.96,39,1.48,17,9,21,2,0.78,276,Safe
47,45,"41,48",2023-12-08 12:41:37.011397,Vijayawada to Hyderabad,137,28.36,68,2.33,5,7,14,4,0.91,238,Safe
48,10,"3,32",2024-11-13 12:41:37.011398,Vijayawada to Hyderabad,126,32.81,46,4.12,26,3,15,7,1.18,175,Safe
49,18,"30,44",2024-11-05 12:41:37.011399,Vijayawada to Hyderabad,131,26.45,69,1.4,26,7,5,9,0.89,199,Safe
50,50,"25,27",2024-01-19 12:41:37.011400,Vijayawada to Hyderabad,135,35.6,80,3.24,18,10,15,1,0.67,307,Safe
51,48,"9,17",2024-02-17 12:41:37.011402,Vijayawada to Hyderabad,125,34.44,78,0.85,20,9,24,7,1.12,236,Safe
52,37,"12,13",2024-01-12 12:41:37.011403,Vijayawada to Hyderabad,132,26.42,41,4.0,15,2,5,4,1.0,339,Critical
53,29,"43,26",2024-06-29 12:41:37.011404,Vijayawada to Hyderabad,133,39.06,39,2.6,17,3,7,3,1.18,395,Critical
54,42,"42,37",2024-01-13 12:41:37.011405,Vijayawada to Hyderabad,123,26.26,61,3.22,14,8,10,5,0.62,359,Safe
55,33,"41,18",2024-04-25 12:41:37.011407,Vijayawada to Hyderabad,174,34.05,53,0.63,15,8,20,6,1.02,356,Safe
56,49,"41,3",2024-05-17 12:41:37.011408,Vijayawada to Hyderabad,178,29.32,54,4.23,22,4,6,2,0.72,303,Safe
57,32,"22,35",2024-10-19 12:41:37.011409,Vijayawada to Hyderabad,139,38.93,69,3.43,17,10,17,9,0.98,330,Safe
58,23,"3,10",2024-08-20 12:41:37.011410,Vijayawada to Hyderabad,164,31.33,58,0.9,9,1,16,4,0.97,175,Safe
59,10,"4,35",2024-02-17 12:41:37.011411,Vijayawada to Hyderabad,164,29.82,50,2.01,19,1,10,5,0.69,365,Safe
60,44,"9,2",2024-05-04 12:41:37.011412,Vijayawada to Hyderabad,123,33.38,38,4.42,20,4,25,3,0.72,284,Safe
61,1,"17,33",2024-04-15 12:41:37.011414,Vijayawada to Hyderabad,149,26.91,52,1.25,8,10,6,7,0.65,209,Safe
62,20,"49,9",2024-09-02 12:41:37.011415,Vijayawada to Hyderabad,159,34.3,54,1.61,24,4,18,9,0.79,298,Safe
63,30,"39,31",2024-01-08 12:41:37.011416,Vijayawada to Hyderabad,135,26.31,75,0.09,30,3,11,3,1.0,158,Safe
64,3,"1,41",2024-10-17 12:41:37.011417,Vijayawada to Hyderabad,158,33.43,55,1.58,25,1,12,2,0.74,315,Safe
65,22,"38,5",2024-10-13 12:41:37.011418,Vijayawada to Hyderabad,128,37.23,42,1.03,16,1,24,2,1.06,194,Safe
66,1,"34,44",2024-10-31 12:41:37.011420,Vijayawada to Hyderabad,179,38.58,56,2.76,12,4,11,2,1.17,178,Safe
67,31,"37,4",2024-05-21 12:41:37.011421,Vijayawada to Hyderabad,152,25.83,32,3.88,6,9,14,1,1.12,300,Safe
68,22,"37,43",2024-06-06 12:41:37.011422,Vijayawada to Hyderabad,150,31.65,39,1.52,16,2,11,3,0.66,193,Safe
69,24,"5,13",2024-01-31 12:41:37.011423,Vijayawada to Hyderabad,155,30.52,69,3.59,29,2,14,6,1.06,349,Safe
70,1,"20,39",2024-06-12 12:41:37.011425,Vijayawada to Hyderabad,155,29.13,52,4.07,8,6,12,7,0.67,256,Safe
71,8,"38,35",2024-04-02 12:41:37.011426,Vijayawada to Hyderabad,129,38.19,61,4.79,12,10,12,5,0.71,189,Safe
72,45,"21,1",2024-07-11 12:41:37.011427,Vijayawada to Hyderabad,165,27.93,53,0.88,22,1,17,10,0.6,318,Safe
73,14,"46,38",2024-09-02 12:41:37.011428,Vijayawada to Hyderabad,170,38.14,63,1.01,11,5,6,9,1.15,174,Safe
74,29,"5,17",2024-03-11 12:41:37.011429,Vijayawada to Hyderabad,175,33.39,65,0.28,8,10,14,9,0.75,292,Safe
75,13,"9,15",2024-08-18 12:41:37.011431,Vijayawada to Hyderabad,135,26.83,35,3.84,21,6,14,10,0.66,331,Safe
76,22,"6,29",2024-07-30 12:41:37.011432,Vijayawada to Hyderabad,120,34.64,50,2.82,20,2,5,2,1.06,387,Safe
77,20,"35,11",2024-04-16 12:41:37.011433,Vijayawada to Hyderabad,142,39.01,69,4.83,10,4,12,9,0.93,247,Safe
78,11,"11,28",2024-05-22 12:41:37.011434,Vijayawada to Hyderabad,175,37.7,49,0.88,17,8,7,5,0.66,305,Safe
79,46,"48,1",2023-12-03 12:41:37.011436,Vijayawada to Hyderabad,128,33.14,62,1.97,8,9,21,8,0.96,159,Safe
80,43,"24,46",2024-03-03 12:41:37.011437,Vijayawada to Hyderabad,174,27.6,78,4.33,10,2,24,3,0.66,172,Safe
81,31,"19,16",2024-09-07 12:41:37.011438,Vijayawada to Hyderabad,175,30.01,72,0.88,29,10,16,4,0.7,246,Safe
82,20,"41,47",2023-12-22 12:41:37.011440,Vijayawada to Hyderabad,156,27.02,33,4.2,29,3,16,1,1.16,248,Safe
83,31,"37,35",2024-04-25 12:41:37.011441,Vijayawada to Hyderabad,176,34.97,32,2.53,23,8,7,4,1.19,359,Safe
84,3,"36,5",2024-08-24 12:41:37.011442,Vijayawada to Hyderabad,123,33.25,56,1.92,6,5,24,7,1.16,151,Critical
85,2,"5,48",2024-08-26 12:41:37.011443,Vijayawada to Hyderabad,147,30.37,40,0.55,18,8,23,3,0.76,264,Critical
86,5,"39,28",2024-03-22 12:41:37.011445,Vijayawada to Hyderabad,129,36.8,40,0.51,15,6,11,3,0.93,249,Safe
87,3,"36,18",2024-01-14 12:41:37.011446,Vijayawada to Hyderabad,166,34.93,54,2.19,6,2,10,7,0.81,178,Safe
88,19,"31,15",2024-02-22 12:41:37.011447,Vijayawada to Hyderabad,175,26.41,45,4.62,9,9,16,10,0.7,300,Critical
89,5,"14,18",2024-11-18 12:41:37.011449,Vijayawada to Hyderabad,155,38.08,48,2.81,7,5,19,10,0.84,207,Critical
90,16,"26,39",2024-07-28 12:41:37.011450,Vijayawada to Hyderabad,141,26.07,32,2.78,11,3,23,10,1.03,173,Safe
91,31,"46,1",2024-11-27 12:41:37.011452,Vijayawada to Hyderabad,162,38.32,34,5.0,28,10,14,7,1.19,386,Safe
92,8,"27,5",2024-10-17 12:41:37.011453,Vijayawada to Hyderabad,128,34.32,41,1.9,17,7,9,1,1.05,376,Critical
93,20,"42,39",2024-08-12 12:41:37.011454,Vijayawada to Hyderabad,165,30.42,52,4.89,15,2,21,5,0.86,380,Safe
94,21,"10,14",2024-10-04 12:41:37.011455,Vijayawada to Hyderabad,163,34.11,62,2.32,27,7,13,2,0.69,249,Critical
95,28,"37,30",2023-12-16 12:41:37.011457,Vijayawada to Hyderabad,176,37.71,36,4.6,17,9,16,6,0.9,201,Safe
96,36,"36,24",2024-02-28 12:41:37.011458,Vijayawada to Hyderabad,152,39.74,54,2.52,18,6,19,5,1.01,345,Safe
97,15,"25,42",2023-12-09 12:41:37.011459,Vijayawada to Hyderabad,149,28.95,67,4.95,6,1,8,9,0.8,246,Safe
98,30,"39,16",2024-11-28 12:41:37.011460,Vijayawada to Hyderabad,173,35.57,60,0.25,5,8,23,7,0.78,324,Safe
99,35,"49,8",2024-07-16 12:41:37.011462,Vijayawada to Hyderabad,152,36.09,75,2.65,21,8,19,8,0.84,334,Safe
100,27,"38,44",2024-10-25 12:41:37.011463,Vijayawada to Hyderabad,152,30.71,50,4.12,24,8,9,2,0.72,382,Safe
101,9,"37,33",2024-05-14 12:41:37.011464,Vijayawada to Hyderabad,124,39.43,72,1.29,14,7,12,9,0.89,171,Safe
102,15,"26,21",2024-10-08 12:41:37.011465,Vijayawada to Hyderabad,124,29.85,41,4.79,19,3,13,5,0.83,398,Safe
103,15,"31,19",2024-09-21 12:41:37.011467,Vijayawada to Hyderabad,180,36.25,34,3.39,29,7,7,2,0.63,157,Safe
104,23,"36,44",2024-09-15 12:41:37.011468,Vijayawada to Hyderabad,146,25.59,53,0.27,6,4,17,9,0.75,182,Safe
105,34,"18,31",2023-12-25 12:41:37.011469,Vijayawada to Hyderabad,163,35.49,32,2.36,20,4,13,4,1.07,278,Critical
106,23,"26,15",2024-08-02 12:41:37.011471,Vijayawada to Hyderabad,138,33.71,32,0.06,9,6,20,2,1.13,283,Safe
107,43,"7,49",2024-10-01 12:41:37.011472,Vijayawada to Hyderabad,180,35.21,79,0.47,22,5,21,4,1.05,197,Safe
108,34,"39,8",2024-07-26 12:41:37.011473,Vijayawada to Hyderabad,163,36.04,53,4.56,14,7,9,3,0.87,371,Safe
109,10,"36,30",2024-09-20 12:41:37.011474,Vijayawada to Hyderabad,173,26.29,62,3.99,20,3,13,4,1.1,293,Safe
110,6,"22,10",2024-02-26 12:41:37.011476,Vijayawada to Hyderabad,166,25.65,66,4.45,25,6,24,3,1.16,366,Safe
111,42,"16,15",2024-08-09 12:41:37.011477,Vijayawada to Hyderabad,144,36.81,57,1.97,15,5,11,8,0.7,303,Safe
112,40,"7,39",2024-01-28 12:41:37.011478,Vijayawada to Hyderabad,147,36.62,35,4.48,5,6,23,9,1.0,260,Safe
113,7,"20,44",2023-12-17 12:41:37.011480,Vijayawada to Hyderabad,174,37.38,65,4.53,28,2,9,10,1.16,286,Safe
114,36,"42,3",2024-10-16 12:41:37.011481,Vijayawada to Hyderabad,145,30.12,55,0.25,25,7,9,6,1.15,297,Safe
115,44,"18,16",2024-11-28 12:41:37.011482,Vijayawada to Hyderabad,158,34.64,32,3.28,16,10,17,8,0.74,391,Safe
116,26,"7,17",2024-09-05 12:41:37.011483,Vijayawada to Hyderabad,139,28.29,72,3.49,21,1,10,3,1.05,303,Safe
117,12,"38,49",2024-05-10 12:41:37.011485,Vijayawada to Hyderabad,120,37.66,55,0.81,24,2,21,1,1.19,197,Safe
118,35,"35,43",2024-11-28 12:41:37.011486,Vijayawada to Hyderabad,147,29.43,46,0.21,9,8,15,10,0.73,220,Safe
119,15,"33,45",2024-07-06 12:41:37.011487,Vijayawada to Hyderabad,169,30.81,61,1.37,25,6,17,9,1.04,202,Safe
120,24,"20,16",2024-06-14 12:41:37.011489,Vijayawada to Hyderabad,134,26.43,69,0.54,18,9,9,7,0.73,315,Safe
121,33,"35,32",2024-11-15 12:41:37.011491,Vijayawada to Hyderabad,147,25.55,46,2.85,29,3,13,9,0.98,189,Safe
122,32,"18,30",2024-03-29 12:41:37.011492,Vijayawada to Hyderabad,129,28.17,71,4.82,19,10,17,6,0.79,189,Safe
123,13,"15,14",2023-12-04 12:41:37.011494,Vijayawada to Hyderabad,160,25.57,63,3.31,12,8,24,5,0.66,394,Safe
124,45,"44,35",2024-04-27 12:41:37.011495,Vijayawada to Hyderabad,151,28.88,60,0.09,11,10,5,9,1.0,193,Safe
125,19,"13,43",2024-09-29 12:41:37.011496,Vijayawada to Hyderabad,173,32.19,71,4.35,21,7,22,3,0.78,169,Safe
126,16,"26,44",2024-09-30 12:41:37.011498,Vijayawada to Hyderabad,159,39.71,31,0.43,19,8,18,7,0.82,186,Safe
127,14,"50,40",2024-11-22 12:41:37.011499,Vijayawada to Hyderabad,145,38.99,30,2.23,29,3,17,1,1.02,384,Safe
128,12,"42,2",2024-05-25 12:41:37.011500,Vijayawada to Hyderabad,128,37.94,30,4.92,17,10,22,7,1.19,170,Safe
129,38,"41,35",2024-01-30 12:41:37.011501,Vijayawada to Hyderabad,126,31.73,69,3.02,17,10,25,5,1.03,320,Safe
130,11,"46,50",2024-05-16 12:41:37.011503,Vijayawada to Hyderabad,174,39.41,73,3.62,22,6,7,5,0.97,228,Safe
131,18,"47,30",2023-12-26 12:41:37.011504,Vijayawada to Hyderabad,141,26.01,32,4.21,11,6,7,7,0.6,165,Safe
132,26,"12,26",2024-01-26 12:41:37.011505,Vijayawada to Hyderabad,174,32.98,69,0.19,24,3,8,3,1.13,165,Safe
133,33,"42,32",2024-04-01 12:41:37.011507,Vijayawada to Hyderabad,141,30.57,75,1.08,27,2,17,10,0.61,215,Safe
134,43,"28,18",2024-08-22 12:41:37.011508,Vijayawada to Hyderabad,126,38.61,61,4.87,18,5,15,4,1.12,323,Safe
135,4,"50,11",2024-01-22 12:41:37.011509,Vijayawada to Hyderabad,153,25.23,54,0.21,13,5,20,8,0.68,353,Safe
136,34,"48,12",2024-02-10 12:41:37.011511,Vijayawada to Hyderabad,132,28.24,54,1.32,18,5,22,10,0.9,163,Safe
137,37,"40,36",2024-09-04 12:41:37.011512,Vijayawada to Hyderabad,167,34.32,77,1.27,19,5,19,10,0.91,252,Safe
138,45,"8,13",2024-01-25 12:41:37.011513,Vijayawada to Hyderabad,144,37.56,39,4.25,8,8,14,7,0.86,232,Safe
139,7,"3,2",2024-02-15 12:41:37.011514,Vijayawada to Hyderabad,134,32.72,67,2.27,27,3,24,3,1.07,248,Safe
140,33,"23,42",2024-05-07 12:41:37.011516,Vijayawada to Hyderabad,122,39.79,76,2.52,12,8,22,6,0.77,328,Safe
141,14,"35,28",2024-03-31 12:41:37.011517,Vijayawada to Hyderabad,171,33.9,69,1.13,27,9,18,2,0.84,316,Safe
142,15,"37,11",2024-05-31 12:41:37.011518,Vijayawada to Hyderabad,123,37.69,62,3.1,23,3,12,9,0.82,299,Critical
143,8,"46,42",2023-12-21 12:41:37.011520,Vijayawada to Hyderabad,126,32.41,41,3.71,26,2,21,9,0.78,157,Safe
144,22,"23,42",2024-03-29 12:41:37.011521,Vijayawada to Hyderabad,152,36.09,41,0.34,9,4,17,3,0.87,153,Critical
145,24,"27,40",2023-12-15 12:41:37.011522,Vijayawada to Hyderabad,177,33.08,51,1.5,12,3,7,6,0.78,257,Safe
146,26,"17,30",2024-10-30 12:41:37.011523,Vijayawada to Hyderabad,169,26.32,65,0.73,28,4,9,10,1.13,212,Safe
147,47,"44,10",2024-11-09 12:41:37.011525,Vijayawada to Hyderabad,135,29.33,61,1.62,10,6,14,6,0.9,400,Safe
148,29,"27,42",2023-12-30 12:41:37.011526,Vijayawada to Hyderabad,140,36.91,60,2.67,18,3,13,9,0.82,278,Safe
149,31,"37,33",2024-06-05 12:41:37.011527,Vijayawada to Hyderabad,145,34.27,80,2.34,5,8,25,7,0.9,215,Safe
150,44,"37,35",2024-04-23 12:41:37.011529,Vijayawada to Hyderabad,178,25.84,53,4.46,20,10,25,9,0.8,391,Safe
151,37,"40,31",2024-08-07 12:41:37.011530,Vijayawada to Hyderabad,165,36.37,69,3.54,7,9,17,1,1.08,289,Safe
152,11,"35,41",2024-10-25 12:41:37.011531,Vijayawada to Hyderabad,176,38.53,47,0.67,24,10,18,6,0.64,225,Critical
153,10,"23,42",2024-07-03 12:41:37.011533,Vijayawada to Hyderabad,127,28.27,35,2.42,5,4,13,2,1.05,310,Safe
154,17,"8,45",2024-10-23 12:41:37.011534,Vijayawada to Hyderabad,171,35.46,52,2.9,14,4,8,5,1.18,315,Safe
155,5,"32,30",2023-12-04 12:41:37.011535,Vijayawada to Hyderabad,155,31.56,54,0.73,5,9,23,2,0.85,173,Critical
156,47,"12,23",2024-01-12 12:41:37.011536,Vijayawada to Hyderabad,121,31.37,57,1.29,7,4,19,4,0.83,393,Safe
157,32,"50,32",2024-01-16 12:41:37.011538,Vijayawada to Hyderabad,161,32.94,58,2.04,8,8,24,5,0.76,345,Safe
158,43,"36,44",2024-04-21 12:41:37.011539,Vijayawada to Hyderabad,153,35.44,44,0.8,23,2,17,7,0.97,195,Critical
159,17,"31,12",2024-02-16 12:41:37.011540,Vijayawada to Hyderabad,123,27.32,53,4.15,14,10,6,9,0.8,250,Safe
160,18,"6,43",2024-07-18 12:41:37.011542,Vijayawada to Hyderabad,139,25.67,40,3.9,8,1,18,6,1.07,292,Safe
161,17,"12,9",2024-04-13 12:41:37.011543,Vijayawada to Hyderabad,145,33.59,30,2.69,18,2,23,9,0.81,257,Safe
162,4,"49,33",2024-10-21 12:41:37.011544,Vijayawada to Hyderabad,161,31.79,65,3.97,25,6,25,7,0.82,271,Safe
163,13,"27,9",2024-10-17 12:41:37.011545,Vijayawada to Hyderabad,151,26.51,65,0.25,20,6,11,3,0.94,277,Safe
164,21,"20,25",2024-05-08 12:41:37.011547,Vijayawada to Hyderabad,143,30.38,53,3.32,23,6,10,8,0.74,252,Safe
165,10,"50,11",2024-02-26 12:41:37.011548,Vijayawada to Hyderabad,178,26.1,51,4.95,6,7,14,7,0.98,276,Safe
166,2,"22,12",2024-07-11 12:41:37.011549,Vijayawada to Hyderabad,128,39.21,78,2.73,10,8,9,7,0.68,220,Safe
167,49,"26,15",2024-01-08 12:41:37.011550,Vijayawada to Hyderabad,143,26.34,51,2.05,22,7,20,6,1.11,192,Critical
168,41,"26,2",2024-01-16 12:41:37.011552,Vijayawada to Hyderabad,138,35.3,37,4.84,8,1,21,2,0.82,284,Safe
169,7,"18,10",2024-01-08 12:41:37.011553,Vijayawada to Hyderabad,131,35.71,73,2.43,13,5,24,1,0.85,160,Safe
170,4,"36,31",2023-12-23 12:41:37.011554,Vijayawada to Hyderabad,131,25.4,39,2.63,5,4,24,7,0.62,379,Safe
171,28,"32,27",2024-06-05 12:41:37.011556,Vijayawada to Hyderabad,161,32.02,56,2.3,11,9,17,9,0.66,313,Safe
172,42,"3,24",2024-04-23 12:41:37.011557,Vijayawada to Hyderabad,174,25.93,40,3.05,6,6,19,1,0.66,314,Safe
173,21,"27,7",2024-06-15 12:41:37.011558,Vijayawada to Hyderabad,170,31.0,79,0.74,12,1,19,4,0.64,273,Safe
174,8,"25,7",2024-02-01 12:41:37.011560,Vijayawada to Hyderabad,169,36.21,54,4.93,20,7,18,4,1.07,374,Safe
175,1,"26,2",2023-12-27 12:41:37.011561,Vijayawada to Hyderabad,127,39.29,54,0.32,9,10,18,6,1.19,380,Critical
176,38,"15,14",2024-06-28 12:41:37.011562,Vijayawada to Hyderabad,156,29.92,37,2.06,13,9,18,5,0.84,157,Safe
177,41,"35,37",2024-05-12 12:41:37.011564,Vijayawada to Hyderabad,177,36.2,31,4.15,29,2,19,6,0.67,318,Safe
178,31,"15,45",2024-02-16 12:41:37.011565,Vijayawada to Hyderabad,162,27.31,34,2.98,29,3,25,2,1.07,263,Safe
179,3,"10,1",2024-01-18 12:41:37.011566,Vijayawada to Hyderabad,162,31.07,63,2.59,23,4,22,3,0.69,357,Safe
180,10,"20,50",2024-08-31 12:41:37.011567,Vijayawada to Hyderabad,165,30.04,78,0.16,23,8,11,6,1.09,164,Critical
181,2,"23,13",2024-05-26 12:41:37.011569,Vijayawada to Hyderabad,179,36.97,56,0.34,20,7,5,8,0.99,336,Safe
182,3,"14,47",2024-04-03 12:41:37.011570,Vijayawada to Hyderabad,120,38.42,31,2.66,11,7,10,7,0.8,258,Safe
183,36,"43,18",2024-09-04 12:41:37.011571,Vijayawada to Hyderabad,170,25.52,64,4.94,29,5,16,3,1.2,321,Safe
184,25,"11,34",2024-07-19 12:41:37.011572,Vijayawada to Hyderabad,151,28.45,46,3.99,5,3,12,5,0.82,350,Safe
185,45,"11,43",2024-10-09 12:41:37.011574,Vijayawada to Hyderabad,150,29.36,55,3.49,7,1,7,4,0.89,171,Safe
186,42,"4,21",2024-05-13 12:41:37.011575,Vijayawada to Hyderabad,163,34.52,63,2.18,18,5,25,6,0.72,353,Critical
187,13,"6,28",2024-08-29 12:41:37.011576,Vijayawada to Hyderabad,131,39.87,77,1.94,29,3,16,4,0.62,253,Safe
188,47,"30,24",2024-05-26 12:41:37.011577,Vijayawada to Hyderabad,150,39.44,35,3.97,24,6,13,10,0.63,223,Safe
189,41,"43,15",2024-02-23 12:41:37.011579,Vijayawada to Hyderabad,120,26.52,71,1.64,12,9,18,9,1.05,216,Critical
190,50,"15,32",2024-04-11 12:41:37.011580,Vijayawada to Hyderabad,128,25.65,56,0.24,8,1,24,7,0.63,314,Safe
191,42,"35,41",2024-06-14 12:41:37.011581,Vijayawada to Hyderabad,141,26.36,46,2.24,17,8,22,3,0.61,194,Safe
192,38,"2,20",2024-06-02 12:41:37.011583,Vijayawada to Hyderabad,166,30.37,74,1.85,23,9,21,3,0.96,353,Critical
193,31,"22,36",2024-04-07 12:41:37.011584,Vijayawada to Hyderabad,180,34.67,32,1.27,22,1,21,5,0.91,261,Critical
194,19,"50,7",2024-01-12 12:41:37.011585,Vijayawada to Hyderabad,165,30.1,70,0.39,11,4,21,9,1.16,331,Safe
195,22,"36,1",2024-08-15 12:41:37.011586,Vijayawada to Hyderabad,157,27.01,35,4.1,13,10,15,9,1.12,333,Safe
196,2,"43,17",2024-06-26 12:41:37.011588,Vijayawada to Hyderabad,161,37.18,57,4.97,26,10,25,10,0.61,162,Safe
197,3,"7,49",2024-06-19 12:41:37.011589,Vijayawada to Hyderabad,171,35.24,44,1.46,21,2,14,1,0.91,382,Safe
198,37,"29,35",2024-07-22 12:41:37.011590,Vijayawada to Hyderabad,174,27.85,49,0.43,25,6,11,4,1.07,293,Safe
