Flight ID,Origin,Destination,Route Distance (km),Waypoints (List),Traffic (Intersecting Flights),Tailwind (knots),Headwind (knots),Jet Stream Impact,Restrictions (Details),Drones/Air Taxis,Bird Movement,Airspace Density,Seasonal Pattern,Fuel Cost (Segment),Historical Delay (mins)
FL1604,HYD,VGA,961,"[{""lat"": -18.4306, ""long"": 162.1915, ""alt"": 30000, ""time"": ""16:45""}, {""lat"": -38.1681, ""long"": -101.2472, ""alt"": 20000, ""time"": ""6:08""}, {""lat"": -51.54, ""long"": -31.6006, ""alt"": 20000, ""time"": ""7:27""}, {""lat"": -85.4988, ""long"": -130.3835, ""alt"": 15000, ""time"": ""11:28""}, {""lat"": -40.7024, ""long"": -105.5961, ""alt"": 10000, ""time"": ""8:56""}, {""lat"": 54.2044, ""long"": 22.4186, ""alt"": 20000, ""time"": ""4:46""}]","[{""flight_id"": ""INT2334"", ""alt"": 15000, ""time"": ""11:39"", ""wp"": ""WP1""}, {""flight_id"": ""INT5672"", ""alt"": 15000, ""time"": ""21:22"", ""wp"": ""WP1""}, {""flight_id"": ""INT6881"", ""alt"": 15000, ""time"": ""9:08"", ""wp"": ""WP1""}, {""flight_id"": ""INT1772"", ""alt"": 25000, ""time"": ""18:45"", ""wp"": ""WP3""}, {""flight_id"": ""INT7184"", ""alt"": 20000, ""time"": ""3:13"", ""wp"": ""WP1""}]",28,9,Negative,"[{""type"": ""Govt"", ""wp"": ""WP2""}]","[{""alt"": 494, ""time"": ""11:10""}, {""alt"": 456, ""time"": ""15:57""}]","[{""zone"": ""Near Airport"", ""alt"": [1980, 4967], ""time_range"": ""7:29-20:15""}]",Medium,Winter,0.59,26
FL1605,BLR,MAA,207,"[{""lat"": -11.9444, ""long"": 63.0741, ""alt"": 30000, ""time"": ""6:57""}, {""lat"": 25.4547, ""long"": 36.411, ""alt"": 20000, ""time"": ""15:23""}, {""lat"": -32.2751, ""long"": 146.5542, ""alt"": 20000, ""time"": ""20:31""}, {""lat"": 56.9985, ""long"": -94.2684, ""alt"": 25000, ""time"": ""15:51""}, {""lat"": -56.7639, ""long"": -120.4957, ""alt"": 10000, ""time"": ""22:30""}]","[{""flight_id"": ""INT1738"", ""alt"": 10000, ""time"": ""12:31"", ""wp"": ""WP3""}, {""flight_id"": ""INT8385"", ""alt"": 10000, ""time"": ""4:05"", ""wp"": ""WP1""}, {""flight_id"": ""INT9026"", ""alt"": 10000, ""time"": ""11:05"", ""wp"": ""WP3""}, {""flight_id"": ""INT5099"", ""alt"": 10000, ""time"": ""1:02"", ""wp"": ""WP3""}]",13,2,Positive,"[{""type"": ""Govt"", ""wp"": ""WP3""}]","[{""alt"": 465, ""time"": ""10:24""}, {""alt"": 473, ""time"": ""2:38""}]","[{""zone"": ""City Area"", ""alt"": [2101, 3631], ""time_range"": ""7:57-22:12""}]",Low,Monsoon,0.55,6
FL1606,DEL,BLR,1464,"[{""lat"": -4.6508, ""long"": 136.0276, ""alt"": 20000, ""time"": ""23:16""}, {""lat"": 54.4294, ""long"": -75.7339, ""alt"": 25000, ""time"": ""12:31""}, {""lat"": 35.1929, ""long"": 118.9281, ""alt"": 15000, ""time"": ""4:44""}, {""lat"": -6.7344, ""long"": 134.7183, ""alt"": 20000, ""time"": ""0:53""}, {""lat"": 57.6062, ""long"": -8.4105, ""alt"": 20000, ""time"": ""6:36""}, {""lat"": 83.5895, ""long"": 154.4467, ""alt"": 10000, ""time"": ""20:07""}, {""lat"": -47.3008, ""long"": -84.6572, ""alt"": 10000, ""time"": ""21:33""}, {""lat"": 25.0649, ""long"": -68.741, ""alt"": 20000, ""time"": ""23:37""}, {""lat"": -77.4442, ""long"": -106.868, ""alt"": 10000, ""time"": ""6:00""}, {""lat"": -85.0545, ""long"": 0.6659, ""alt"": 10000, ""time"": ""10:44""}, {""lat"": -23.4258, ""long"": 154.796, ""alt"": 20000, ""time"": ""14:52""}, {""lat"": 17.6429, ""long"": -148.0381, ""alt"": 30000, ""time"": ""2:25""}, {""lat"": 33.2389, ""long"": -136.7853, ""alt"": 30000, ""time"": ""15:21""}, {""lat"": 65.1463, ""long"": 3.8825, ""alt"": 30000, ""time"": ""9:35""}]","[{""flight_id"": ""INT4233"", ""alt"": 20000, ""time"": ""4:47"", ""wp"": ""WP3""}, {""flight_id"": ""INT5317"", ""alt"": 25000, ""time"": ""10:00"", ""wp"": ""WP2""}, {""flight_id"": ""INT9132"", ""alt"": 10000, ""time"": ""20:42"", ""wp"": ""WP3""}, {""flight_id"": ""INT2264"", ""alt"": 15000, ""time"": ""7:59"", ""wp"": ""WP2""}]",7,11,Positive,"[{""type"": ""War Zone"", ""wp"": ""WP4""}]","[{""alt"": 202, ""time"": ""1:34""}, {""alt"": 456, ""time"": ""7:18""}]","[{""zone"": ""City Area"", ""alt"": [2946, 3888], ""time_range"": ""10:32-22:06""}]",Medium,Winter,0.72,21
FL1607,HYD,MAA,717,"[{""lat"": 16.8262, ""long"": -64.8129, ""alt"": 20000, ""time"": ""20:13""}, {""lat"": -31.4415, ""long"": -129.6174, ""alt"": 30000, ""time"": ""6:13""}, {""lat"": 13.0451, ""long"": 109.7975, ""alt"": 30000, ""time"": ""8:50""}, {""lat"": -33.0404, ""long"": -172.4927, ""alt"": 20000, ""time"": ""7:53""}, {""lat"": 5.3088, ""long"": -134.5422, ""alt"": 20000, ""time"": ""21:02""}, {""lat"": 53.4922, ""long"": 16.3398, ""alt"": 25000, ""time"": ""6:34""}, {""lat"": -20.362, ""long"": -129.8645, ""alt"": 10000, ""time"": ""15:01""}, {""lat"": 57.8737, ""long"": 151.4086, ""alt"": 10000, ""time"": ""2:06""}, {""lat"": 28.5752, ""long"": 4.3063, ""alt"": 15000, ""time"": ""8:49""}, {""lat"": -71.696, ""long"": -125.5161, ""alt"": 30000, ""time"": ""7:44""}]","[{""flight_id"": ""INT7337"", ""alt"": 10000, ""time"": ""3:32"", ""wp"": ""WP3""}, {""flight_id"": ""INT7587"", ""alt"": 10000, ""time"": ""19:12"", ""wp"": ""WP3""}]",22,9,Negative,"[{""type"": ""War Zone"", ""wp"": ""WP4""}]","[{""alt"": 461, ""time"": ""1:56""}]","[{""zone"": ""City Area"", ""alt"": [2832, 5748], ""time_range"": ""7:28-18:11""}]",Low,Winter,0.51,25
FL1608,VGA,DEL,1156,"[{""lat"": -88.5092, ""long"": -65.9565, ""alt"": 20000, ""time"": ""9:38""}, {""lat"": 36.3087, ""long"": -29.5825, ""alt"": 25000, ""time"": ""21:13""}, {""lat"": -41.4603, ""long"": -80.9472, ""alt"": 20000, ""time"": ""2:42""}, {""lat"": -8.7719, ""long"": -52.5108, ""alt"": 15000, ""time"": ""10:29""}, {""lat"": -41.7418, ""long"": 142.1818, ""alt"": 25000, ""time"": ""23:33""}, {""lat"": -31.7588, ""long"": 164.9712, ""alt"": 10000, ""time"": ""14:38""}, {""lat"": -7.6678, ""long"": 159.9737, ""alt"": 20000, ""time"": ""10:08""}, {""lat"": 25.9353, ""long"": -169.7024, ""alt"": 30000, ""time"": ""21:59""}, {""lat"": 81.9487, ""long"": -122.9135, ""alt"": 15000, ""time"": ""7:25""}, {""lat"": 16.1181, ""long"": -7.3079, ""alt"": 15000, ""time"": ""9:19""}, {""lat"": 66.4961, ""long"": -39.3004, ""alt"": 25000, ""time"": ""10:57""}, {""lat"": 70.5207, ""long"": 91.6189, ""alt"": 30000, ""time"": ""1:05""}, {""lat"": 89.3881, ""long"": 71.0257, ""alt"": 10000, ""time"": ""4:48""}, {""lat"": -42.8723, ""long"": -158.9888, ""alt"": 20000, ""time"": ""17:01""}]","[{""flight_id"": ""INT5197"", ""alt"": 10000, ""time"": ""19:50"", ""wp"": ""WP3""}, {""flight_id"": ""INT6525"", ""alt"": 25000, ""time"": ""16:32"", ""wp"": ""WP4""}, {""flight_id"": ""INT3707"", ""alt"": 10000, ""time"": ""2:27"", ""wp"": ""WP3""}, {""flight_id"": ""INT5174"", ""alt"": 25000, ""time"": ""1:13"", ""wp"": ""WP2""}]",12,14,Negative,"[{""type"": ""Noise Sensitive"", ""wp"": ""WP3""}, {""type"": ""War Zone"", ""wp"": ""WP2""}, {""type"": ""War Zone"", ""wp"": ""WP3""}]","[{""alt"": 468, ""time"": ""19:11""}, {""alt"": 290, ""time"": ""11:17""}, {""alt"": 353, ""time"": ""10:30""}]","[{""zone"": ""Near Airport"", ""alt"": [1349, 5021], ""time_range"": ""7:12-18:43""}]",High,Summer,0.64,18
FL1609,HYD,BLR,1393,"[{""lat"": -85.8902, ""long"": 73.3982, ""alt"": 30000, ""time"": ""0:46""}, {""lat"": -16.6298, ""long"": -129.5722, ""alt"": 10000, ""time"": ""17:11""}, {""lat"": 50.7007, ""long"": 71.2811, ""alt"": 30000, ""time"": ""15:41""}, {""lat"": 83.2373, ""long"": -61.6242, ""alt"": 10000, ""time"": ""22:12""}, {""lat"": -62.9386, ""long"": -27.7921, ""alt"": 20000, ""time"": ""5:39""}, {""lat"": 44.3774, ""long"": -78.5007, ""alt"": 25000, ""time"": ""1:39""}, {""lat"": 87.5585, ""long"": 62.3076, ""alt"": 30000, ""time"": ""14:48""}, {""lat"": -14.8263, ""long"": 178.4317, ""alt"": 30000, ""time"": ""18:23""}, {""lat"": 87.7891, ""long"": 21.6887, ""alt"": 25000, ""time"": ""9:20""}, {""lat"": 47.1829, ""long"": -101.5854, ""alt"": 25000, ""time"": ""8:44""}, {""lat"": 64.0945, ""long"": 84.1517, ""alt"": 25000, ""time"": ""6:55""}, {""lat"": -33.7131, ""long"": 110.9618, ""alt"": 10000, ""time"": ""5:09""}, {""lat"": 30.4793, ""long"": 17.2815, ""alt"": 25000, ""time"": ""2:36""}, {""lat"": 44.5684, ""long"": 105.8599, ""alt"": 25000, ""time"": ""8:12""}]","[{""flight_id"": ""INT3119"", ""alt"": 10000, ""time"": ""7:51"", ""wp"": ""WP4""}, {""flight_id"": ""INT5621"", ""alt"": 20000, ""time"": ""17:29"", ""wp"": ""WP3""}, {""flight_id"": ""INT2760"", ""alt"": 10000, ""time"": ""21:40"", ""wp"": ""WP2""}, {""flight_id"": ""INT8048"", ""alt"": 20000, ""time"": ""10:56"", ""wp"": ""WP2""}]",10,10,Positive,"[{""type"": ""War Zone"", ""wp"": ""WP3""}]",[],"[{""zone"": ""Near Airport"", ""alt"": [2242, 5750], ""time_range"": ""6:48-19:09""}]",Low,Monsoon,0.75,6
FL1610,HYD,BLR,320,"[{""lat"": -3.319, ""long"": -138.5347, ""alt"": 15000, ""time"": ""1:57""}, {""lat"": 22.8807, ""long"": 19.1403, ""alt"": 15000, ""time"": ""3:58""}, {""lat"": -9.8481, ""long"": -98.6845, ""alt"": 20000, ""time"": ""22:40""}, {""lat"": 83.9986, ""long"": -138.2255, ""alt"": 15000, ""time"": ""16:48""}, {""lat"": 88.1649, ""long"": 153.1426, ""alt"": 15000, ""time"": ""14:58""}, {""lat"": 4.0679, ""long"": 55.0722, ""alt"": 25000, ""time"": ""9:51""}]","[{""flight_id"": ""INT5583"", ""alt"": 15000, ""time"": ""14:33"", ""wp"": ""WP1""}, {""flight_id"": ""INT1154"", ""alt"": 10000, ""time"": ""19:03"", ""wp"": ""WP3""}, {""flight_id"": ""INT6764"", ""alt"": 10000, ""time"": ""14:35"", ""wp"": ""WP4""}]",1,23,Positive,"[{""type"": ""Noise Sensitive"", ""wp"": ""WP2""}, {""type"": ""Noise Sensitive"", ""wp"": ""WP4""}]","[{""alt"": 437, ""time"": ""1:17""}, {""alt"": 174, ""time"": ""15:04""}]","[{""zone"": ""Near Airport"", ""alt"": [1480, 5758], ""time_range"": ""10:33-19:05""}]",Medium,Summer,0.76,7
FL1611,VGA,BOM,1489,"[{""lat"": -45.4407, ""long"": -113.6962, ""alt"": 20000, ""time"": ""3:17""}, {""lat"": 11.3355, ""long"": -153.3338, ""alt"": 10000, ""time"": ""14:17""}, {""lat"": 30.6034, ""long"": 144.567, ""alt"": 10000, ""time"": ""0:50""}, {""lat"": 43.1436, ""long"": 135.2164, ""alt"": 25000, ""time"": ""6:30""}, {""lat"": -74.411, ""long"": -88.7486, ""alt"": 10000, ""time"": ""18:51""}, {""lat"": 20.526, ""long"": 83.5216, ""alt"": 30000, ""time"": ""12:00""}, {""lat"": 75.5043, ""long"": 15.7452, ""alt"": 15000, ""time"": ""10:14""}, {""lat"": 76.4969, ""long"": -32.4938, ""alt"": 20000, ""time"": ""11:03""}, {""lat"": -9.9641, ""long"": 109.9026, ""alt"": 10000, ""time"": ""6:52""}, {""lat"": 84.4958, ""long"": -82.8697, ""alt"": 10000, ""time"": ""9:16""}, {""lat"": 20.7461, ""long"": 72.9759, ""alt"": 30000, ""time"": ""6:28""}, {""lat"": 41.2494, ""long"": 123.8292, ""alt"": 20000, ""time"": ""15:37""}, {""lat"": 56.1199, ""long"": 52.7391, ""alt"": 20000, ""time"": ""7:37""}, {""lat"": 51.2032, ""long"": 170.4289, ""alt"": 30000, ""time"": ""8:09""}, {""lat"": 82.6577, ""long"": 6.5718, ""alt"": 10000, ""time"": ""6:10""}]","[{""flight_id"": ""INT2762"", ""alt"": 25000, ""time"": ""17:02"", ""wp"": ""WP4""}, {""flight_id"": ""INT5837"", ""alt"": 15000, ""time"": ""3:55"", ""wp"": ""WP2""}]",2,23,Positive,"[{""type"": ""Noise Sensitive"", ""wp"": ""WP1""}, {""type"": ""War Zone"", ""wp"": ""WP3""}, {""type"": ""Govt"", ""wp"": ""WP1""}]","[{""alt"": 213, ""time"": ""4:29""}, {""alt"": 289, ""time"": ""20:18""}]","[{""zone"": ""City Area"", ""alt"": [1884, 5105], ""time_range"": ""8:48-21:53""}]",Medium,Winter,0.79,6
FL1612,DEL,HYD,1275,"[{""lat"": 29.0896, ""long"": -49.1331, ""alt"": 15000, ""time"": ""3:34""}, {""lat"": 19.1726, ""long"": 82.872, ""alt"": 25000, ""time"": ""23:12""}, {""lat"": -19.2336, ""long"": 55.2373, ""alt"": 10000, ""time"": ""4:18""}, {""lat"": 83.4308, ""long"": -169.8973, ""alt"": 10000, ""time"": ""15:56""}, {""lat"": -58.8032, ""long"": 86.5509, ""alt"": 30000, ""time"": ""1:44""}]","[{""flight_id"": ""INT4108"", ""alt"": 20000, ""time"": ""2:49"", ""wp"": ""WP2""}, {""flight_id"": ""INT8348"", ""alt"": 25000, ""time"": ""0:35"", ""wp"": ""WP4""}, {""flight_id"": ""INT2529"", ""alt"": 10000, ""time"": ""2:16"", ""wp"": ""WP3""}]",11,22,Positive,"[{""type"": ""Noise Sensitive"", ""wp"": ""WP1""}, {""type"": ""Govt"", ""wp"": ""WP4""}]","[{""alt"": 272, ""time"": ""3:42""}, {""alt"": 361, ""time"": ""18:41""}]","[{""zone"": ""Near Airport"", ""alt"": [2127, 4825], ""time_range"": ""10:56-22:59""}]",High,Winter,0.48,12
FL1613,DEL,HYD,628,"[{""lat"": -65.2818, ""long"": -18.4555, ""alt"": 15000, ""time"": ""22:20""}, {""lat"": -40.0266, ""long"": -69.5359, ""alt"": 25000, ""time"": ""19:52""}, {""lat"": -14.9867, ""long"": -141.3335, ""alt"": 15000, ""time"": ""9:36""}, {""lat"": 45.1715, ""long"": -166.4003, ""alt"": 10000, ""time"": ""19:09""}, {""lat"": -73.0653, ""long"": 77.2781, ""alt"": 25000, ""time"": ""18:37""}, {""lat"": -59.552, ""long"": 39.6158, ""alt"": 20000, ""time"": ""8:35""}, {""lat"": -11.6491, ""long"": -177.2542, ""alt"": 25000, ""time"": ""10:36""}, {""lat"": 6.1005, ""long"": -117.897, ""alt"": 25000, ""time"": ""21:41""}, {""lat"": -59.424, ""long"": -16.5344, ""alt"": 25000, ""time"": ""11:09""}, {""lat"": 50.1724, ""long"": -66.0991, ""alt"": 30000, ""time"": ""11:00""}, {""lat"": -1.1945, ""long"": 95.5652, ""alt"": 20000, ""time"": ""2:38""}, {""lat"": 14.9236, ""long"": -179.7245, ""alt"": 20000, ""time"": ""2:39""}, {""lat"": -6.725, ""long"": 83.1667, ""alt"": 30000, ""time"": ""13:21""}]","[{""flight_id"": ""INT9562"", ""alt"": 20000, ""time"": ""22:53"", ""wp"": ""WP4""}, {""flight_id"": ""INT6681"", ""alt"": 25000, ""time"": ""17:35"", ""wp"": ""WP3""}, {""flight_id"": ""INT8484"", ""alt"": 25000, ""time"": ""6:26"", ""wp"": ""WP3""}, {""flight_id"": ""INT3716"", ""alt"": 25000, ""time"": ""0:25"", ""wp"": ""WP4""}]",0,27,No Impact,"[{""type"": ""War Zone"", ""wp"": ""WP2""}]",[],"[{""zone"": ""City Area"", ""alt"": [1108, 5036], ""time_range"": ""8:12-22:43""}]",High,Summer,0.71,4
FL1614,BLR,BOM,1434,"[{""lat"": -27.2122, ""long"": 110.858, ""alt"": 25000, ""time"": ""17:57""}, {""lat"": 42.2705, ""long"": 38.2672, ""alt"": 15000, ""time"": ""15:54""}, {""lat"": 47.4845, ""long"": 0.4931, ""alt"": 25000, ""time"": ""23:18""}, {""lat"": -46.785, ""long"": 130.568, ""alt"": 10000, ""time"": ""15:55""}, {""lat"": -10.1564, ""long"": 146.3872, ""alt"": 25000, ""time"": ""1:51""}, {""lat"": -20.2648, ""long"": 77.9741, ""alt"": 10000, ""time"": ""16:00""}, {""lat"": -26.2495, ""long"": -173.9906, ""alt"": 20000, ""time"": ""2:47""}, {""lat"": -3.59, ""long"": 62.9853, ""alt"": 10000, ""time"": ""13:40""}, {""lat"": 39.8884, ""long"": 32.4899, ""alt"": 30000, ""time"": ""7:10""}, {""lat"": 34.6729, ""long"": -50.113, ""alt"": 20000, ""time"": ""18:47""}, {""lat"": 39.947, ""long"": 136.7089, ""alt"": 30000, ""time"": ""10:24""}, {""lat"": 50.1339, ""long"": -102.8068, ""alt"": 25000, ""time"": ""2:48""}, {""lat"": -87.604, ""long"": 102.5225, ""alt"": 20000, ""time"": ""0:15""}, {""lat"": -5.2632, ""long"": -66.1709, ""alt"": 15000, ""time"": ""7:07""}, {""lat"": 15.9311, ""long"": -130.3482, ""alt"": 25000, ""time"": ""21:31""}]","[{""flight_id"": ""INT1033"", ""alt"": 15000, ""time"": ""16:38"", ""wp"": ""WP1""}]",22,8,Negative,"[{""type"": ""War Zone"", ""wp"": ""WP3""}, {""type"": ""War Zone"", ""wp"": ""WP4""}, {""type"": ""War Zone"", ""wp"": ""WP2""}]",[],"[{""zone"": ""City Area"", ""alt"": [2784, 3687], ""time_range"": ""8:36-21:44""}]",Low,Winter,0.36,20
FL1615,DEL,VGA,1219,"[{""lat"": -1.4745, ""long"": 137.7623, ""alt"": 20000, ""time"": ""12:09""}, {""lat"": 62.2939, ""long"": 43.2863, ""alt"": 10000, ""time"": ""17:16""}, {""lat"": -27.6093, ""long"": -35.016, ""alt"": 25000, ""time"": ""19:16""}, {""lat"": 88.6546, ""long"": -153.5326, ""alt"": 25000, ""time"": ""13:12""}, {""lat"": -60.014, ""long"": 18.0909, ""alt"": 25000, ""time"": ""2:56""}, {""lat"": -79.3839, ""long"": 12.3074, ""alt"": 20000, ""time"": ""6:25""}, {""lat"": -58.023, ""long"": -138.3493, ""alt"": 15000, ""time"": ""21:40""}]","[{""flight_id"": ""INT1161"", ""alt"": 15000, ""time"": ""17:10"", ""wp"": ""WP1""}, {""flight_id"": ""INT3445"", ""alt"": 10000, ""time"": ""10:29"", ""wp"": ""WP2""}]",6,15,No Impact,"[{""type"": ""Govt"", ""wp"": ""WP3""}, {""type"": ""Noise Sensitive"", ""wp"": ""WP1""}, {""type"": ""Govt"", ""wp"": ""WP5""}]","[{""alt"": 202, ""time"": ""17:49""}]","[{""zone"": ""City Area"", ""alt"": [1884, 5099], ""time_range"": ""7:17-19:26""}]",Medium,Summer,0.48,29
FL1616,HYD,BOM,1410,"[{""lat"": 58.6339, ""long"": 67.324, ""alt"": 20000, ""time"": ""5:24""}, {""lat"": -9.7434, ""long"": -49.5096, ""alt"": 15000, ""time"": ""19:44""}, {""lat"": 30.6217, ""long"": 160.0039, ""alt"": 30000, ""time"": ""18:19""}, {""lat"": -4.8938, ""long"": 87.4514, ""alt"": 10000, ""time"": ""12:14""}, {""lat"": 58.4594, ""long"": -38.5296, ""alt"": 15000, ""time"": ""23:28""}, {""lat"": -52.4746, ""long"": -41.8406, ""alt"": 10000, ""time"": ""8:02""}, {""lat"": 5.1451, ""long"": 67.0986, ""alt"": 30000, ""time"": ""2:40""}, {""lat"": 1.7501, ""long"": -107.4706, ""alt"": 10000, ""time"": ""5:06""}]","[{""flight_id"": ""INT5022"", ""alt"": 15000, ""time"": ""9:02"", ""wp"": ""WP3""}, {""flight_id"": ""INT3284"", ""alt"": 25000, ""time"": ""8:19"", ""wp"": ""WP1""}, {""flight_id"": ""INT4997"", ""alt"": 20000, ""time"": ""6:38"", ""wp"": ""WP2""}, {""flight_id"": ""INT9799"", ""alt"": 10000, ""time"": ""20:47"", ""wp"": ""WP2""}]",11,23,Positive,"[{""type"": ""War Zone"", ""wp"": ""WP1""}, {""type"": ""Govt"", ""wp"": ""WP1""}, {""type"": ""Govt"", ""wp"": ""WP4""}]","[{""alt"": 327, ""time"": ""23:11""}, {""alt"": 186, ""time"": ""20:36""}]","[{""zone"": ""City Area"", ""alt"": [2624, 3603], ""time_range"": ""6:19-18:31""}]",Medium,Winter,0.47,14
FL1617,BLR,HYD,238,"[{""lat"": 43.7631, ""long"": -3.6262, ""alt"": 10000, ""time"": ""20:42""}, {""lat"": 76.2395, ""long"": 77.3358, ""alt"": 10000, ""time"": ""21:01""}, {""lat"": -69.1861, ""long"": -126.2381, ""alt"": 25000, ""time"": ""18:03""}, {""lat"": -34.0165, ""long"": 89.1186, ""alt"": 30000, ""time"": ""9:55""}, {""lat"": -17.5664, ""long"": -65.6431, ""alt"": 25000, ""time"": ""21:34""}, {""lat"": 61.81, ""long"": -140.2208, ""alt"": 30000, ""time"": ""1:12""}, {""lat"": 86.9142, ""long"": 164.2734, ""alt"": 30000, ""time"": ""9:46""}, {""lat"": -79.03, ""long"": 151.2064, ""alt"": 15000, ""time"": ""21:31""}, {""lat"": -40.0111, ""long"": -62.9946, ""alt"": 20000, ""time"": ""11:40""}, {""lat"": 30.1744, ""long"": 10.9462, ""alt"": 20000, ""time"": ""7:15""}, {""lat"": 89.7343, ""long"": -147.0992, ""alt"": 25000, ""time"": ""18:56""}, {""lat"": 62.4887, ""long"": -36.8899, ""alt"": 25000, ""time"": ""7:28""}, {""lat"": -11.1543, ""long"": 110.2041, ""alt"": 10000, ""time"": ""15:52""}, {""lat"": 41.1388, ""long"": 177.0499, ""alt"": 30000, ""time"": ""0:56""}, {""lat"": -71.4898, ""long"": -87.5752, ""alt"": 15000, ""time"": ""8:18""}]","[{""flight_id"": ""INT8855"", ""alt"": 15000, ""time"": ""4:46"", ""wp"": ""WP4""}]",30,23,No Impact,"[{""type"": ""War Zone"", ""wp"": ""WP2""}]",[],"[{""zone"": ""Near Airport"", ""alt"": [1680, 5571], ""time_range"": ""7:09-20:25""}]",Low,Winter,0.54,22
FL1618,VGA,HYD,178,"[{""lat"": -0.0941, ""long"": 126.78, ""alt"": 30000, ""time"": ""2:46""}, {""lat"": 70.3687, ""long"": 175.3644, ""alt"": 30000, ""time"": ""8:30""}, {""lat"": 66.8848, ""long"": 38.4168, ""alt"": 15000, ""time"": ""6:00""}, {""lat"": -21.2078, ""long"": 157.7379, ""alt"": 10000, ""time"": ""17:52""}, {""lat"": -45.5797, ""long"": -153.8105, ""alt"": 20000, ""time"": ""7:41""}, {""lat"": 73.1291, ""long"": 172.4147, ""alt"": 20000, ""time"": ""1:37""}, {""lat"": 18.5704, ""long"": 109.7824, ""alt"": 30000, ""time"": ""6:42""}]","[{""flight_id"": ""INT4369"", ""alt"": 20000, ""time"": ""8:17"", ""wp"": ""WP3""}, {""flight_id"": ""INT4995"", ""alt"": 25000, ""time"": ""21:46"", ""wp"": ""WP3""}, {""flight_id"": ""INT6030"", ""alt"": 10000, ""time"": ""18:03"", ""wp"": ""WP4""}, {""flight_id"": ""INT8530"", ""alt"": 15000, ""time"": ""18:09"", ""wp"": ""WP2""}, {""flight_id"": ""INT7785"", ""alt"": 25000, ""time"": ""10:37"", ""wp"": ""WP4""}]",12,0,Negative,"[{""type"": ""War Zone"", ""wp"": ""WP5""}, {""type"": ""War Zone"", ""wp"": ""WP4""}]","[{""alt"": 297, ""time"": ""1:32""}]","[{""zone"": ""City Area"", ""alt"": [1548, 5624], ""time_range"": ""10:57-18:54""}]",Medium,Winter,0.65,24
FL1619,HYD,BLR,1439,"[{""lat"": -37.6043, ""long"": 98.1026, ""alt"": 20000, ""time"": ""9:28""}, {""lat"": -8.314, ""long"": -54.2541, ""alt"": 15000, ""time"": ""5:39""}, {""lat"": -62.7762, ""long"": -123.8042, ""alt"": 25000, ""time"": ""14:40""}, {""lat"": -83.8067, ""long"": 140.0188, ""alt"": 30000, ""time"": ""14:05""}, {""lat"": 63.8073, ""long"": -150.07, ""alt"": 10000, ""time"": ""3:36""}, {""lat"": -40.7523, ""long"": 32.691, ""alt"": 10000, ""time"": ""7:02""}, {""lat"": -51.9679, ""long"": -175.695, ""alt"": 30000, ""time"": ""22:02""}, {""lat"": -74.0531, ""long"": 67.4961, ""alt"": 20000, ""time"": ""0:29""}, {""lat"": -59.57, ""long"": -80.1418, ""alt"": 30000, ""time"": ""8:08""}, {""lat"": -72.2447, ""long"": 162.8583, ""alt"": 30000, ""time"": ""19:45""}, {""lat"": -10.9629, ""long"": -117.7914, ""alt"": 30000, ""time"": ""6:15""}, {""lat"": -76.2024, ""long"": 61.5412, ""alt"": 15000, ""time"": ""0:36""}, {""lat"": -19.1604, ""long"": 52.4062, ""alt"": 30000, ""time"": ""13:56""}]","[{""flight_id"": ""INT6686"", ""alt"": 20000, ""time"": ""11:45"", ""wp"": ""WP3""}, {""flight_id"": ""INT1791"", ""alt"": 20000, ""time"": ""12:36"", ""wp"": ""WP4""}, {""flight_id"": ""INT5970"", ""alt"": 20000, ""time"": ""4:13"", ""wp"": ""WP1""}]",16,30,Positive,"[{""type"": ""Noise Sensitive"", ""wp"": ""WP4""}, {""type"": ""War Zone"", ""wp"": ""WP3""}, {""type"": ""Govt"", ""wp"": ""WP4""}]","[{""alt"": 308, ""time"": ""21:15""}, {""alt"": 170, ""time"": ""0:53""}]","[{""zone"": ""City Area"", ""alt"": [1133, 5422], ""time_range"": ""8:05-22:54""}]",Medium,Summer,0.71,22
