Flight ID,Destination,Airline,Aircraft Type,Scheduled Departure,Scheduled Arrival,Actual Departure,Actual Arrival,Traffic Volume (Nearby Flights ±5 mins),Sector Congestion (Intersections),Special Event (Rating out of 10),Day of the Week,Time of the Day,Weather Condition,Airport Operating Hours (Origin),Airport Operating Hours (Destination),Actual Travel Distance (Time Taken in mins),Suggested Travel Distance (Optimal Time in mins)
6E7206,Hyderabad (HYD),IndiGo,AT76,8:15 PM,9:41 PM,8:37 PM,10:20 PM,2 flights scheduled within +/-5 mins,8:46 - Flight XYZ-ABC at 27521 ft,7,Friday,Afternoon,Fog,05:00-23:00,05:00-23:00,64,53
6E7139,Chennai (MAA),IndiGo,AT76,9:05 PM,10:14 PM,9:10 PM,10:59 PM,6 flights scheduled within +/-5 mins,10:22 - Flight XYZ-ABC at 28547 ft,7,Saturday,Afternoon,Fog,05:00-23:00,05:00-23:00,47,53
AI468,Delhi (DEL),Air India,A319,9:10 PM,11:04 PM,9:21 PM,10:28 PM,1 flights scheduled within +/-5 mins,10:47 - Flight XYZ-ABC at 27417 ft,0,Tuesday,Afternoon,Fog,05:00-23:00,05:00-23:00,54,55
6E7284,Hyderabad (HYD),IndiGo,AT76,9:25 PM,11:20 PM,9:26 PM,10:47 PM,3 flights scheduled within +/-5 mins,7:49 - Flight XYZ-ABC at 16410 ft,0,Sunday,Morning,Rain,05:00-23:00,05:00-23:00,49,52
6E7224,Bengaluru (BLR),IndiGo,AT76,12:45 PM,2:42 PM,12:46 PM,2:23 PM,4 flights scheduled within +/-5 mins,9:24 - Flight XYZ-ABC at 20881 ft,10,Tuesday,Morning,Rain,05:00-23:00,05:00-23:00,54,49
IX2883,Hyderabad (HYD),Air India Express,B38M,12:55 PM,1:58 PM,3:37 PM,5:05 PM,3 flights scheduled within +/-5 mins,10:30 - Flight XYZ-ABC at 15038 ft,7,Wednesday,Morning,Clear,05:00-23:00,05:00-23:00,48,46
6E2264,Delhi (DEL),SmartLynx,A320,2:10 PM,3:57 PM,2:21 PM,3:24 PM,3 flights scheduled within +/-5 mins,9:52 - Flight XYZ-ABC at 18857 ft,10,Sunday,Afternoon,Clear,05:00-23:00,05:00-23:00,58,49
6E7439,Tirupati (TIR),IndiGo,AT76,2:45 PM,4:38 PM,3:03 PM,4:05 PM,3 flights scheduled within +/-5 mins,10:27 - Flight XYZ-ABC at 15669 ft,0,Friday,Morning,Rain,05:00-23:00,05:00-23:00,52,50
6E7288,Hyderabad (HYD),IndiGo,AT76,4:50 PM,6:32 PM,4:48 PM,6:07 PM,3 flights scheduled within +/-5 mins,9:40 - Flight XYZ-ABC at 29907 ft,10,Saturday,Afternoon,Clear,05:00-23:00,05:00-23:00,48,48
6E7251,Visakhapatnam (VTZ),IndiGo,AT76,5:45 PM,7:20 PM,6:18 PM,7:24 PM,2 flights scheduled within +/-5 mins,7:42 - Flight XYZ-ABC at 23590 ft,0,Monday,Evening,Fog,05:00-23:00,05:00-23:00,60,48
6E7392,Hyderabad (HYD),IndiGo,AT76,6:10 PM,7:24 PM,6:08 PM,7:13 PM,1 flights scheduled within +/-5 mins,10:29 - Flight XYZ-ABC at 23725 ft,7,Saturday,Morning,Rain,05:00-23:00,05:00-23:00,59,47
6E5184,Mumbai (BOM),IndiGo,A20N,6:40 PM,8:20 PM,6:59 PM,7:59 PM,1 flights scheduled within +/-5 mins,10:56 - Flight XYZ-ABC at 23592 ft,7,Sunday,Afternoon,Rain,05:00-23:00,05:00-23:00,59,51
AI599,Mumbai (BOM),Air India,A20N,7:10 PM,8:25 PM,7:04 PM,8:58 PM,5 flights scheduled within +/-5 mins,8:54 - Flight XYZ-ABC at 29512 ft,5,Friday,Afternoon,Fog,05:00-23:00,05:00-23:00,47,53
6E7704,Bengaluru (BLR),IndiGo,AT76,7:15 PM,8:41 PM,7:19 PM,8:25 PM,4 flights scheduled within +/-5 mins,7:59 - Flight XYZ-ABC at 29239 ft,5,Monday,Evening,Clear,05:00-23:00,05:00-23:00,62,50
IX2516,Visakhapatnam (VTZ),Air India Express,B38M,7:55 PM,9:05 PM,7:53 PM,9:40 PM,3 flights scheduled within +/-5 mins,7:50 - Flight XYZ-ABC at 16318 ft,7,Thursday,Afternoon,Fog,05:00-23:00,05:00-23:00,57,51
6E7206,Hyderabad (HYD),IndiGo,AT76,8:15 PM,9:37 PM,8:37 PM,10:12 PM,1 flights scheduled within +/-5 mins,7:57 - Flight XYZ-ABC at 22718 ft,10,Tuesday,Afternoon,Rain,05:00-23:00,05:00-23:00,48,52
6E7139,Chennai (MAA),IndiGo,AT76,9:05 PM,10:23 PM,9:10 PM,10:16 PM,6 flights scheduled within +/-5 mins,7:26 - Flight XYZ-ABC at 25400 ft,5,Tuesday,Evening,Clear,05:00-23:00,05:00-23:00,58,49
AI468,Delhi (DEL),Air India,A319,9:10 PM,11:09 PM,9:21 PM,10:38 PM,4 flights scheduled within +/-5 mins,8:46 - Flight XYZ-ABC at 18673 ft,5,Saturday,Evening,Rain,05:00-23:00,05:00-23:00,51,54
6E7284,Hyderabad (HYD),IndiGo,AT76,9:25 PM,11:19 PM,9:26 PM,10:28 PM,5 flights scheduled within +/-5 mins,7:52 - Flight XYZ-ABC at 28236 ft,7,Monday,Afternoon,Fog,05:00-23:00,05:00-23:00,59,51
6E7224,Bengaluru (BLR),IndiGo,AT76,12:45 PM,2:18 PM,12:46 PM,2:06 PM,3 flights scheduled within +/-5 mins,8:44 - Flight XYZ-ABC at 15429 ft,7,Sunday,Morning,Fog,05:00-23:00,05:00-23:00,55,45
IX2883,Hyderabad (HYD),Air India Express,B38M,12:55 PM,2:50 PM,3:37 PM,4:52 PM,2 flights scheduled within +/-5 mins,9:20 - Flight XYZ-ABC at 27131 ft,5,Sunday,Morning,Fog,05:00-23:00,05:00-23:00,56,45
6E2264,Delhi (DEL),SmartLynx,A320,2:10 PM,3:24 PM,2:21 PM,4:07 PM,2 flights scheduled within +/-5 mins,7:22 - Flight XYZ-ABC at 24940 ft,7,Monday,Morning,Rain,05:00-23:00,05:00-23:00,61,48
6E7439,Tirupati (TIR),IndiGo,AT76,2:45 PM,3:57 PM,3:03 PM,4:17 PM,5 flights scheduled within +/-5 mins,8:12 - Flight XYZ-ABC at 20106 ft,10,Wednesday,Morning,Rain,05:00-23:00,05:00-23:00,55,51
6E7288,Hyderabad (HYD),IndiGo,AT76,4:50 PM,6:49 PM,4:48 PM,6:21 PM,4 flights scheduled within +/-5 mins,8:21 - Flight XYZ-ABC at 15683 ft,0,Sunday,Afternoon,Fog,05:00-23:00,05:00-23:00,64,45
6E7251,Visakhapatnam (VTZ),IndiGo,AT76,5:45 PM,7:09 PM,6:18 PM,7:43 PM,1 flights scheduled within +/-5 mins,10:19 - Flight XYZ-ABC at 25207 ft,10,Wednesday,Evening,Clear,05:00-23:00,05:00-23:00,47,54
6E7392,Hyderabad (HYD),IndiGo,AT76,6:10 PM,7:28 PM,6:08 PM,7:11 PM,3 flights scheduled within +/-5 mins,10:49 - Flight XYZ-ABC at 22032 ft,5,Tuesday,Morning,Rain,05:00-23:00,05:00-23:00,45,50
6E5184,Mumbai (BOM),IndiGo,A20N,6:40 PM,8:39 PM,6:59 PM,8:00 PM,5 flights scheduled within +/-5 mins,8:29 - Flight XYZ-ABC at 28081 ft,5,Friday,Evening,Fog,05:00-23:00,05:00-23:00,45,45
AI599,Mumbai (BOM),Air India,A20N,7:10 PM,8:50 PM,7:04 PM,8:57 PM,4 flights scheduled within +/-5 mins,10:11 - Flight XYZ-ABC at 23132 ft,7,Wednesday,Morning,Fog,05:00-23:00,05:00-23:00,60,53
6E7704,Bengaluru (BLR),IndiGo,AT76,7:15 PM,9:13 PM,7:19 PM,9:11 PM,3 flights scheduled within +/-5 mins,9:33 - Flight XYZ-ABC at 15572 ft,0,Friday,Afternoon,Rain,05:00-23:00,05:00-23:00,48,50
IX2516,Visakhapatnam (VTZ),Air India Express,B38M,7:55 PM,9:35 PM,7:53 PM,9:04 PM,6 flights scheduled within +/-5 mins,10:50 - Flight XYZ-ABC at 27668 ft,10,Wednesday,Morning,Clear,05:00-23:00,05:00-23:00,62,46
6E7206,Hyderabad (HYD),IndiGo,AT76,8:15 PM,9:31 PM,8:37 PM,9:42 PM,1 flights scheduled within +/-5 mins,7:59 - Flight XYZ-ABC at 20022 ft,5,Tuesday,Afternoon,Clear,05:00-23:00,05:00-23:00,46,55
6E7139,Chennai (MAA),IndiGo,AT76,9:05 PM,10:28 PM,9:10 PM,10:23 PM,1 flights scheduled within +/-5 mins,9:28 - Flight XYZ-ABC at 19823 ft,0,Thursday,Evening,Clear,05:00-23:00,05:00-23:00,46,55
AI468,Delhi (DEL),Air India,A319,9:10 PM,10:26 PM,9:21 PM,10:33 PM,1 flights scheduled within +/-5 mins,8:12 - Flight XYZ-ABC at 24142 ft,10,Sunday,Morning,Rain,05:00-23:00,05:00-23:00,62,54
6E7284,Hyderabad (HYD),IndiGo,AT76,9:25 PM,10:48 PM,9:26 PM,10:31 PM,2 flights scheduled within +/-5 mins,9:49 - Flight XYZ-ABC at 27242 ft,7,Friday,Evening,Rain,05:00-23:00,05:00-23:00,65,54
6E7224,Bengaluru (BLR),IndiGo,AT76,12:45 PM,2:07 PM,12:46 PM,2:42 PM,5 flights scheduled within +/-5 mins,10:44 - Flight XYZ-ABC at 17289 ft,7,Friday,Afternoon,Fog,05:00-23:00,05:00-23:00,53,45
IX2883,Hyderabad (HYD),Air India Express,B38M,12:55 PM,2:41 PM,3:37 PM,5:14 PM,3 flights scheduled within +/-5 mins,8:16 - Flight XYZ-ABC at 15113 ft,10,Tuesday,Evening,Clear,05:00-23:00,05:00-23:00,65,50
6E2264,Delhi (DEL),SmartLynx,A320,2:10 PM,3:22 PM,2:21 PM,4:19 PM,3 flights scheduled within +/-5 mins,8:16 - Flight XYZ-ABC at 18187 ft,5,Sunday,Afternoon,Rain,05:00-23:00,05:00-23:00,56,45
6E7439,Tirupati (TIR),IndiGo,AT76,2:45 PM,4:14 PM,3:03 PM,4:28 PM,2 flights scheduled within +/-5 mins,7:51 - Flight XYZ-ABC at 23444 ft,7,Sunday,Afternoon,Rain,05:00-23:00,05:00-23:00,49,54
6E7288,Hyderabad (HYD),IndiGo,AT76,4:50 PM,6:16 PM,4:48 PM,6:28 PM,6 flights scheduled within +/-5 mins,10:49 - Flight XYZ-ABC at 21527 ft,10,Thursday,Afternoon,Fog,05:00-23:00,05:00-23:00,57,51
6E7251,Visakhapatnam (VTZ),IndiGo,AT76,5:45 PM,6:55 PM,6:18 PM,8:10 PM,5 flights scheduled within +/-5 mins,9:11 - Flight XYZ-ABC at 19274 ft,5,Friday,Evening,Rain,05:00-23:00,05:00-23:00,45,49
6E7392,Hyderabad (HYD),IndiGo,AT76,6:10 PM,7:29 PM,6:08 PM,7:33 PM,4 flights scheduled within +/-5 mins,8:49 - Flight XYZ-ABC at 20834 ft,0,Thursday,Evening,Clear,05:00-23:00,05:00-23:00,45,52
6E5184,Mumbai (BOM),IndiGo,A20N,6:40 PM,7:44 PM,6:59 PM,8:31 PM,3 flights scheduled within +/-5 mins,9:42 - Flight XYZ-ABC at 20850 ft,0,Monday,Morning,Clear,05:00-23:00,05:00-23:00,59,50
AI599,Mumbai (BOM),Air India,A20N,7:10 PM,8:45 PM,7:04 PM,8:41 PM,1 flights scheduled within +/-5 mins,7:54 - Flight XYZ-ABC at 17497 ft,7,Saturday,Afternoon,Clear,05:00-23:00,05:00-23:00,55,49
6E7704,Bengaluru (BLR),IndiGo,AT76,7:15 PM,8:41 PM,7:19 PM,9:03 PM,5 flights scheduled within +/-5 mins,8:44 - Flight XYZ-ABC at 16318 ft,7,Wednesday,Afternoon,Fog,05:00-23:00,05:00-23:00,57,47
IX2516,Visakhapatnam (VTZ),Air India Express,B38M,7:55 PM,9:16 PM,7:53 PM,9:17 PM,3 flights scheduled within +/-5 mins,7:41 - Flight XYZ-ABC at 17755 ft,0,Thursday,Morning,Rain,05:00-23:00,05:00-23:00,64,47
6E7206,Hyderabad (HYD),IndiGo,AT76,8:15 PM,9:57 PM,8:37 PM,9:46 PM,6 flights scheduled within +/-5 mins,8:44 - Flight XYZ-ABC at 17761 ft,5,Sunday,Morning,Fog,05:00-23:00,05:00-23:00,52,48
6E7139,Chennai (MAA),IndiGo,AT76,9:05 PM,10:21 PM,9:10 PM,10:28 PM,2 flights scheduled within +/-5 mins,9:53 - Flight XYZ-ABC at 27879 ft,7,Monday,Morning,Clear,05:00-23:00,05:00-23:00,46,49
AI468,Delhi (DEL),Air India,A319,9:10 PM,10:33 PM,9:21 PM,10:49 PM,3 flights scheduled within +/-5 mins,9:39 - Flight XYZ-ABC at 17610 ft,10,Thursday,Evening,Rain,05:00-23:00,05:00-23:00,52,48
6E7284,Hyderabad (HYD),IndiGo,AT76,9:25 PM,11:24 PM,9:26 PM,10:34 PM,3 flights scheduled within +/-5 mins,7:55 - Flight XYZ-ABC at 18218 ft,5,Monday,Afternoon,Clear,05:00-23:00,05:00-23:00,61,54
6E7224,Bengaluru (BLR),IndiGo,AT76,12:45 PM,1:48 PM,12:46 PM,1:48 PM,2 flights scheduled within +/-5 mins,8:32 - Flight XYZ-ABC at 22569 ft,7,Friday,Evening,Rain,05:00-23:00,05:00-23:00,57,54
IX2883,Hyderabad (HYD),Air India Express,B38M,12:55 PM,2:20 PM,3:37 PM,4:55 PM,1 flights scheduled within +/-5 mins,10:19 - Flight XYZ-ABC at 18811 ft,0,Friday,Morning,Rain,05:00-23:00,05:00-23:00,48,54
6E2264,Delhi (DEL),SmartLynx,A320,2:10 PM,3:13 PM,2:21 PM,3:51 PM,1 flights scheduled within +/-5 mins,8:53 - Flight XYZ-ABC at 15126 ft,7,Friday,Afternoon,Rain,05:00-23:00,05:00-23:00,47,53
6E7439,Tirupati (TIR),IndiGo,AT76,2:45 PM,4:00 PM,3:03 PM,4:56 PM,5 flights scheduled within +/-5 mins,8:20 - Flight XYZ-ABC at 29932 ft,5,Wednesday,Evening,Clear,05:00-23:00,05:00-23:00,48,52
6E7288,Hyderabad (HYD),IndiGo,AT76,4:50 PM,6:22 PM,4:48 PM,6:16 PM,1 flights scheduled within +/-5 mins,9:54 - Flight XYZ-ABC at 28571 ft,10,Saturday,Evening,Fog,05:00-23:00,05:00-23:00,55,54
6E7251,Visakhapatnam (VTZ),IndiGo,AT76,5:45 PM,7:22 PM,6:18 PM,7:49 PM,4 flights scheduled within +/-5 mins,7:11 - Flight XYZ-ABC at 17750 ft,10,Tuesday,Evening,Clear,05:00-23:00,05:00-23:00,47,48
6E7392,Hyderabad (HYD),IndiGo,AT76,6:10 PM,7:53 PM,6:08 PM,7:13 PM,5 flights scheduled within +/-5 mins,9:40 - Flight XYZ-ABC at 24340 ft,7,Sunday,Afternoon,Fog,05:00-23:00,05:00-23:00,48,48
6E5184,Mumbai (BOM),IndiGo,A20N,6:40 PM,8:20 PM,6:59 PM,8:28 PM,1 flights scheduled within +/-5 mins,8:18 - Flight XYZ-ABC at 23510 ft,7,Saturday,Afternoon,Rain,05:00-23:00,05:00-23:00,59,54
AI599,Mumbai (BOM),Air India,A20N,7:10 PM,8:51 PM,7:04 PM,9:00 PM,5 flights scheduled within +/-5 mins,9:24 - Flight XYZ-ABC at 20672 ft,10,Saturday,Afternoon,Clear,05:00-23:00,05:00-23:00,62,54
6E7704,Bengaluru (BLR),IndiGo,AT76,7:15 PM,8:29 PM,7:19 PM,9:11 PM,4 flights scheduled within +/-5 mins,8:28 - Flight XYZ-ABC at 27727 ft,10,Friday,Afternoon,Fog,05:00-23:00,05:00-23:00,45,50
IX2516,Visakhapatnam (VTZ),Air India Express,B38M,7:55 PM,9:26 PM,7:53 PM,9:12 PM,6 flights scheduled within +/-5 mins,9:56 - Flight XYZ-ABC at 26581 ft,0,Saturday,Morning,Rain,05:00-23:00,05:00-23:00,58,50
6E7206,Hyderabad (HYD),IndiGo,AT76,8:15 PM,9:37 PM,8:37 PM,9:51 PM,3 flights scheduled within +/-5 mins,9:24 - Flight XYZ-ABC at 15395 ft,10,Wednesday,Afternoon,Fog,05:00-23:00,05:00-23:00,63,45
6E7139,Chennai (MAA),IndiGo,AT76,9:05 PM,10:59 PM,9:10 PM,10:15 PM,2 flights scheduled within +/-5 mins,7:28 - Flight XYZ-ABC at 23822 ft,5,Friday,Afternoon,Fog,05:00-23:00,05:00-23:00,56,54
AI468,Delhi (DEL),Air India,A319,9:10 PM,11:07 PM,9:21 PM,10:21 PM,2 flights scheduled within +/-5 mins,9:47 - Flight XYZ-ABC at 25310 ft,0,Tuesday,Afternoon,Rain,05:00-23:00,05:00-23:00,61,53
