Pilot_ID,Flight_Hours,Training_Scores,Incident_Reports,Flight_Maneuver_Proficiency,Physiological_Data,Cognitive_Performance,Stress_Levels,Communication_Skills,Weather_Adaptability,Peer_Reviews,Simulator_Performance,Fatigue_Management,Final_Rating
82,89,17,32,78,83,48,42,35,69,65,33,10,62.4
83,43,3,85,84,77,34,36,57,38,85,85,50,49.15
84,33,16,49,9,85,91,84,19,16,52,76,58,45.25
85,73,13,55,32,15,71,28,51,69,69,53,83,53.35
86,61,77,8,45,28,31,28,5,91,8,50,12,59.1
87,99,12,81,58,31,67,48,22,8,75,99,46,54.8
88,13,6,49,51,82,70,74,41,90,41,5,87,43.7
89,94,43,28,5,34,38,50,23,98,38,58,42,57.75
90,47,14,38,1,42,47,49,4,45,68,53,23,39.6
91,14,18,90,28,95,90,27,31,5,39,16,47,39.25
92,71,62,99,39,52,36,73,45,67,58,25,62,53.6
93,77,34,44,96,19,59,4,16,15,43,87,16,58.85
94,86,80,16,60,83,80,55,74,86,64,8,68,81.15
95,61,34,55,67,7,73,63,26,86,73,1,53,52
96,39,18,97,67,98,3,88,67,28,10,19,93,39.95
97,84,19,45,28,41,22,96,22,40,90,90,13,48.15
98,79,99,66,100,76,13,16,86,67,86,5,14,75
99,81,34,68,61,69,4,96,33,61,83,90,72,56.75
100,52,31,13,59,15,65,88,20,39,4,87,77,51.15
101,23,47,66,83,68,23,96,21,61,76,78,9,47.25
102,25,43,22,40,52,17,54,64,23,73,54,21,46.35
103,88,23,93,86,44,26,8,31,5,48,47,94,54.35
104,59,60,60,81,50,23,90,61,39,50,57,12,54.65
105,40,16,22,88,97,28,88,27,69,35,96,80,56.25
106,28,70,26,64,5,10,67,81,57,15,41,64,49.45
107,14,49,53,63,32,17,72,6,13,6,73,13,35.45
108,44,64,9,78,78,3,78,53,77,95,20,43,62.1
109,64,98,88,62,14,32,15,69,44,88,5,38,60.85
110,88,31,76,97,13,77,15,13,98,43,29,34,60
111,70,35,15,47,38,41,12,93,5,25,22,64,56.95
112,8,12,40,19,62,31,77,54,22,35,35,26,30.95
113,87,69,97,36,4,50,85,57,61,52,2,44,52.05
114,0,57,54,63,89,3,84,43,83,91,89,56,50.4
115,7,13,100,90,80,19,72,45,16,43,33,21,32.2
116,87,36,60,85,51,84,62,13,83,11,29,33,60.95
117,62,78,85,4,15,66,40,43,69,89,81,8,55.5
118,10,67,80,33,98,88,52,40,27,67,80,49,54.85
119,80,39,86,38,37,67,67,72,12,22,41,53,51.05
120,7,58,99,66,52,61,73,94,28,87,20,57,46.65
121,34,79,48,80,86,57,98,1,44,94,87,99,66.45
122,34,91,72,61,76,46,8,81,19,29,3,95,62.05
123,32,15,51,87,96,74,50,4,57,62,48,61,54.1
124,4,61,1,23,92,79,47,89,80,2,47,37,57.7
125,40,3,95,2,52,58,79,86,53,79,88,83,40.8
126,27,44,49,70,45,99,48,11,98,33,50,26,54.2
127,6,89,85,88,97,5,17,77,63,91,23,63,59.5
128,72,27,42,66,97,94,9,76,51,48,45,2,66.95
129,71,95,76,78,90,39,84,98,100,43,26,10,70.95
130,11,65,7,92,14,76,53,46,42,40,94,23,57.3
131,33,30,58,49,58,22,78,78,86,47,50,28,45.25
132,32,2,64,28,49,51,14,34,17,70,98,68,41.85
133,47,7,80,73,8,3,10,18,99,7,19,96,37.65
134,22,23,11,31,25,36,39,78,83,6,79,7,42.8
135,61,14,3,86,2,41,46,62,53,36,94,18,53.45
136,87,42,76,38,99,100,100,7,59,54,70,67,64.75
137,36,30,94,8,46,43,19,22,70,70,17,98,41.4
138,98,72,40,100,4,96,97,12,99,49,7,93,73.15
139,43,44,6,13,61,41,21,22,0,81,26,68,52.1
140,85,65,86,67,83,28,47,30,36,20,13,47,59.15
141,90,7,87,63,83,100,81,29,48,33,17,39,54.55
142,34,70,68,19,4,18,15,41,34,48,64,66,45
143,64,56,68,27,9,83,4,1,66,26,30,15,50.8
144,98,79,80,13,79,31,64,10,34,7,19,63,58.15
145,100,98,29,43,62,43,82,24,92,33,69,7,73.65
146,46,29,72,97,24,54,73,28,8,17,44,4,41.7
147,77,73,5,76,43,79,20,21,36,50,0,98,73.55
148,2,17,88,94,24,4,60,18,59,11,18,71,28.05
149,0,68,18,96,29,45,76,72,55,85,38,99,57.45
150,4,92,79,38,13,75,54,40,88,50,26,24,47.6
151,89,38,84,27,85,44,23,37,11,62,55,52,57.3
152,13,59,65,63,42,20,22,28,70,39,15,48,44.3
153,26,97,9,88,27,77,86,73,70,21,77,71,69.2
154,8,42,15,31,93,100,10,21,3,7,97,20,52.8
155,78,44,36,8,18,21,46,87,60,27,6,50,49.7
156,14,22,78,27,41,29,1,7,44,49,19,45,32.25
157,89,68,76,94,19,22,69,46,94,46,30,8,60.05
158,41,93,76,16,98,4,52,5,49,55,85,63,56.25
159,76,5,31,86,85,62,10,6,49,31,83,95,64.1
160,50,55,46,76,78,92,14,83,73,10,78,76,71.3
161,62,3,71,54,10,58,72,80,47,20,24,22,39.15
162,95,92,42,9,53,93,11,35,22,25,0,59,70.2
163,51,22,81,79,97,81,35,7,89,13,16,58,54.6
164,95,5,35,5,23,51,91,76,86,78,79,7,51.15
165,3,31,25,47,69,64,22,87,92,13,100,63,53.95
166,93,17,9,74,16,38,26,45,7,75,84,98,63.05
167,100,14,30,66,27,80,87,63,82,99,26,53,63.9
168,22,39,96,91,49,2,13,30,28,2,98,91,43.6
169,14,95,28,40,94,41,53,22,42,56,23,14,56.7
170,42,72,4,78,99,70,98,60,52,6,61,51,68.7
171,28,100,76,59,54,26,26,80,5,38,51,92,58.9
172,35,73,0,76,72,27,20,49,92,56,50,50,67.95
173,12,83,86,41,9,53,48,45,23,64,65,3,43.3
174,31,5,2,80,20,94,61,87,73,24,56,33,52
175,70,62,66,70,57,14,76,42,13,30,54,100,57.05
176,58,66,70,27,33,52,71,9,51,85,52,23,51.45
177,85,10,99,12,94,71,43,94,69,9,88,20,53.65
178,27,42,34,80,92,69,43,19,3,81,18,1,53.45
179,65,16,14,14,42,91,97,15,57,76,12,6,47.95
180,41,95,66,35,10,3,60,77,78,71,28,55,52.85
181,44,3,92,91,32,93,41,2,36,8,95,74,45.5
182,61,62,29,14,57,16,22,29,47,78,5,75,56
183,56,67,81,74,45,33,72,17,38,7,72,67,53.15
184,5,80,74,55,60,5,0,58,91,96,0,34,50.55
185,27,40,42,94,61,35,35,69,65,98,23,25,55.45
186,27,82,59,3,0,98,54,83,12,18,73,17,48.45
187,43,4,39,98,20,38,15,34,65,29,98,63,49.8
188,83,31,64,97,61,79,88,18,59,8,5,55,57.95
189,29,85,28,51,63,65,17,25,40,82,47,100,66.75
190,61,69,73,90,86,7,97,34,31,46,19,79,57.6
191,74,34,91,9,72,14,37,75,51,45,75,54,50.15
192,91,21,94,93,55,62,66,71,4,89,66,11,57.75
193,88,64,18,44,0,90,19,56,66,0,54,36,66.65
194,61,83,2,83,20,79,18,100,65,2,17,51,72.65
195,96,21,35,28,21,64,12,48,77,33,20,18,55.4
196,0,10,42,52,53,58,16,9,51,24,98,14,38.1
197,26,76,14,28,3,9,77,84,48,29,63,85,49.6
198,61,2,96,22,64,6,29,28,28,0,36,83,34.5
199,76,8,40,56,50,73,85,94,37,17,18,51,52.3
200,2,59,89,49,73,75,42,70,69,32,88,76,52.65
201,69,75,79,20,62,80,47,97,97,8,55,86,66.9
202,71,86,35,42,14,11,42,97,7,6,61,94,60.75
203,26,13,96,9,35,78,92,93,58,29,17,25,31.9
204,8,96,83,75,28,45,65,67,54,76,29,44,52.55
205,61,17,76,29,51,31,52,93,1,80,55,95,47.7
206,36,72,32,50,45,31,71,88,25,12,41,20,51.75
207,96,22,4,32,68,89,77,77,62,12,52,80,67.4
208,50,73,100,17,28,77,33,23,16,41,97,92,53.6
209,43,82,77,77,46,89,76,42,58,100,73,52,65.95
210,23,46,90,21,90,60,73,94,87,73,85,28,51.6
211,78,68,86,63,24,68,71,38,94,77,49,47,62.8
212,58,46,13,20,79,60,70,91,15,62,3,85,59.7
213,31,86,67,0,15,45,12,24,57,68,62,18,48.55
214,95,29,82,14,99,67,89,82,63,35,66,53,60.1
215,87,24,46,35,88,91,55,67,49,34,55,77,65.35
216,51,27,53,46,40,54,58,33,84,45,48,86,51.2
217,61,97,3,53,64,0,31,95,25,44,91,1,69.25
218,57,24,93,85,68,76,82,88,16,55,21,31,51.25
219,51,73,82,31,19,66,78,85,45,86,11,61,53.7
220,11,77,94,57,68,48,53,52,67,4,48,96,51.2
221,38,57,94,45,35,24,1,91,49,43,12,6,45
222,1,93,8,53,92,15,36,54,42,27,32,97,59.8
223,2,40,52,32,97,84,82,52,47,86,46,67,50.3
224,100,24,76,38,57,12,96,17,67,41,63,86,51.8
225,55,77,77,22,47,51,32,6,18,97,82,83,58.4
226,80,98,59,42,81,35,0,62,24,30,16,21,68.15
227,58,47,45,54,1,71,27,74,71,6,33,28,53.35
228,1,97,53,1,79,43,16,41,17,6,67,100,52.35
229,1,9,73,65,28,82,56,10,50,3,38,2,29.55
230,91,98,94,37,96,46,69,8,17,31,71,21,65.25
231,53,74,36,28,15,79,51,34,57,27,96,83,61.3
232,86,10,22,66,34,75,43,100,63,55,0,88,62.65
233,100,84,26,70,61,19,83,86,70,3,4,97,73.05
234,95,20,69,35,80,17,46,96,56,7,95,52,57.3
235,96,85,89,28,3,53,12,64,16,13,39,92,61.3
236,0,44,65,36,67,11,75,83,58,29,62,56,39.35
237,18,6,60,99,50,24,29,4,66,2,0,9,33.7
238,1,80,76,86,88,59,84,92,85,1,34,100,58.3
239,52,63,50,44,32,74,65,25,14,9,85,39,53.35
240,43,63,49,15,77,85,52,50,94,69,92,19,62.6
241,89,1,18,30,23,33,17,37,99,70,16,86,54.35
242,31,75,0,33,74,12,27,2,25,15,93,10,54
243,69,41,39,49,24,37,3,84,47,69,98,7,59.2
244,31,81,31,64,27,11,41,58,13,79,59,92,57.5
245,67,53,21,81,6,35,5,12,80,90,0,35,59.7
246,54,74,92,61,35,27,8,94,8,75,3,24,53.5
247,74,15,65,42,9,90,19,80,6,85,8,38,50.3
248,55,17,39,55,35,38,93,34,90,78,44,97,50.8
249,16,98,37,14,94,76,100,86,91,21,31,95,63.7
250,37,58,47,47,82,42,37,2,54,34,68,61,55.5
251,23,89,54,48,17,90,67,52,11,78,13,86,56.15
252,68,15,74,80,5,30,49,54,16,86,50,20,44.55
253,97,5,80,43,91,1,59,44,72,48,89,18,51.5
254,69,56,54,9,6,81,12,65,7,1,22,24,49.55
255,85,46,50,19,11,89,98,66,90,65,45,86,60.8
256,10,47,59,69,40,41,93,83,41,18,85,82,46.3
257,15,41,7,7,62,30,41,43,75,68,26,4,44.15
258,96,75,85,44,97,60,67,72,36,3,88,82,71.5
259,72,59,67,33,24,55,24,67,19,91,35,98,60
260,58,76,74,95,80,85,30,61,0,81,67,11,69.9
261,69,3,71,50,52,99,11,24,8,40,31,24,48.2
262,79,1,8,3,32,82,63,51,23,55,72,4,49
263,92,89,89,38,86,13,78,49,33,54,65,75,65.9
264,2,58,1,83,72,13,60,0,35,30,41,26,47.3
265,19,26,79,23,5,28,52,38,3,21,49,3,24.8
266,58,26,94,87,61,80,25,51,28,74,56,82,58.5
267,35,78,69,54,65,49,60,75,86,47,63,44,60.25
268,18,71,84,25,8,49,9,39,98,79,45,46,47.5
269,89,6,89,24,66,62,11,59,15,3,88,87,52.35
270,66,62,58,35,15,100,21,87,7,20,73,27,59.45
271,18,45,18,70,88,72,52,72,90,40,100,96,66.1
272,19,62,27,73,87,64,20,83,38,44,88,34,64.25
273,95,11,71,57,92,67,34,68,57,88,53,15,63.05
274,70,12,13,11,54,70,70,19,11,83,52,11,48.9
275,51,42,23,0,39,10,81,84,43,7,28,79,44.2
276,32,16,43,49,25,13,26,1,3,8,36,74,33.8
277,39,62,100,24,37,82,59,84,24,17,68,42,48.3
278,38,80,55,79,34,2,98,87,69,30,13,27,51
279,81,35,89,4,86,7,46,8,66,34,96,86,51.2
280,0,84,94,82,67,92,65,38,38,29,26,80,53.8
281,10,7,50,67,58,100,95,29,23,17,4,18,35.7
282,91,68,31,5,13,42,14,53,84,82,43,74,65.8
283,56,89,49,25,46,8,23,81,5,40,14,67,56.2
284,88,79,40,54,70,18,83,57,96,23,66,73,70.2
285,49,35,65,38,71,11,9,43,71,85,0,54,49.5
286,22,27,24,8,41,26,87,42,32,47,23,82,36.85
287,30,92,60,44,50,100,23,9,47,13,75,35,60.6
288,93,46,65,13,18,57,87,47,66,18,61,61,53.4
289,41,75,41,54,65,24,56,84,1,59,77,38,58.55
290,98,100,64,8,46,44,33,85,37,92,56,40,71.85
291,6,29,35,14,64,47,40,16,39,21,19,59,36.7
292,15,22,75,36,41,49,39,4,55,29,57,85,37.05
293,89,15,8,49,37,80,10,69,87,14,13,65,63.5
294,59,13,35,83,12,43,89,73,20,20,77,58,47.65
295,1,73,91,71,43,58,0,63,81,25,52,96,53.75
296,0,70,37,95,23,32,29,65,34,99,34,39,52.4
297,47,51,32,20,95,77,42,70,74,11,61,90,63.8
298,11,36,41,56,29,27,81,3,74,6,60,18,35.5
299,68,28,60,18,69,17,25,100,66,74,18,54,52.95
300,36,66,45,92,37,54,52,82,59,83,83,45,64.2
301,31,14,85,57,96,32,46,27,22,34,41,3,38.05
302,8,99,88,94,22,14,8,83,64,67,43,82,57.15
303,98,46,60,5,73,60,8,93,62,1,86,61,66.35
304,18,45,17,3,56,10,0,37,22,19,97,24,42.75
305,47,51,69,42,78,35,70,65,85,46,0,62,52.6
306,79,18,81,92,22,14,43,66,41,83,67,69,53.25
307,2,76,79,41,35,52,58,59,93,11,80,12,45.35
308,19,20,14,2,56,61,55,46,63,52,89,85,47.3
309,23,63,47,0,0,47,50,24,65,16,77,3,38.95
310,53,36,71,54,71,93,15,65,80,17,45,1,57.15
311,32,26,12,14,2,14,37,78,40,23,50,66,39.4
312,23,54,42,46,13,62,10,66,19,71,31,29,48.6
313,74,28,59,84,80,86,24,68,8,36,99,3,64
314,71,19,56,45,33,42,92,39,56,29,83,47,47.5
315,35,24,70,57,69,49,82,99,74,83,79,42,52.05
316,37,69,16,94,68,59,81,49,16,51,18,92,63.95
317,83,62,49,70,50,58,58,39,77,22,38,44,65
318,98,35,31,80,28,14,28,36,81,36,87,96,66.1
319,88,1,21,82,98,28,79,90,17,73,13,12,57.8
320,98,21,54,38,81,74,39,68,62,96,28,46,65.75
321,24,95,56,2,47,81,7,16,71,23,41,95,58.15
322,92,15,12,29,93,39,97,61,92,99,13,27,61.05
323,17,17,46,34,78,30,5,40,71,79,10,36,42.95
324,81,68,86,56,78,72,44,75,25,49,74,27,67.1
325,65,53,61,28,15,85,52,41,91,91,46,26,57.45
326,53,99,53,49,56,10,93,30,71,75,23,88,61.3
327,34,29,28,61,96,80,97,32,83,19,21,29,52.85
328,79,44,21,51,9,96,20,42,71,46,48,5,62.7
329,60,18,64,13,18,61,56,92,77,17,54,93,47.25
330,40,86,28,34,100,74,75,66,12,100,54,8,66.45
331,99,33,47,27,66,7,5,37,16,25,84,5,54.8
332,32,12,4,57,35,50,62,40,25,70,69,28,46.1
333,67,42,34,29,3,56,5,62,5,42,77,86,55.55
334,32,61,73,89,74,3,52,39,80,46,72,69,55.6
335,13,92,82,6,32,35,3,29,3,84,34,85,46.7
336,20,99,100,38,27,18,8,46,88,42,43,65,50.9
337,47,21,70,94,95,23,68,21,6,31,35,94,48.75
338,19,51,45,68,79,40,73,95,16,6,88,52,52.4
339,7,51,34,34,8,48,71,54,85,86,14,69,44.05
340,6,35,44,51,74,81,86,42,91,83,44,4,48.3
341,66,72,12,13,5,96,3,60,49,83,61,19,66.25
342,16,18,9,62,48,45,57,73,5,31,91,11,44.1
343,32,37,65,35,90,35,36,31,29,89,49,7,46.75
344,47,69,69,90,75,9,70,3,73,99,77,57,60.65
345,75,78,71,23,21,77,5,92,55,87,12,48,65.05
346,58,56,99,39,47,6,50,44,38,64,30,63,46.55
347,85,19,24,28,100,11,78,71,13,57,4,49,53.1
348,21,8,43,52,20,85,98,19,53,52,82,96,42.4
349,29,31,59,21,32,90,49,70,21,91,7,38,44.3
350,37,3,46,71,80,47,95,64,56,89,12,39,46.45
351,50,49,39,14,55,36,13,59,40,33,40,30,50.85
352,53,81,6,68,28,74,98,88,89,89,16,2,67.5
353,7,4,45,63,52,35,10,25,9,99,31,82,39.5
354,26,19,22,3,39,59,9,72,1,68,4,71,42.25
355,26,86,82,74,73,76,60,22,66,55,8,29,57.5
356,97,74,45,17,17,95,80,39,47,65,33,94,67.5
357,20,36,85,41,46,7,12,1,41,31,0,28,31.55
358,29,21,12,29,12,6,33,25,10,97,39,69,38.85
359,96,57,20,14,26,42,59,77,73,49,78,55,65.45
360,27,67,0,69,61,57,50,61,11,93,53,65,64.15
361,63,92,18,54,73,80,4,43,13,23,31,86,74.5
362,96,43,59,52,95,85,73,30,29,91,97,62,71.9
363,68,33,32,15,44,45,31,25,59,45,98,29,53.65
364,60,76,3,72,2,33,11,82,76,2,49,52,65.1
365,47,41,2,33,21,83,51,4,29,9,58,45,50.8
366,18,8,90,26,26,71,12,69,37,5,91,8,33.4
367,3,94,51,12,54,21,84,34,74,97,80,6,48.35
368,34,6,98,99,66,90,53,15,64,94,61,62,50.85
369,63,67,27,26,32,97,96,30,90,51,10,46,60.35
370,48,18,69,72,1,20,53,81,46,49,22,43,40
371,16,93,69,68,74,14,40,13,38,57,25,48,52.55
372,43,30,54,85,45,4,47,24,48,51,62,78,48.4
373,91,34,56,30,73,16,50,78,100,12,45,78,59.45
374,29,56,86,2,32,71,46,89,72,58,68,84,50.15
375,92,84,96,29,57,18,49,99,57,38,89,61,65.75
376,45,60,15,20,6,4,95,74,89,52,5,58,46.65
377,5,30,23,98,14,22,75,100,88,57,50,77,47.95
378,98,82,68,5,25,82,45,100,16,19,42,74,65.7
379,36,94,40,91,10,13,98,70,5,62,97,74,58.9
380,23,52,76,31,37,9,99,17,14,95,41,83,37.65
381,92,31,46,41,26,30,37,49,66,9,12,12,50.25
382,45,65,75,100,6,12,91,19,94,25,24,29,46.3
383,52,58,68,61,0,21,12,55,27,18,1,83,47
384,94,9,100,88,73,36,75,1,72,92,13,42,52.55
385,98,1,30,31,20,38,21,25,43,60,16,50,49.35
386,59,65,91,98,78,9,1,22,17,76,39,7,57.2
387,96,59,91,85,29,30,92,31,31,33,38,36,55.15
388,62,87,29,87,93,42,76,12,82,83,24,96,75.15
389,84,16,17,38,7,98,98,12,68,43,90,89,57.8
390,31,95,43,63,87,76,12,16,43,17,47,63,67.2
391,86,15,26,29,82,93,56,88,69,97,87,38,69.15
392,32,15,98,62,2,97,33,57,62,71,48,7,41.3
393,66,45,25,95,54,35,18,85,75,15,32,61,65.6
394,17,38,59,30,14,34,8,26,57,86,26,81,41.3
395,24,30,17,86,35,67,94,16,46,95,44,38,50.15
396,94,87,96,39,5,54,32,89,16,76,30,13,61
397,53,0,88,32,41,67,26,37,38,25,62,51,40.15
398,57,10,55,62,49,46,44,13,58,64,37,81,49.05
399,66,84,30,24,17,5,1,13,6,65,78,56,57.45
400,45,3,100,35,82,27,78,11,62,76,39,20,35.5
401,23,70,58,23,49,29,82,68,56,26,57,22,45.25
402,31,25,1,94,29,26,56,100,74,3,64,3,50.4
403,46,49,96,57,76,68,94,67,33,50,10,73,51.45
404,85,11,38,38,38,38,56,54,52,83,14,42,51.25
405,22,94,60,45,11,34,15,62,65,2,96,10,52.2
406,65,80,62,76,97,43,78,28,77,86,56,83,72
407,26,96,95,9,58,14,5,88,81,65,95,18,55.1
408,1,74,17,86,75,82,13,44,47,15,24,64,61.65
409,89,91,16,81,43,93,26,3,59,73,38,94,83.15
410,16,95,97,31,87,31,37,15,42,27,32,1,46.4
411,32,64,38,96,3,28,18,65,72,43,28,48,55
412,8,46,70,35,35,62,36,22,3,17,57,68,38.55
413,42,91,53,27,47,5,3,67,77,1,97,33,57.8
414,47,52,98,15,13,89,57,19,74,77,71,3,46.05
415,38,70,93,15,80,26,89,16,93,43,10,90,47.55
416,92,1,75,17,48,98,8,51,90,19,12,38,52.5
417,41,23,34,7,66,27,39,5,92,55,68,48,45.85
418,25,3,10,79,86,4,14,81,51,22,82,2,47.7
419,98,18,60,74,76,40,100,83,31,59,20,25,57.1
420,49,25,43,69,8,55,3,38,93,70,2,40,50.7
421,24,74,67,0,20,53,89,33,89,44,25,64,43.5
422,23,39,24,61,71,79,51,53,93,46,32,15,55.5
423,12,49,47,75,80,17,17,87,50,77,93,57,57.05
424,59,42,31,37,15,76,52,81,9,36,21,34,51.35
425,6,74,83,91,15,42,58,93,11,7,61,82,47.3
426,56,66,94,44,27,88,98,64,96,4,4,15,50.15
427,35,11,3,57,50,73,53,86,97,22,18,32,52
428,44,66,37,80,55,28,40,28,81,9,8,30,55.4
429,19,26,62,0,79,9,59,40,38,26,57,21,32.75
430,64,53,46,31,56,5,92,62,79,98,23,60,54.5
431,7,65,0,7,51,79,87,31,67,0,38,83,49.7
432,15,48,2,39,45,88,3,65,9,70,75,63,58.55
433,13,15,100,55,77,3,84,99,91,7,60,69,36.2
434,75,1,85,62,37,100,38,44,81,10,47,34,50.5
435,86,59,61,87,83,33,6,16,72,97,90,38,73.55
436,14,53,63,73,47,82,22,42,85,27,49,2,51.45
437,91,29,16,73,40,32,84,65,9,33,61,95,60.85
438,97,83,77,35,97,3,62,67,22,42,52,12,63.45
439,65,37,61,88,58,43,64,33,76,83,20,13,56.25
440,31,27,34,56,92,97,40,0,87,27,37,40,55.25
441,86,24,12,73,66,75,88,22,12,48,98,7,62.15
442,62,95,34,82,73,30,94,5,47,60,95,18,68.05
443,85,9,42,44,83,79,43,15,88,36,58,13,58.55
444,50,59,1,78,65,65,44,1,43,2,99,74,66.25
445,24,41,55,79,26,57,68,75,92,8,96,49,51.3
446,57,39,76,1,31,59,94,26,79,85,42,98,47.5
447,62,96,50,92,55,1,50,18,63,88,16,60,66.15
448,61,76,53,67,9,35,64,27,39,1,68,35,53.5
449,21,41,15,49,39,69,53,34,5,22,43,66,47.45
450,57,46,17,28,16,59,55,67,71,50,83,88,59.4
451,57,36,6,94,57,22,93,48,97,16,62,76,60.6
452,85,79,44,80,96,46,81,6,81,24,22,79,72.15
453,48,21,35,9,5,100,71,36,42,75,67,91,48.7
454,51,56,40,26,38,45,89,24,31,26,25,44,46.35
455,41,83,93,14,17,79,39,40,48,19,93,90,54.05
456,69,26,41,59,72,43,57,80,73,72,47,73,61.7
457,14,40,6,30,71,18,14,61,97,86,46,81,54.95
458,53,79,14,20,88,48,18,40,86,35,45,71,68.55
459,59,33,59,59,94,87,9,13,18,27,28,6,55.65
