PilotID,HoursFlownPerYear,StressManagementScore,Certifications,AircraftTypeExperience,WeatherAdaptabilityScore,AccidentFreeYears,TrainingHoursLastYear,FlightReviewScore,FlightDisciplineRating,ReactionTimeScore,CommunicationSkills,DecisionMakingScore
14,696.4331870635164,8,Night Flight,Cessna 172,7,8,32.72282368092716,7.062568706783251,6.061956294834109,8.964458225927899,9,7
15,930.7428000017273,8,IFR,Boeing 737,6,2,21.695038453311057,8.76658841094413,7.9682471296006625,8.65236240805203,8,9
16,616.203037916038,8,Night Flight,Boeing 737,9,13,22.762030841851214,7.5437365491407,8.713367632873016,6.881766846481611,7,9
17,674.7851208041357,8,Multi-Engine,Airbus A320,5,4,23.478970229730542,7.986256092838808,6.767680224575562,6.68069718179407,8,6
18,806.7840710029175,6,IFR,Airbus A320,7,2,28.715203023245714,7.216010076555702,6.1494716066101525,7.069935599676888,8,8
19,755.3409449108012,7,IFR,Airbus A320,6,9,38.43560735559984,8.244821811524375,6.652104601132385,9.153317717087601,7,6
20,678.248285930396,9,IFR,Cessna 172,6,3,11.018186361658302,7.182315758772242,9.278669779171064,6.917462237369467,9,7
21,806.0647451375332,9,Multi-Engine,Cessna 172,7,3,12.105613125363341,7.277035306811456,7.252448810274744,8.100448361563888,6,6
22,678.1419361955155,8,IFR,Airbus A320,5,6,31.408968948828946,8.141081009481473,9.864245298613826,7.100297750436466,8,8
23,531.3028241984553,7,IFR,Boeing 737,8,12,56.17623944743252,8.883563786979776,9.359527381071254,8.38151452524162,9,7
24,769.7206715352003,8,Multi-Engine,Boeing 737,9,5,45.25352325873709,9.682155569590538,9.96678471685258,6.423136900181179,8,6
25,638.5097914042816,8,Night Flight,Boeing 737,6,13,29.09538629671618,9.181011271053215,7.643151829696487,8.345650086695969,6,6
26,742.9665015078122,6,Multi-Engine,Boeing 737,6,4,22.70302415645732,7.424149229932637,9.684903270477783,7.432654677366498,8,6
27,728.0440238289796,9,IFR,Boeing 737,6,3,19.126611115519918,7.787210583340877,9.684540267881673,9.961184857316209,6,9
28,935.6589227113672,9,Multi-Engine,Boeing 737,8,12,24.96641542100348,9.091804535222082,9.915853313291919,8.248580926548483,8,6
29,846.9771595297534,7,IFR,Cessna 172,8,10,45.77946452014679,9.54940774877941,8.021811648387706,8.042487288784022,9,6
30,886.9091367322766,7,IFR,Airbus A320,7,11,13.372017072734423,8.897498809886324,9.559399694485542,6.472071845605969,9,6
31,837.5435012783283,9,IFR,Airbus A320,7,8,30.84491829683904,9.078158496625537,6.488667895932,8.771619117034795,8,9
32,976.0920238826379,7,Multi-Engine,Cessna 172,7,8,39.60392357983954,9.151833450390221,8.180741662569012,7.023439853291793,7,6
33,770.1128768938391,7,IFR,Airbus A320,6,5,32.984873779139136,9.448617093039228,9.45132144783691,9.276173197043759,7,7
34,694.2410642612136,9,IFR,Airbus A320,9,6,37.4081558140422,9.56595044543646,6.888615795740973,6.262619888803847,6,6
35,698.0115251195741,7,IFR,Boeing 737,8,9,24.07774833080414,8.536242583299199,9.522877483054229,6.765671050763322,8,6
36,788.7473869691139,7,Night Flight,Boeing 737,9,7,39.14709053652675,8.713903810882412,6.201023984454497,9.984204024538274,6,6
37,898.1200111605378,6,Night Flight,Airbus A320,7,4,23.185905195027953,9.557142348083751,8.892390365033664,9.930685403935303,8,7
38,814.4674533785013,8,IFR,Cessna 172,5,4,34.60812209464701,8.469097952784221,9.664984936837309,9.561691952446665,8,8
39,803.9987450523624,7,IFR,Cessna 172,8,13,18.488021111949276,9.262159817558741,6.5398986348904025,6.5795581916443595,7,7
40,774.0656372847517,9,Multi-Engine,Airbus A320,7,6,48.228908255999656,8.009258299949126,8.744901757386641,9.521420947706684,6,8
41,714.0832099562166,9,Night Flight,Boeing 737,8,1,22.616298240173084,8.13640181593407,8.455044463347669,8.640529780002328,6,8
42,749.0736751497944,8,Multi-Engine,Boeing 737,8,12,19.831822984691506,9.96009924487446,9.217228464499048,7.222015206068422,8,7
43,875.5845638059593,8,IFR,Boeing 737,9,14,7.343715173159666,9.536630970651697,8.363932775030598,6.841456015682199,9,8
44,768.3614101315103,6,Night Flight,Airbus A320,7,1,32.89130794939581,7.891410679213878,9.599810722611018,8.420289054607263,7,7
45,868.418537756409,8,Multi-Engine,Cessna 172,5,14,35.518125834388485,9.084273997622144,6.555181724092436,8.382151044297467,9,9
46,680.7308130054715,7,Night Flight,Cessna 172,7,8,28.752242408710845,8.099748968700364,8.828282438007175,9.955141821408592,9,6
47,806.2081039900726,9,IFR,Cessna 172,7,4,15.005850016329244,9.078991382014536,8.629617027586118,7.638368915862668,7,8
48,862.0922035809999,7,IFR,Cessna 172,9,3,31.105424607659273,8.719266128602815,8.431261283938312,6.850337513130501,6,7
49,761.4533092440797,6,Multi-Engine,Cessna 172,9,11,33.44990640805739,8.82414465888787,9.355515329179445,6.564411242365285,6,8
50,879.5329524731546,8,Multi-Engine,Cessna 172,7,11,23.01126592153068,8.834607879888924,7.002314520178798,6.648690977375499,7,7
51,769.4686936888896,6,Multi-Engine,Boeing 737,9,5,47.81071727970878,9.247940020528773,8.23017921748824,7.854862842262481,8,9
52,820.9852484007902,7,IFR,Cessna 172,7,6,10.804273586193197,8.902258185399743,7.509400538853682,7.338464534058206,6,6
53,715.1198443825576,6,Multi-Engine,Boeing 737,9,4,22.52030292163023,7.79801819091108,7.66167424394699,8.118363094010542,8,6
54,946.9850635320092,8,Multi-Engine,Boeing 737,7,4,24.683132561005294,9.27639424769664,9.201621264544203,9.515823484482459,7,9
55,892.3384035440203,6,IFR,Cessna 172,6,1,42.10833554716263,9.612659345944644,7.950075589623405,7.359741631310114,7,9
56,733.4431186261,8,IFR,Cessna 172,8,2,29.298267860547785,9.834690070373481,7.904707283015656,8.018336570279681,9,7
57,809.7314417942002,8,IFR,Cessna 172,9,13,55.91808126691459,8.045624289883044,6.4222698340112485,8.003560115895633,8,8
58,873.1326794517674,6,Night Flight,Airbus A320,9,11,27.095687579692733,9.99025139629034,7.654082689269327,7.797787114884535,7,9
59,741.4326236987288,7,Multi-Engine,Airbus A320,6,8,28.06239006711968,7.138422264783698,9.415994027705832,9.290731178088118,8,9
60,821.4765307401107,9,Multi-Engine,Airbus A320,5,1,30.56663261257585,8.697255775431294,9.507196187056,7.669171019353996,9,9
61,833.8151839958994,8,Night Flight,Airbus A320,7,14,17.580369848610673,9.993105869622072,9.809697826575984,7.180722863381139,6,9
62,749.3058189848234,9,IFR,Boeing 737,8,4,45.08573602334336,9.865032409572931,8.30512276347797,8.258036327030087,7,6
63,876.673757988765,9,IFR,Boeing 737,7,10,23.154589636292403,9.774646448239004,8.786951956370352,9.304925517191391,7,6
64,783.6394678869942,8,IFR,Cessna 172,6,13,17.551458027039924,7.1719904350040045,6.7818301486348185,8.963804070524183,6,9
65,963.779763325312,8,IFR,Cessna 172,9,8,35.6051399294508,7.037779695157737,7.9386771321271405,9.738696732405021,8,7
66,692.76185389136,8,IFR,Boeing 737,9,4,26.242758552270455,7.027021906819849,8.957895302762942,7.493776096360397,8,7
67,821.1903647361182,8,IFR,Airbus A320,7,10,26.69163675772381,7.996954226043338,7.8455973317531225,6.670557460846702,8,7
68,608.3156650677615,7,IFR,Boeing 737,5,6,36.05010861673986,8.487098622169412,9.175933292639657,6.413715111507878,9,9
69,861.878040417663,9,Multi-Engine,Cessna 172,8,1,44.143553700804254,8.937232920353187,7.0766819445264195,9.573610262141557,8,9
70,885.2281699215249,8,Night Flight,Airbus A320,6,7,27.34132462410428,8.05130348298834,9.409866875582697,6.359142686610145,6,6
71,854.2220568092332,7,IFR,Airbus A320,5,3,30.728922964705188,8.817583776507735,9.72242187928841,9.293511279042729,8,9
72,713.0605067632707,9,Night Flight,Airbus A320,6,13,43.0335033580953,8.49547801638286,9.431982678000171,9.233657331840389,6,7
73,835.3616644592122,6,Multi-Engine,Boeing 737,5,1,34.12298920195198,9.147846392178812,7.5705184655163755,9.015831609510194,8,9
74,722.1824455835981,8,IFR,Airbus A320,6,3,29.600047579471276,9.500361514654259,8.180994978755452,6.467760962370736,7,6
75,784.385193059731,9,Night Flight,Boeing 737,8,3,35.764843977068324,7.381802640683349,9.272363417010075,9.139069368649213,9,6
76,906.7621044503912,6,Multi-Engine,Cessna 172,5,8,27.77301103563579,8.059963973818359,7.653546207713829,9.254172678141416,8,8
77,1057.5998874243842,8,Multi-Engine,Cessna 172,7,14,33.07744563786591,7.128869598053208,9.519318476966966,7.20247294687759,9,9
78,750.5703120972938,9,Multi-Engine,Airbus A320,9,6,33.76982868323688,9.646496286770425,7.828411798196912,6.977117767616019,6,9
79,761.2584592330566,8,IFR,Airbus A320,8,4,39.13481618877853,9.447128375921668,9.873967071789762,7.689931644882942,7,6
80,966.8241520780481,6,Night Flight,Airbus A320,6,6,43.11050624006687,8.996376024378984,8.277194748090459,7.194480379728837,6,9
81,777.2750883822846,8,IFR,Boeing 737,8,8,25.200354074070418,9.57409922720598,9.826293536012793,7.498512445263602,7,8
82,820.8474875419384,8,Multi-Engine,Airbus A320,7,14,12.994856381097389,8.977592269295712,9.367324388402873,9.204583705725971,6,9
83,788.8286284492933,6,Multi-Engine,Airbus A320,6,6,39.07982031661505,8.717386688324693,7.639828307229781,7.164747493493142,8,9
84,812.230575857573,9,Multi-Engine,Boeing 737,8,13,25.31214500961826,9.155563421565553,8.852831263151792,6.40824853888879,6,9
85,779.7482739685927,8,Multi-Engine,Cessna 172,6,6,23.369436811125308,9.494692221573914,6.049956080054843,9.978349505580262,7,9
86,638.3764843754403,9,Night Flight,Airbus A320,7,14,44.127298215080486,8.923042730471204,9.385278477144738,6.150004497320184,7,6
87,968.7029807862385,6,IFR,Boeing 737,9,14,28.33875273808845,9.152736434215921,8.986244753635875,8.525526173321545,9,6
88,889.4883411694734,9,Multi-Engine,Boeing 737,9,4,21.01050619842136,7.430982055533104,7.787977133611635,7.737131961277247,6,7
89,682.2818211719602,8,IFR,Cessna 172,8,5,13.275978143903064,9.304754500852987,6.11475492515671,9.561843228787215,7,9
90,603.4283459866255,7,IFR,Airbus A320,8,7,29.769616623814155,9.188013603275072,8.486464737084049,7.144528530666616,6,8
91,875.5415393490415,6,Multi-Engine,Boeing 737,5,13,22.92693773846093,8.963418899730815,9.867235513470334,6.691877068935947,6,7
92,832.7430843582989,7,IFR,Boeing 737,9,13,23.959663062394654,7.234305778504866,9.773056852506958,8.36369527792548,7,6
93,618.3143836648542,7,Night Flight,Boeing 737,9,8,18.514612133359243,8.182900769482105,8.069824743610624,9.816911137048024,7,6
94,914.1113517173226,8,IFR,Boeing 737,7,10,18.518163343379374,9.397144963301306,7.70187702948323,7.040458665062956,6,9
95,853.4533120582312,7,IFR,Boeing 737,9,7,35.93870460130515,8.350810662218024,8.880646028223378,8.030286164169954,9,8
96,958.8314245475761,9,Night Flight,Boeing 737,9,14,27.54891555450535,9.399489435885775,8.573256691780603,8.625458705048246,6,6
97,869.3060051859522,8,Multi-Engine,Cessna 172,9,12,22.180697195085216,8.675707429944882,6.828578321355707,8.283988183178852,6,8
98,800.2104329710083,8,IFR,Cessna 172,8,11,24.091755039974707,9.754054375765378,7.017354158566523,7.15323045349205,8,6
99,719.2533913064891,7,Multi-Engine,Cessna 172,8,11,21.80191024360037,9.012937481046738,7.038935386789578,9.079586622086845,7,8
100,810.5362370383841,7,Multi-Engine,Boeing 737,6,7,28.130859037555382,9.02454254916493,9.571443024408186,7.57323100110622,7,6
