Pilot ID,Training Hours,Simulator Hours,Flight Experience (Years),Training Score,Performance Score,Incidents,Accidents,Aircraft Types Flown,Last Check Ride Score,Reaction Time (ms),Stress Level,Sleep Quality,Cognitive Flexibility Score,Psychological Condition Index,Performance Level
P081,736.6983,387.1678,18.4172,68.4346,40.9321,2.0636,0.9007,4.553999999999999,65.1464,306.85490000000004,4.3084,4.6084,62.9209,63.388999999999996,OK
P082,635.5574,328.6179,15.3642,59.108900000000006,36.234899999999996,1.6491,0.7373999999999999,3.9773,56.5127,266.0407,4.3098,4.3731,56.2073,54.6354,Needs Improvement
P083,790.62,425.69919999999996,20.964699999999997,74.6647,48.5487,2.2842,0.9179999999999999,5.310600000000001,71.28699999999999,327.5618,5.075900000000001,5.5488,71.4055,71.1138,Good
P084,966.0412,489.3419,19.916600000000003,84.41149999999999,48.2241,2.7922000000000002,1.0285,5.630800000000001,79.1658,365.31050000000005,5.3445,5.7986,82.89370000000001,79.76480000000001,Very Good
P085,1082.5366000000001,551.3418,23.188200000000002,94.7104,58.6418,2.9949,1.2621,6.9914,91.74940000000001,417.96389999999997,6.0882000000000005,6.4562,88.4269,92.7131,Excellent
P086,873.9842,441.8907,18.9116,76.8145,49.4261,2.3814,0.9584,4.942,72.3792,346.1735,5.2583,4.9644,72.972,73.9469,Good
P087,937.5822000000001,483.1558,19.9743,83.9939,55.8253,2.5556,1.105,5.478400000000001,77.171,369.6657,5.5724,5.8781,81.0446,76.2808,Very Good
P088,1124.5914,537.8528,24.2325,96.9542,60.1391,3.1593,1.2424,6.492000000000001,91.3092,417.65319999999997,6.62,6.108,91.774,91.8426,Excellent
P089,940.4764,487.7043,21.173000000000002,86.15639999999999,48.7532,2.7851,0.9717,5.7061,78.17569999999999,365.8018,6.0164,5.864299999999999,79.4395,78.1,Very Good
P090,662.2837,328.22769999999997,15.389800000000001,60.2594,34.4374,1.8753,0.7376,4.0076,56.8481,266.39279999999997,4.1773,4.0643,57.2099,57.710100000000004,Needs Improvement
P091,509.5564,265.197,12.6555,46.389300000000006,28.769299999999998,1.5072999999999999,0.6254,3.4335000000000004,44.6049,214.3382,3.3492,3.6049,45.196999999999996,45.9257,Unacceptable
P092,624.9838,346.86940000000004,15.008099999999999,60.2931,36.7181,1.6837,0.7548999999999999,4.0762,56.996700000000004,264.728,3.9637000000000002,4.2098,55.2862,56.860699999999994,Needs Improvement
P093,639.2687000000001,335.7718,14.480599999999999,58.795,38.4847,1.9355000000000002,0.7415999999999999,3.8449,56.6532,260.97610000000003,4.2407,4.0131,56.612899999999996,56.2365,Needs Improvement
P094,687.7782,351.7632,16.9249,59.9017,38.138600000000004,1.8703,0.7911,4.1797,56.507200000000005,268.0685,4.3545,4.3487,56.5424,55.2584,Needs Improvement
P095,990.0997,464.3782,22.182100000000002,83.4022,49.153,2.5134,1.146,5.9562,79.3056,367.6261,5.6267,5.9916,82.06360000000001,78.5463,Very Good
P096,772.1974,361.9965,18.1845,67.3865,43.373999999999995,2.2388,0.7689,4.3442,62.309200000000004,292.72700000000003,4.4868,4.6884,62.7458,63.729800000000004,OK
P097,634.8348000000001,325.39369999999997,15.5097,60.7069,37.4272,1.8281,0.7287,4.2047,55.89020000000001,265.22090000000003,4.1866,4.3112,53.548100000000005,57.3967,Needs Improvement
P098,889.5605,436.87020000000007,18.3887,83.79860000000001,51.6726,2.7142,1.0297,5.785900000000001,79.2784,378.5887,5.4848,5.7738,78.1124,80.53739999999999,Very Good
P099,565.3888,263.926,11.6615,49.8555,32.0103,1.4684,0.5609000000000001,3.2809,43.9802,207.5081,3.4297000000000004,3.1325,44.6245,44.5511,Unacceptable
P100,859.346,435.0348,18.6689,75.0398,47.570600000000006,2.4526,0.8248000000000001,5.3541,71.2604,316.6337,5.0096,5.129099999999999,71.49119999999999,70.6075,Good
