Pilot ID,Performance Level,Training Hours,Simulator Hours,Flight Experience (Years),Training Score,Performance Score,Incidents,Accidents,Aircraft Types Flown,Last Check Ride Score,Reaction Time (ms),Stress Level,Sleep Quality,Cognitive Flexibility Score,Psychological Condition Index
P001,Needs Improvement,618.52,349.4,25.75,60.22,3.44,3.33,0.98,1.8,51.75,302.07,6.04,6.8,49.55,47.88
P001,Needs Improvement,795.14,189.33,10.93,54.94,20.73,2.19,0.19,7.02,62.61,177.09,4.27,3.66,59.11,53.35
P001,Needs Improvement,604.09,352.02,1.74,42.84,52.12,2.97,0.9,5.76,44.71,200.37,2.26,5.51,44.54,56.0
P001,Needs Improvement,948.29,535.03,3.47,62.53,32.74,2.5,1.38,7.47,61.82,175.62,4.42,6.71,58.64,67.0
P001,Needs Improvement,1018.12,103.13,18.52,51.82,25.74,1.74,0.62,2.02,55.58,282.7,4.64,6.17,47.38,58.34
P001,Needs Improvement,574.06,139.36,9.6,60.92,36.62,1.32,1.23,5.09,60.88,210.17,4.46,1.12,43.55,71.47
P001,Needs Improvement,264.78,257.35,3.94,50.9,59.6,1.94,0.51,3.21,56.11,318.22,4.75,3.24,72.26,46.65
P001,Needs Improvement,552.52,76.06,11.42,66.65,56.86,2.97,0.03,7.88,62.39,160.77,4.18,6.47,57.38,66.24
P001,Needs Improvement,1127.03,185.4,16.7,64.29,40.14,1.22,0.55,4.48,46.17,161.59,0.73,4.0,63.76,71.68
P001,Needs Improvement,626.88,571.83,12.52,62.63,61.18,2.93,1.19,2.38,69.79,289.26,3.91,6.94,57.27,58.01
P001,Needs Improvement,579.79,106.0,16.48,56.67,49.72,3.29,1.12,7.74,66.39,175.03,5.57,5.53,56.69,55.39
P001,Needs Improvement,680.66,326.33,21.81,63.5,54.42,3.29,0.5,3.51,63.89,171.65,2.55,4.5,74.74,39.14
P001,Needs Improvement,903.73,104.92,3.97,68.68,16.9,0.73,0.49,2.32,53.41,203.79,4.58,3.72,71.78,58.63
P001,Needs Improvement,706.44,535.59,16.86,44.86,56.8,0.79,0.82,3.88,70.1,186.39,2.8,3.78,50.39,59.94
P001,Needs Improvement,989.31,235.92,16.26,59.41,54.36,1.18,1.1,6.83,71.84,355.54,3.53,2.36,57.17,50.69
P001,Needs Improvement,1031.46,471.89,30.08,73.47,67.44,1.49,0.13,5.98,44.22,302.67,7.01,3.15,47.94,67.23
P001,Needs Improvement,904.59,507.35,30.35,48.85,73.62,0.68,0.79,5.4,46.56,232.88,7.0,5.59,59.77,52.94
P001,Needs Improvement,589.52,429.34,4.69,54.64,19.14,1.87,1.24,5.89,53.87,181.02,5.61,6.35,73.95,64.01
P001,Needs Improvement,617.22,145.56,8.69,52.13,67.33,0.59,0.7,3.09,64.77,239.1,1.19,6.8,40.34,71.95
P001,Needs Improvement,959.79,329.47,29.77,66.38,55.3,3.87,0.99,1.12,39.62,377.64,3.85,1.61,42.43,55.42
P001,Needs Improvement,842.41,314.89,20.0,56.39,37.93,1.97,0.61,6.21,64.29,264.43,6.59,4.12,35.94,54.89
P001,Needs Improvement,269.19,97.03,1.84,60.52,28.25,1.27,1.03,3.8,71.48,274.16,6.48,1.47,44.73,65.26
P001,Needs Improvement,803.23,546.45,28.96,63.4,31.48,0.9,0.17,3.14,76.59,335.89,2.22,4.8,47.35,59.62
P001,Needs Improvement,1027.65,415.33,1.86,70.4,28.45,1.68,1.2,3.14,63.17,193.2,5.12,4.61,43.79,70.31
P001,Needs Improvement,1021.8,556.16,20.23,73.15,41.01,0.88,0.24,2.5,42.57,202.37,7.21,6.24,65.78,66.82
P001,Needs Improvement,750.39,202.19,3.14,58.63,26.4,2.92,0.4,3.83,49.97,331.89,1.99,6.83,68.26,52.0
P001,Needs Improvement,305.96,608.79,14.07,61.86,5.13,1.45,0.35,1.82,69.04,343.43,6.15,6.65,43.86,74.38
P001,Needs Improvement,260.98,578.83,29.97,56.81,24.78,2.69,1.34,4.53,55.24,185.16,1.78,4.05,65.53,76.16
P001,Needs Improvement,389.93,76.64,17.89,59.49,12.31,1.24,0.69,1.75,62.14,380.23,5.36,7.57,66.81,40.7
P001,Needs Improvement,691.37,315.56,11.27,69.06,42.11,0.32,0.52,7.05,66.22,162.88,6.81,6.89,61.54,51.53
P001,Needs Improvement,1095.62,493.58,15.24,62.39,58.64,0.15,0.68,4.85,56.33,223.14,6.06,3.45,40.78,60.61
P001,Needs Improvement,712.59,116.28,7.12,53.43,13.87,1.63,0.97,5.94,57.98,264.6,3.47,4.97,66.14,47.24
P001,Needs Improvement,567.86,495.8,23.15,64.17,28.01,1.46,0.62,3.53,60.51,174.91,2.82,6.11,60.35,50.54
P001,Needs Improvement,458.52,300.14,14.19,49.04,46.73,0.93,0.58,3.17,68.65,262.59,4.54,1.04,40.6,40.17
P001,Needs Improvement,409.0,115.07,18.3,56.77,48.14,1.29,0.84,4.18,54.59,171.31,7.31,1.77,61.93,49.16
P001,Needs Improvement,464.58,578.91,1.22,73.33,54.67,3.15,0.95,6.47,57.95,188.44,3.04,7.71,39.74,42.43
P001,Needs Improvement,965.53,321.37,25.78,69.89,22.71,1.25,0.92,3.34,60.23,233.82,4.5,5.26,56.58,76.57
P001,Needs Improvement,1091.65,126.0,15.61,58.47,42.56,2.69,1.22,6.41,74.81,226.01,3.82,1.9,58.41,72.67
P001,Needs Improvement,706.92,445.73,30.58,57.63,67.03,0.67,1.14,6.87,42.48,234.87,1.41,5.07,62.1,59.07
P001,Needs Improvement,579.44,482.84,8.01,70.09,52.44,2.74,0.61,2.45,55.49,185.39,2.21,4.89,57.6,41.53
P001,Needs Improvement,780.22,305.2,20.53,57.58,44.26,3.52,0.41,4.71,50.19,286.64,6.51,1.24,48.26,60.74
P001,Needs Improvement,609.91,100.82,12.12,57.09,41.15,3.67,1.08,3.48,63.77,231.66,3.89,1.66,39.46,64.06
P001,Needs Improvement,784.39,218.01,26.42,57.47,4.49,0.83,0.56,2.37,66.44,380.06,1.91,4.67,52.17,52.67
P001,Needs Improvement,808.52,365.02,4.69,67.92,1.64,0.89,0.91,4.62,49.96,190.95,6.19,7.49,59.34,55.48
P001,Needs Improvement,409.97,458.45,19.19,69.17,59.6,0.07,0.54,4.37,45.35,324.8,2.73,1.79,64.76,45.29
P001,Needs Improvement,795.12,188.21,6.89,67.67,56.44,1.55,0.53,3.83,55.23,195.88,3.71,4.79,45.32,51.84
P001,Needs Improvement,759.59,102.28,11.25,64.38,19.02,0.5,0.37,6.32,68.73,347.29,1.47,7.41,39.18,70.0
P001,Needs Improvement,968.29,330.03,13.41,71.21,62.7,3.68,0.07,5.91,64.02,158.18,3.35,7.91,75.59,50.21
P001,Needs Improvement,751.37,109.95,3.17,74.68,18.17,2.34,0.37,1.29,58.36,211.38,3.75,4.26,57.91,40.74
P001,Needs Improvement,328.99,122.82,16.59,48.41,71.26,1.74,1.52,3.04,47.47,282.21,7.6,4.32,38.57,63.72
P001,Needs Improvement,732.2,134.92,3.65,56.87,25.38,2.94,0.87,1.68,62.12,236.41,4.7,6.05,45.97,71.97
P001,Needs Improvement,521.15,510.65,20.52,61.36,66.49,2.92,1.16,5.51,68.8,249.8,3.42,5.79,43.6,35.96
P001,Needs Improvement,240.01,167.64,13.14,62.1,7.52,2.48,0.74,4.51,50.48,188.31,6.16,2.26,56.05,43.41
P001,Needs Improvement,429.78,112.17,23.89,51.63,47.79,0.69,1.54,6.09,45.5,353.89,5.54,4.83,75.09,41.47
P001,Needs Improvement,420.96,316.6,14.27,67.34,3.94,3.54,0.01,2.16,55.41,239.59,2.5,0.97,49.67,72.78
P001,Needs Improvement,639.09,205.89,24.15,64.12,25.3,2.73,0.37,4.23,69.58,349.17,4.96,7.01,62.03,48.9
P001,Needs Improvement,1144.47,160.18,21.57,48.83,43.5,0.84,0.85,4.52,48.11,234.64,5.04,1.48,56.58,50.25
P001,Needs Improvement,319.49,611.55,14.97,71.59,58.81,0.06,0.94,2.62,60.46,277.47,1.36,2.62,66.29,53.69
P001,Needs Improvement,306.64,170.27,3.43,65.71,23.87,0.77,0.77,4.31,59.4,336.33,4.23,0.96,67.75,51.2
P001,Needs Improvement,1148.13,141.13,10.76,56.56,53.11,3.98,0.94,5.09,40.26,194.01,7.16,2.9,43.09,78.54
P001,Needs Improvement,791.38,217.4,26.57,49.63,6.73,1.66,1.06,4.85,61.02,346.58,2.31,5.44,46.05,60.26
P001,Needs Improvement,868.17,106.77,11.23,50.51,5.32,1.58,1.31,5.84,72.64,323.6,1.86,3.19,49.25,55.11
P001,Needs Improvement,613.99,277.58,27.57,70.41,63.6,3.35,0.94,5.01,60.91,189.07,1.17,1.07,50.23,38.81
P001,Needs Improvement,893.84,114.33,25.81,58.81,47.16,3.05,0.62,6.14,60.15,199.24,5.75,1.02,42.35,39.44
P001,Needs Improvement,315.36,303.42,10.24,53.11,34.68,2.45,0.19,6.44,45.91,272.94,2.53,6.32,39.53,69.04
P001,Needs Improvement,643.4,328.59,14.39,59.95,42.18,0.19,1.23,3.84,45.07,155.25,6.08,6.3,71.2,39.52
P001,Needs Improvement,263.62,537.82,12.53,73.1,19.81,1.15,1.47,6.14,67.24,167.01,2.54,6.29,41.49,61.21
P001,Needs Improvement,574.77,463.21,20.03,72.58,35.85,0.41,0.26,5.77,73.08,343.19,4.31,1.3,74.57,45.4
P001,Needs Improvement,904.67,291.44,11.86,64.23,42.66,1.43,0.9,1.49,37.3,153.94,4.31,1.9,40.55,71.44
P001,Needs Improvement,679.37,77.33,24.21,50.26,41.65,2.19,0.15,7.05,74.47,170.91,2.28,3.5,46.93,53.04
P001,Needs Improvement,960.05,270.83,14.65,57.99,43.4,0.12,1.23,3.99,42.33,332.18,6.51,1.95,60.68,69.06
P001,Needs Improvement,377.85,571.9,23.68,70.61,22.01,2.96,1.04,6.69,68.01,287.17,3.12,1.04,54.67,62.75
P001,Needs Improvement,272.05,574.27,3.61,58.18,36.97,2.09,0.96,3.29,70.62,253.18,4.94,4.23,37.1,59.85
P001,Needs Improvement,430.28,196.32,28.08,69.37,65.33,3.28,0.97,6.14,65.24,350.0,2.24,1.27,38.33,57.72
P001,Needs Improvement,243.51,527.39,27.33,47.48,52.65,2.41,0.46,5.07,59.47,181.21,5.08,6.21,52.81,65.56
P001,Needs Improvement,435.11,277.78,5.04,46.17,63.58,0.77,0.32,5.63,67.65,262.94,4.58,4.28,45.08,48.78
P001,Needs Improvement,351.46,447.39,5.66,71.77,20.1,0.37,1.21,5.01,59.11,239.89,1.38,6.02,61.56,62.14
P001,Needs Improvement,1062.57,288.98,19.45,46.67,72.96,2.41,0.4,1.93,43.35,351.23,4.03,7.1,55.34,69.74
P001,Needs Improvement,330.7,447.87,24.79,60.87,53.05,3.36,1.01,5.48,55.31,183.92,6.89,5.33,55.94,39.98
P001,Needs Improvement,1002.3,341.27,20.16,75.59,56.39,0.12,0.52,2.63,66.11,247.85,3.7,2.12,70.34,39.73
P001,Needs Improvement,532.37,296.84,11.09,52.68,43.19,2.5,1.35,4.64,58.55,187.48,7.01,7.17,52.01,63.37
P001,Needs Improvement,1077.37,360.75,19.76,65.62,55.29,3.52,0.46,7.4,68.29,306.81,6.99,5.67,40.78,67.02
P001,Needs Improvement,648.39,97.29,9.91,58.96,73.34,3.6,0.79,3.88,69.72,360.16,1.79,4.25,58.97,61.36
P001,Needs Improvement,626.71,336.25,14.97,48.37,0.91,3.21,0.55,3.62,72.71,354.66,2.74,3.99,76.09,70.53
P001,Needs Improvement,1013.91,274.81,22.82,66.27,40.19,0.92,0.64,0.79,46.1,364.58,4.2,4.76,36.44,52.54
P001,Needs Improvement,836.37,280.55,13.5,75.69,68.47,3.26,0.36,1.79,45.51,314.44,3.55,6.11,56.52,68.31
P002,Good,1194.23,689.32,8.31,68.91,3.16,1.69,1.66,1.82,50.95,404.19,8.02,4.68,64.06,66.44
P002,Good,899.99,133.82,26.87,61.4,43.24,0.24,0.6,6.37,84.52,460.28,3.04,1.99,94.04,59.57
P002,Good,870.1,345.02,27.42,67.35,25.89,2.26,1.83,2.07,86.44,250.93,4.62,2.39,82.26,55.42
P002,Good,644.37,124.63,9.01,60.45,73.96,2.08,0.59,5.22,85.95,396.59,7.86,7.81,74.06,81.34
P002,Good,894.76,299.81,5.6,88.16,22.4,3.91,1.16,7.93,49.87,473.41,9.47,2.96,53.53,63.91
P002,Good,788.83,396.48,22.76,67.43,32.27,0.33,0.76,7.85,54.59,418.21,9.24,9.39,47.79,89.99
P002,Good,955.33,449.24,21.82,73.31,57.62,3.56,1.07,2.2,58.17,207.94,6.87,1.75,79.65,65.67
P002,Good,813.25,484.38,9.66,61.05,43.17,1.06,0.01,6.21,50.57,313.67,5.84,2.9,78.76,58.7
P002,Good,874.56,325.31,4.21,92.73,48.39,4.6,1.06,6.73,81.2,213.1,1.18,1.04,89.39,65.65
P002,Good,975.33,336.49,33.32,74.03,73.94,2.38,1.84,7.48,59.1,296.04,9.11,1.29,69.68,80.54
P002,Good,857.5,196.73,16.49,87.74,19.29,1.93,0.05,3.43,47.58,434.83,5.53,9.24,84.54,70.91
P002,Good,307.22,391.99,10.66,62.26,76.32,3.96,1.19,3.18,65.29,219.47,3.94,8.06,63.62,63.75
P002,Good,619.7,376.98,15.19,75.18,82.26,3.67,1.01,4.6,85.82,374.08,1.9,3.48,57.63,65.11
P002,Good,984.94,380.71,33.86,74.59,19.0,2.62,0.04,6.9,91.23,470.03,1.98,6.95,95.39,79.42
P002,Good,1042.32,663.92,28.53,86.55,71.24,4.02,0.24,5.5,85.61,311.23,4.52,1.06,54.61,67.91
P002,Good,1173.58,481.03,17.67,91.92,85.23,2.02,1.4,6.9,61.94,302.83,4.34,8.04,74.22,49.93
P002,Good,939.98,460.46,14.19,81.44,20.13,1.87,0.65,2.25,75.72,425.92,5.73,3.54,80.38,72.96
P002,Good,1005.6,688.53,28.75,76.16,41.95,4.52,1.05,6.56,58.37,423.73,3.39,7.63,87.26,72.95
P002,Good,1215.89,570.53,8.96,66.43,87.29,3.11,1.48,2.67,81.92,363.8,7.59,7.34,90.45,94.76
P002,Good,998.83,407.81,11.98,97.38,79.87,0.06,0.56,1.14,79.41,228.08,1.04,4.45,63.06,79.73
P002,Good,1015.6,483.44,32.7,72.0,59.95,2.1,1.63,8.99,95.83,304.52,1.98,6.05,82.0,51.11
P002,Good,1174.63,358.67,2.54,77.72,5.87,0.11,0.86,7.11,81.57,445.19,8.2,1.66,52.52,77.19
P002,Good,572.09,491.37,26.81,79.87,64.08,3.95,0.23,2.86,77.1,471.43,2.01,4.62,82.56,62.38
P002,Good,1174.48,206.25,3.14,59.46,52.91,0.76,0.02,2.76,55.01,419.57,3.89,8.97,92.79,53.75
P002,Good,569.24,660.56,22.96,77.4,28.27,0.01,1.65,9.26,79.6,284.12,3.94,9.59,54.24,53.85
P002,Good,1210.93,105.78,18.7,79.8,60.0,3.65,1.32,5.57,92.77,343.73,5.54,4.61,94.12,58.42
P002,Good,1214.99,662.44,16.69,80.59,52.36,3.63,1.86,3.93,73.45,448.15,3.12,5.46,84.29,72.44
P002,Good,694.1,273.02,8.16,69.13,90.78,4.52,1.06,7.72,78.83,343.4,8.83,6.99,81.73,50.43
P002,Good,553.21,418.14,5.6,70.09,92.8,3.88,0.4,5.07,87.98,462.2,5.98,1.44,76.06,76.71
P002,Good,1292.62,331.83,28.51,58.95,38.9,1.54,0.08,6.15,55.42,370.44,5.2,8.61,70.44,72.11
P002,Good,805.86,269.41,13.01,63.51,54.02,4.44,0.36,3.07,59.46,331.73,2.44,1.53,76.39,54.71
P002,Good,435.2,614.06,32.13,87.41,34.81,1.37,0.2,7.52,79.09,409.82,4.9,7.1,55.34,78.21
P002,Good,718.61,121.38,1.53,63.42,50.74,1.96,1.71,3.21,49.86,280.46,5.78,8.87,81.73,85.93
P002,Good,1319.36,596.35,9.99,82.86,72.26,0.66,0.05,2.96,71.94,402.47,6.99,8.88,52.42,71.29
P002,Good,1218.0,706.93,7.43,81.08,72.49,0.92,1.23,4.6,90.19,265.42,6.13,9.21,56.54,73.9
P002,Good,342.03,511.21,27.41,57.66,43.38,4.54,1.43,5.42,56.52,331.28,8.39,2.84,77.77,65.68
P002,Good,572.58,620.44,17.93,67.47,8.51,0.21,0.75,8.73,50.12,246.95,7.52,4.54,71.76,87.62
P002,Good,1301.25,660.42,26.27,63.88,84.18,2.01,0.74,4.98,91.8,318.67,3.44,1.57,67.42,93.7
P002,Good,436.76,401.27,28.34,72.19,4.8,1.52,0.46,8.87,58.67,256.0,8.61,4.31,90.4,95.21
P002,Good,625.57,550.99,20.79,59.57,55.2,0.63,0.35,4.3,56.92,252.47,1.66,1.4,59.73,64.35
P002,Good,1312.36,577.86,26.8,63.22,29.37,2.66,0.65,1.95,87.57,295.32,3.21,3.83,59.84,53.6
P002,Good,1321.86,189.74,4.63,82.25,7.41,4.47,0.85,1.88,65.98,339.37,9.64,4.64,78.23,72.37
P002,Good,309.52,269.54,4.69,74.9,44.7,0.94,1.53,6.11,49.27,227.16,2.03,8.96,79.51,46.95
P002,Good,425.73,422.43,13.17,79.64,59.92,0.59,0.23,2.54,64.4,200.49,8.13,5.23,81.34,71.89
P002,Good,1190.37,637.09,6.74,71.13,76.65,3.95,0.3,9.65,89.19,355.23,8.21,5.77,79.75,89.73
P002,Good,428.05,125.64,35.62,59.41,80.73,2.19,0.63,6.32,64.23,190.27,5.48,1.8,93.05,90.7
P002,Good,1196.19,565.76,9.21,72.37,7.97,4.59,0.16,8.54,62.55,280.39,8.38,6.79,84.03,53.59
P002,Good,596.18,397.94,4.51,84.93,29.19,3.68,0.43,5.3,60.22,416.43,8.47,4.78,48.71,92.02
P002,Good,588.52,501.0,6.99,74.72,81.09,4.54,1.37,4.01,74.44,476.05,7.91,9.34,93.41,61.24
P002,Good,940.4,309.03,14.21,71.41,15.05,2.27,0.23,8.37,89.36,369.46,4.81,4.8,79.04,54.97
P002,Good,585.77,175.5,11.54,78.65,60.13,0.97,0.66,1.9,61.73,387.09,2.14,8.52,87.62,76.88
P002,Good,646.75,415.64,13.01,90.45,28.23,3.16,1.84,4.37,85.31,326.65,1.08,2.29,75.57,84.45
P002,Good,547.25,332.6,1.77,59.81,44.79,4.45,0.37,2.59,68.17,263.74,4.91,1.05,85.52,63.78
P002,Good,788.44,661.93,29.45,89.22,35.98,0.06,1.37,5.99,92.3,431.15,2.6,0.96,73.94,91.77
P002,Good,555.68,725.79,32.75,76.55,31.68,2.15,1.87,7.97,77.02,211.0,6.84,8.5,62.19,52.97
P002,Good,681.06,376.06,21.3,90.0,92.42,4.39,0.9,1.4,57.9,218.1,7.58,6.42,85.96,84.04
P002,Good,1116.29,527.41,22.43,66.51,26.53,1.77,0.12,9.51,78.15,387.37,5.54,6.54,89.84,82.8
P002,Good,749.25,361.42,12.47,84.41,87.76,1.18,0.37,2.74,84.56,309.2,6.81,7.25,56.88,53.36
P002,Good,674.77,138.29,7.57,75.92,22.05,1.45,0.25,1.4,80.25,219.88,6.29,4.97,73.97,79.79
P002,Good,961.16,260.25,6.81,85.99,41.83,2.67,1.53,7.34,82.13,191.31,6.05,8.17,59.93,63.69
P002,Good,1109.67,657.81,29.61,82.36,12.81,1.45,0.25,8.24,56.94,304.26,1.3,7.08,79.43,50.86
P002,Good,740.22,188.49,12.51,67.06,41.24,3.4,0.27,3.68,62.97,354.22,8.16,7.6,80.7,79.91
P002,Good,323.67,678.63,29.68,79.68,54.19,4.26,0.54,1.85,60.12,370.0,2.97,1.44,47.47,52.49
P002,Good,579.46,659.44,30.92,95.46,7.91,3.01,0.61,8.88,50.03,431.74,6.32,5.77,72.33,98.39
P002,Good,1335.72,415.55,33.79,65.96,56.96,1.48,0.69,3.0,80.37,239.15,6.24,8.49,48.88,70.05
P002,Good,474.03,112.46,15.61,71.88,44.54,2.51,0.81,8.92,76.46,256.06,9.06,7.19,85.45,46.96
P002,Good,933.57,640.52,21.5,69.99,73.27,4.26,0.45,3.48,52.28,381.66,7.68,1.82,81.16,73.77
P002,Good,820.66,569.82,34.42,78.45,48.35,3.77,1.04,7.95,68.97,267.09,8.14,8.74,50.43,53.39
P002,Good,1317.26,437.49,16.04,64.57,43.77,3.93,1.06,3.94,92.86,395.94,8.98,3.31,49.82,51.43
P002,Good,405.76,422.2,6.06,73.07,11.37,2.26,1.6,6.13,93.47,402.72,6.14,2.6,88.33,68.18
P002,Good,415.42,604.12,8.21,63.34,94.39,3.45,0.22,5.44,72.54,325.41,7.62,6.33,74.61,88.53
P002,Good,1383.57,477.09,35.71,90.1,51.01,2.12,1.26,9.01,74.47,380.41,4.97,4.19,65.0,64.07
P002,Good,976.44,568.83,4.05,75.33,50.22,3.99,0.48,3.72,75.23,382.92,4.64,1.71,80.41,73.58
P002,Good,1247.18,97.57,22.74,57.92,46.01,3.96,0.94,3.23,84.06,453.95,3.48,3.71,88.31,97.22
P002,Good,954.15,435.07,28.38,55.1,37.13,2.23,0.93,2.71,75.71,195.17,1.86,4.39,83.96,93.55
P002,Good,1008.68,539.0,16.04,56.97,31.32,0.67,1.7,5.27,87.38,290.97,5.36,2.37,88.55,60.93
P002,Good,926.38,241.26,4.01,80.88,80.61,3.6,0.26,5.52,89.11,466.08,3.48,6.68,52.08,82.9
P002,Good,1226.71,396.34,7.58,87.57,53.16,0.59,0.34,4.86,58.74,259.37,7.41,3.24,65.86,90.48
P002,Good,1156.85,147.22,14.98,87.53,80.35,3.85,0.1,1.46,78.09,235.63,4.85,7.85,71.72,51.56
P002,Good,1213.11,744.83,29.98,72.25,68.65,4.37,0.19,6.46,64.98,293.38,8.27,4.64,89.36,70.41
P002,Good,906.67,538.47,8.21,60.75,38.2,0.82,0.3,3.56,68.96,421.54,7.33,8.48,47.47,86.49
P002,Good,333.57,605.91,20.18,82.3,31.13,2.3,0.75,6.07,63.22,406.46,9.41,3.09,85.03,91.18
P002,Good,1459.03,620.57,1.26,65.13,47.52,3.05,0.24,2.53,73.01,216.64,6.13,6.6,90.21,57.52
P002,Good,719.93,241.34,33.31,69.18,23.01,3.15,1.41,6.38,75.58,221.82,3.6,2.86,66.17,55.65
P002,Good,1282.09,515.6,13.93,58.57,54.18,4.26,1.52,7.22,74.64,318.29,5.66,4.96,61.35,85.12
P002,Good,1335.94,363.35,2.13,87.56,14.36,3.83,0.76,8.26,74.1,343.88,8.98,0.99,67.56,47.62
P002,Good,629.22,384.23,14.29,73.78,92.64,3.48,0.08,2.54,91.54,274.5,1.93,5.99,91.89,74.79
P002,Good,1178.55,689.94,33.77,80.99,24.89,1.61,1.6,6.18,65.77,392.09,1.43,2.01,71.5,64.48
P002,Good,701.88,534.3,26.33,83.92,71.13,2.59,1.38,8.77,61.11,207.46,1.96,7.8,57.88,58.88
P002,Good,1006.13,683.56,1.52,56.51,3.02,2.52,0.66,2.62,56.51,234.71,5.53,1.67,81.66,58.79
P002,Good,1363.02,339.81,10.77,80.96,57.26,2.49,1.56,8.25,54.35,217.71,1.92,2.19,52.13,77.06
P002,Good,1157.51,614.73,25.44,68.6,79.73,2.23,0.98,3.29,82.8,302.77,9.14,1.88,68.39,61.93
P002,Good,395.88,282.85,26.28,73.45,85.51,1.98,0.59,3.92,65.11,382.12,6.24,2.98,97.43,56.24
P002,Good,1265.03,193.24,32.77,94.96,4.79,2.71,0.86,4.67,46.4,345.61,2.45,7.02,48.53,64.37
P002,Good,433.91,129.32,21.02,71.66,29.26,1.49,1.19,1.28,81.76,408.96,7.64,8.36,60.06,71.59
P002,Good,513.78,483.46,20.73,70.05,39.77,3.58,0.61,2.81,86.74,310.36,9.19,5.32,95.25,55.23
P002,Good,838.73,503.97,36.24,64.84,31.38,0.44,1.67,5.42,86.2,346.87,1.7,6.22,87.93,88.74
P002,Good,592.26,702.27,36.57,84.89,72.7,1.39,0.66,1.73,55.36,491.01,5.37,7.25,71.85,90.6
P002,Good,807.95,308.84,23.11,84.51,58.35,2.53,1.33,7.45,55.91,455.11,2.02,1.83,95.33,64.17
P002,Good,1378.23,277.72,28.0,92.75,27.51,1.49,1.13,5.25,63.79,290.08,1.58,8.01,74.49,58.62
P003,Needs Improvement,575.57,553.55,24.7,52.36,3.6,0.06,1.41,2.23,49.48,273.58,6.37,7.3,40.8,78.43
P003,Needs Improvement,287.11,305.21,25.38,70.54,44.33,2.1,0.29,3.69,66.69,279.83,3.99,3.59,67.96,54.74
P003,Needs Improvement,418.59,137.91,7.18,43.64,7.37,1.62,0.21,2.93,37.59,293.17,1.72,2.51,72.59,54.24
P003,Needs Improvement,397.3,355.91,14.71,71.03,46.65,3.18,0.01,3.03,68.79,216.18,1.47,7.52,67.02,39.65
P003,Needs Improvement,1001.33,81.9,2.96,63.07,6.52,2.52,0.49,5.72,47.2,189.6,1.36,3.58,67.56,40.13
P003,Needs Improvement,230.19,433.18,22.94,54.06,4.81,3.62,1.13,1.63,45.72,306.87,3.03,7.05,62.16,68.33
P003,Needs Improvement,739.52,400.68,13.62,51.0,70.2,0.74,0.98,0.9,74.24,248.77,2.17,5.51,68.26,73.17
P003,Needs Improvement,377.48,288.52,17.89,62.95,38.17,2.47,1.4,4.14,41.22,364.15,0.76,5.69,39.04,48.96
P003,Needs Improvement,640.75,576.16,26.88,52.32,32.94,1.07,0.74,7.46,41.53,163.76,3.23,5.52,52.01,71.6
P003,Needs Improvement,698.06,76.65,3.69,45.17,16.63,3.88,1.29,0.99,70.9,178.0,2.69,7.84,56.18,63.88
P003,Needs Improvement,240.58,429.04,18.07,50.7,10.48,0.13,1.03,2.94,65.45,288.93,1.85,2.0,54.84,47.12
